Mouse,Strain,Treatment,Baseline_start,Baseline_end,Post_start,Post_end
C139M1,A2a,MK801,59975,61460,61480,
C139M2,A2a,MK801,69300,70380,70500,
C139M4,A2a,MK801,56575,57644,57750,
M521,A2a,MK801,57825,59560,64020,
F488,D1,MK801,44780,45950,50230,
F797,D1,MK801,54780,55875,56000,58250
M690,D1,MK801,57930,58550,58700,
M700,D1,MK801,43030,44070,44150,
M780,D1,MK801,54510,55448,56500,
C139M1,A2a,Saline,54545,55003,56830,
C139M2,A2a,Saline,,,62700,
C139M4,A2a,Saline,66800,67820,69290,
M521,A2a,Saline,,,500,
F488,D1,Saline,46621,48085,51298,
F797,D1,Saline,38950,39850,40050,
M690,D1,Saline,45160,46470,48850,
M700,D1,Saline,58140,58875,67700,
M780,D1,Saline,47600,48570,48660,
