,Timestamps
87108,57017.6104704
87111,57017.6870272
87150,57018.6854016
87154,57018.7878656
87158,57018.8902912
87424,57025.70048
87428,57025.8028032
87432,57025.9052288
87436,57026.0075904
87440,57026.1100032
89420,57076.8018688
89424,57076.9042048
89428,57077.006656
89432,57077.10976
89436,57077.212352
89440,57077.3152768
89531,57079.643648
89535,57079.7461504
89573,57080.719104
89577,57080.8223104
89581,57080.923712
89684,57083.5607424
89688,57083.6632832
89692,57083.7655552
89696,57083.867968
89700,57083.9703936
89964,57090.730816
89968,57090.8317568
89972,57090.9358208
89976,57091.0365312
89980,57091.1404288
89983,57091.2160768
90141,57095.2608512
90144,57095.3380224
90183,57096.3361664
90187,57096.4385408
90191,57096.5410688
90292,57099.127936
90296,57099.229184
90300,57099.3317888
90304,57099.435072
90308,57099.5363456
90416,57102.3022208
90420,57102.4037888
90424,57102.5084032
90428,57102.608576
90432,57102.710976
90436,57102.8136576
93158,57172.5023104
93162,57172.6048
93214,57173.9356288
93218,57174.0381824
93222,57174.1404928
93485,57180.8737664
93488,57180.9507328
93492,57181.0530048
93496,57181.15552
93500,57181.257984
93973,57193.3678592
93977,57193.4713856
93981,57193.5731584
93985,57193.6748544
93989,57193.7771776
93992,57193.8544
94523,57207.4489728
94562,57208.4471168
94566,57208.54944
94570,57208.65184
94574,57208.7542912
96353,57254.3002112
96357,57254.4026368
96396,57255.4011392
96400,57255.5035008
96404,57255.6061696
96508,57258.2684928
96512,57258.3709056
96516,57258.4733312
96520,57258.57568
96524,57258.6784
96575,57259.985088
96579,57260.0865792
96583,57260.1889792
96587,57260.2912768
96591,57260.3938304
96595,57260.49856
96782,57265.2834304
96786,57265.3861504
96825,57266.3848448
96828,57266.4615936
96832,57266.5635712
96936,57269.2261376
96940,57269.3289728
96944,57269.4310016
96948,57269.5333376
96951,57269.6118784
96988,57270.55776
96992,57270.65984
96996,57270.7622656
97000,57270.8647552
97004,57270.967104
97007,57271.0442112
99351,57331.0555392
99389,57332.0278016
99393,57332.13024
99397,57332.2332032
99401,57332.3349888
100339,57356.3496192
100343,57356.4533248
100388,57357.6041344
100392,57357.7065344
100396,57357.8089984
100503,57360.5483648
100506,57360.6252928
100510,57360.7276928
100514,57360.8301056
100518,57360.9324672
100550,57361.7516928
100554,57361.8540928
100557,57361.932224
100561,57362.0333696
100565,57362.1357056
100569,57362.238144
100835,57369.0483456
100839,57369.1509376
100878,57370.1491072
100882,57370.252096
100886,57370.3551744
101066,57374.9623168
101070,57375.064704
101073,57375.1415552
101077,57375.244032
101081,57375.346688
101115,57376.2168576
101119,57376.3192064
101123,57376.4215936
101127,57376.5251456
101131,57376.6266368
101135,57376.7288576
104204,57455.3021952
104243,57456.2998016
104247,57456.4023424
104251,57456.505152
104255,57456.6069888
105445,57487.0734464
105449,57487.1758336
105498,57488.4308352
105502,57488.5339776
105506,57488.6351872
105613,57491.3746816
105617,57491.477248
105621,57491.5803904
105625,57491.68192
105629,57491.7848064
106198,57506.3521536
106202,57506.4546816
106206,57506.5574656
106210,57506.6591616
106214,57506.7614336
106218,57506.8637696
106881,57523.8395648
106885,57523.9403776
106925,57524.964416
106928,57525.0421504
106932,57525.1436416
107030,57527.652608
107034,57527.7549568
107038,57527.8577664
107042,57527.9600256
107046,57528.0622848
107115,57529.829248
107118,57529.9063552
107122,57530.009664
107126,57530.1112832
107130,57530.2128
107134,57530.315264
107570,57541.4785536
107574,57541.5802368
107618,57542.7071104
107622,57542.8090496
107626,57542.9131136
107731,57545.6001152
107735,57545.7019776
107739,57545.804416
107743,57545.9076096
107747,57546.01056
107786,57547.0080768
107790,57547.111168
107794,57547.2142592
107798,57547.3151104
107802,57547.4180224
107805,57547.4944768
108040,57553.5118592
108044,57553.6142336
108083,57554.6116864
108087,57554.7145344
108091,57554.8166656
108196,57557.5052288
108200,57557.6075648
108204,57557.7092992
108208,57557.812224
108212,57557.9145728
108325,57560.8072064
108329,57560.9098496
108333,57561.012288
108337,57561.1147392
108341,57561.2176384
108345,57561.319232
109217,57583.6441984
109221,57583.7479936
109265,57584.8734208
109269,57584.9755904
109273,57585.0788224
109377,57587.740544
109381,57587.8428416
109385,57587.9452672
109389,57588.048064
109393,57588.1508992
109768,57597.7513088
109772,57597.853248
109776,57597.9562112
109780,57598.058368
109784,57598.1619968
109788,57598.2633088
110927,57627.4235904
110931,57627.5259648
110975,57628.6543488
110978,57628.7292672
110982,57628.8316544
111084,57631.4430464
111088,57631.5455104
111092,57631.6478976
111096,57631.7504128
111100,57631.8534016
111280,57636.4613632
111284,57636.5635584
111288,57636.6665856
111292,57636.7683072
111295,57636.845632
111299,57636.9475584
111537,57643.0408064
111541,57643.1435392
111582,57644.1928704
111586,57644.295616
111590,57644.3977088
111693,57647.0353408
111697,57647.1371648
111701,57647.2396416
111705,57647.3420672
111709,57647.44448
111815,57650.1583232
111819,57650.2609152
111822,57650.3373952
111826,57650.4398592
111830,57650.5422976
111834,57650.6450816
112465,57666.8002688
112469,57666.9019136
112512,57668.003072
112516,57668.1051392
112520,57668.2083712
112622,57670.8199168
112626,57670.9213696
112630,57671.0241792
112634,57671.126208
112638,57671.2289792
112737,57673.7643776
112741,57673.8655872
112745,57673.9683456
112749,57674.0713984
112753,57674.1730944
112757,57674.2767872
113360,57689.7132288
113364,57689.8160128
113403,57690.8156032
113407,57690.9165184
113411,57691.0190464
113516,57693.7071744
113520,57693.8097024
113524,57693.9120384
113528,57694.0144128
113532,57694.1169408
113831,57701.7721984
113835,57701.8745856
113839,57701.9766656
113843,57702.0790528
113846,57702.1558528
113850,57702.2582912
114235,57712.1154304
114239,57712.2202112
114280,57713.2675584
114284,57713.369472
114288,57713.472512
114389,57716.0578176
114393,57716.1603456
114397,57716.2630528
114401,57716.3668736
114405,57716.4676992
114539,57719.8981248
114543,57720.000576
114546,57720.0772864
114550,57720.1798272
114554,57720.282048
114558,57720.3848704
115015,57732.084608
115056,57733.134336
115060,57733.2367232
115064,57733.3394688
115068,57733.4414976
118514,57821.6673152
118518,57821.768448
118557,57822.7670784
118561,57822.869504
118564,57822.9483776
118669,57825.6351872
118672,57825.7113088
118676,57825.8139136
118680,57825.9169664
118684,57826.0187264
118822,57829.5515136
118826,57829.6539648
118830,57829.756288
118834,57829.8587136
118838,57829.9614848
118842,57830.064
119148,57837.897728
119152,57838.0001792
119190,57838.9744
119194,57839.076544
119198,57839.1778432
119305,57841.9173504
119309,57842.020224
119313,57842.1234432
119317,57842.2244992
119321,57842.328
121258,57891.9195392
121262,57892.0204032
121266,57892.1229568
121270,57892.2255488
121273,57892.3022848
121277,57892.4044288
122181,57915.5489536
122220,57916.5471232
122224,57916.6496256
122228,57916.7519744
122232,57916.8543872
128321,58072.7473536
128325,58072.8476288
128364,58073.8461312
128368,58073.9488256
128372,58074.0530176
128474,58076.6625792
128478,58076.7653376
128482,58076.8676736
128486,58076.9695488
128490,58077.071936
136655,58286.1129728
136659,58286.2150528
136663,58286.317568
136667,58286.4198528
136671,58286.5231616
136675,58286.6247424
141844,58418.9620864
141848,58419.064448
141890,58420.1404672
141894,58420.24224
141898,58420.3442304
141998,58422.904512
142002,58423.0075264
142006,58423.109248
142010,58423.2116992
142014,58423.3140224
142038,58423.9294976
142042,58424.030912
142046,58424.1333248
142050,58424.2357632
142054,58424.3384448
142058,58424.4412928
143315,58456.6236672
143318,58456.700416
143357,58457.6978304
143361,58457.8000512
143365,58457.9024256
143472,58460.6419328
143476,58460.7442816
143480,58460.846656
143484,58460.949056
143488,58461.0514816
144128,58477.4368
144132,58477.5392128
144136,58477.6420096
144140,58477.7440768
144144,58477.846528
144148,58477.9491456
145081,58501.8368384
145085,58501.937984
145127,58503.013632
145131,58503.1160064
145135,58503.2180864
145238,58505.8551552
145241,58505.9327616
145245,58506.0342656
145249,58506.136704
145253,58506.2391168
148307,58584.4278144
148311,58584.530624
148315,58584.632832
148319,58584.735232
148322,58584.8118528
148326,58584.9145728
153171,58708.9562496
153175,58709.0587008
153218,58710.159616
153222,58710.2640128
153225,58710.339072
153327,58712.9514624
153331,58713.0525696
153334,58713.1306368
153338,58713.2317952
153342,58713.3342976
157764,58826.5477888
157768,58826.6498944
157772,58826.7523328
157775,58826.8282752
157779,58826.930752
157783,58827.0334464
158469,58844.5960448
158546,58846.5674112
158550,58846.6701824
158554,58846.7722112
158558,58846.8749696
159381,58867.945472
159438,58869.4044416
159441,58869.4812416
159445,58869.5837696
159449,58869.68608
160616,58899.5637376
160655,58900.5621376
160659,58900.665472
160662,58900.7420288
160666,58900.8437504
161785,58929.4925184
161828,58930.5934208
161832,58930.695808
161836,58930.7985408
161840,58930.9008512
162569,58949.5646848
162622,58950.921728
162625,58950.9982592
162629,58951.1009792
162633,58951.2033152
163607,58976.1394432
163646,58977.1383296
163649,58977.2148608
163653,58977.3175424
163657,58977.4206336
164801,59006.7083264
164856,59008.1167872
164860,59008.2191616
164864,59008.3216768
164868,59008.4244352
165356,59020.9193088
165398,59021.9933568
165402,59022.095232
165405,59022.1720576
165409,59022.2743936
167712,59081.2359424
167751,59082.2344832
167755,59082.337024
167759,59082.4393856
167763,59082.542208
170555,59154.0227968
170594,59155.0220544
170598,59155.1238656
170602,59155.2260736
170606,59155.3284992
172063,59192.6313856
172067,59192.7330432
172110,59193.8347008
172114,59193.937152
172118,59194.0394368
172226,59196.80384
172230,59196.906368
172234,59197.0088704
172238,59197.111104
172241,59197.1890944
172293,59198.519424
172297,59198.621568
172301,59198.723968
172305,59198.826432
172309,59198.929152
172312,59199.0064384
172589,59206.0973568
172628,59207.0958336
172632,59207.1989504
172636,59207.3006336
172640,59207.4032768
174188,59247.0353536
174243,59248.4432128
174247,59248.5456
174251,59248.6480128
174255,59248.7507584
174916,59265.673408
174920,59265.7759488
174958,59266.7494144
174962,59266.8512
174966,59266.953536
175067,59269.5393024
175071,59269.6417152
175075,59269.7441664
175079,59269.847232
175083,59269.9489152
175184,59272.5348096
175188,59272.637184
175191,59272.7142144
175195,59272.816704
175199,59272.9193344
175203,59273.022016
180729,59414.498304
180733,59414.6014336
180775,59415.6762112
180779,59415.7787776
180782,59415.8552192
180888,59418.5697664
180892,59418.6714752
180895,59418.7492096
180900,59418.8767872
180903,59418.9530368
182360,59456.2552704
182364,59456.3577088
182368,59456.460672
182372,59456.5639808
182376,59456.6650496
182380,59456.7677952
182796,59467.4178304
182840,59468.5443328
182844,59468.6467712
182848,59468.7491712
182852,59468.8515584
183886,59495.324096
183890,59495.4265856
183952,59497.0143232
183956,59497.1162624
183960,59497.2190592
184065,59499.9068416
184069,59500.0096256
184073,59500.1134208
184077,59500.2144128
184081,59500.31648
184619,59514.091328
184623,59514.1929984
184627,59514.2952448
184630,59514.3746944
184634,59514.475392
184638,59514.5768576
184802,59518.77664
184841,59519.7745152
184845,59519.8781568
184848,59519.9536896
184852,59520.0561664
189500,59639.0544768
189504,59639.156608
189557,59640.5135872
189561,59640.6161024
189565,59640.7183616
189666,59643.3042432
189670,59643.4070144
189674,59643.5117312
189677,59643.585792
189681,59643.688192
193424,59739.5176448
193428,59739.6196736
193432,59739.7216768
193435,59739.79872
193439,59739.902144
193443,59740.003264
194335,59762.841536
194339,59762.9429248
194378,59763.9420672
194381,59764.018048
194385,59764.1208448
194389,59764.2227968
194920,59777.8174976
194990,59779.6097408
194993,59779.6865152
194997,59779.7891712
195102,59782.477696
195106,59782.5798784
195109,59782.6563968
195113,59782.758912
195117,59782.8610816
196926,59829.1753344
196930,59829.2778496
196934,59829.380352
196938,59829.4825856
196942,59829.5851648
196946,59829.6877056
197031,59831.865024
197069,59832.8368256
197073,59832.9388032
197077,59833.0411904
197180,59835.6785408
197184,59835.780672
197187,59835.8575744
197191,59835.9598208
197195,59836.0622464
197601,59846.4567552
197605,59846.5591296
197609,59846.661888
197613,59846.765504
197617,59846.8663424
197621,59846.9687808
199056,59883.707904
199118,59885.2960384
199122,59885.3975808
199126,59885.499968
199229,59888.1369216
199233,59888.2393856
199237,59888.3422592
199241,59888.444416
199245,59888.5469312
204253,60016.7626752
204257,60016.865472
204261,60016.966656
204265,60017.069568
204269,60017.1737088
204273,60017.2739968
204406,60020.678912
204453,60021.8824832
204457,60021.9853056
204461,60022.0872832
204565,60024.7496064
204569,60024.8524416
204573,60024.9544192
204577,60025.05696
204581,60025.1593472
206809,60082.2007552
206813,60082.3030912
206817,60082.4057856
206821,60082.509248
206825,60082.6118528
206829,60082.7132416
207472,60099.174912
207476,60099.277312
207540,60100.9159168
207544,60101.0185088
207548,60101.1219584
207552,60101.2234112
214806,60286.941056
214844,60287.914816
214848,60288.0159744
214852,60288.1187328
214957,60290.807424
214961,60290.9090176
214965,60291.0118912
214969,60291.1139712
214972,60291.1906688
216413,60328.0832384
216417,60328.185664
216421,60328.2883328
216425,60328.3905664
216429,60328.492864
216433,60328.5952512
216752,60336.7627136
216756,60336.865088
216795,60337.8632704
216799,60337.9666432
216803,60338.0681472
216807,60338.1709056
217265,60349.8962688
217269,60349.9990784
217308,60350.9972736
217311,60351.0755072
217315,60351.1763456
217319,60351.2791168
220023,60420.506944
220027,60420.6092416
220066,60421.6080768
220070,60421.7101696
220074,60421.8125056
220078,60421.9151616
221065,60447.1846016
221069,60447.286592
221108,60448.2850944
221112,60448.38784
221116,60448.4909824
221119,60448.5669376
224799,60542.7824384
224837,60543.7553024
224841,60543.8576896
224845,60543.9601408
224947,60546.5731712
224951,60546.6739328
224955,60546.7765376
224959,60546.8788096
224963,60546.981824
225722,60566.4132096
225726,60566.5159168
225730,60566.6192768
225734,60566.7203328
225738,60566.8231936
225742,60566.926272
225847,60569.6134656
225888,60570.6637312
225891,60570.7398784
225895,60570.8422912
226000,60573.5314432
226004,60573.632896
226007,60573.7097216
226011,60573.8123904
226015,60573.914688
226186,60578.2924928
226189,60578.369472
226193,60578.4717056
226197,60578.5741056
226201,60578.6765312
226205,60578.7792512
