MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/5/2023 20:21:52,1.17.0,20,80,3.93,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
6/5/2023 20:22:00,1.17.0,20,80,3.93,3,30,Pellet,Left,0,1,1,0,1.89,nan,nan
6/5/2023 20:22:20,1.17.0,20,80,3.93,nan,30,Left,Right,1,1,1,1,nan,nan,0.00
6/5/2023 20:22:43,1.17.0,20,80,3.93,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
6/5/2023 20:22:47,1.17.0,20,80,3.93,2,30,Pellet,Right,2,1,2,1,0.12,47,nan
6/5/2023 20:23:02,1.17.0,20,80,3.93,nan,30,Left,Right,3,1,2,2,nan,nan,0.00
6/5/2023 20:23:22,1.17.0,20,80,3.93,nan,30,Left,Right,4,1,2,2,nan,nan,0.00
6/5/2023 20:23:30,1.17.0,20,80,3.93,nan,30,RightinTimeout,Right,4,1,2,2,nan,nan,0.25
6/5/2023 20:23:30,1.17.0,20,80,3.92,nan,30,RightinTimeout,Right,4,1,2,2,nan,nan,0.04
6/5/2023 20:23:34,1.17.0,20,80,3.93,nan,30,LeftinTimeOut,Right,4,1,2,2,nan,nan,nan
6/5/2023 20:23:46,1.17.0,20,80,3.92,nan,30,Right,Left,4,2,2,2,nan,nan,0.00
6/5/2023 20:23:49,1.17.0,20,80,3.93,2,30,Pellet,Left,4,2,3,2,0.12,62,nan
6/5/2023 20:24:03,1.17.0,20,80,3.93,nan,30,Left,Right,5,2,3,3,nan,nan,0.00
6/5/2023 20:24:06,1.17.0,20,80,3.93,2,30,Pellet,Right,5,2,4,3,0.06,17,nan
6/5/2023 20:24:25,1.17.0,20,80,3.93,nan,30,Right,Left,5,3,4,4,nan,nan,0.00
6/5/2023 20:24:28,1.17.0,20,80,3.93,2,30,Pellet,Left,5,3,5,4,0.06,22,nan
6/5/2023 20:24:52,1.17.0,20,80,3.93,nan,30,Left,Right,6,3,5,5,nan,nan,0.00
6/5/2023 20:25:00,1.17.0,20,80,3.93,4,30,Pellet,Right,6,3,6,5,0.55,32,nan
6/5/2023 20:25:23,1.17.0,20,80,3.93,nan,30,Right,Left,6,4,6,6,nan,nan,0.00
6/5/2023 20:25:27,1.17.0,20,80,3.93,2,30,Pellet,Left,6,4,7,6,0.30,27,nan
6/5/2023 20:25:43,1.17.0,20,80,3.93,nan,30,Right,Left,6,5,7,7,nan,nan,0.00
6/5/2023 20:25:48,1.17.0,20,80,3.92,2,30,Pellet,Left,6,5,8,7,2.08,21,nan
6/5/2023 20:26:05,1.17.0,20,80,3.93,nan,30,Right,Left,6,6,8,8,nan,nan,0.00
6/5/2023 20:26:09,1.17.0,20,80,3.91,2,30,Pellet,Left,6,6,9,8,0.30,21,nan
6/5/2023 20:26:29,1.17.0,20,80,3.93,nan,30,Right,Left,6,7,9,9,nan,nan,0.00
6/5/2023 20:26:45,1.17.0,20,80,3.93,3,30,Pellet,Left,6,7,10,9,10.42,36,nan
6/5/2023 20:27:40,1.17.0,20,80,3.93,nan,30,Left,Right,7,7,10,10,nan,nan,0.00
6/5/2023 20:29:43,1.17.0,20,80,3.93,nan,30,Left,Right,8,7,10,10,nan,nan,0.00
6/5/2023 20:29:47,1.17.0,20,80,3.93,2,30,Pellet,Right,8,7,11,10,1.28,182,nan
6/5/2023 20:30:11,1.17.0,20,80,3.93,nan,30,Right,Left,8,8,11,11,nan,nan,0.00
6/5/2023 20:30:14,1.17.0,20,80,3.92,2,30,Pellet,Left,8,8,12,11,0.18,27,nan
6/5/2023 20:30:30,1.17.0,20,80,3.93,nan,30,Right,Left,8,9,12,12,nan,nan,0.00
6/5/2023 20:30:51,1.17.0,20,80,3.92,nan,30,Right,Left,8,10,12,12,nan,nan,0.00
6/5/2023 20:30:55,1.17.0,20,80,3.93,2,30,Pellet,Left,8,10,13,12,0.18,41,nan
6/5/2023 20:31:13,1.17.0,20,80,3.93,nan,30,Left,Right,9,10,13,13,nan,nan,0.00
6/5/2023 20:31:22,1.17.0,20,80,3.92,nan,30,RightinTimeout,Right,9,10,13,13,nan,nan,0.13
6/5/2023 20:33:58,1.17.0,20,80,3.93,nan,30,Right,Left,9,11,13,13,nan,nan,0.00
6/5/2023 20:34:03,1.17.0,20,80,3.92,1,30,Pellet,Left,9,11,14,13,1.22,188,nan
6/5/2023 20:34:23,1.17.0,20,80,3.93,nan,30,Left,Right,10,11,14,14,nan,nan,0.00
6/5/2023 20:34:27,1.17.0,20,80,3.92,1,30,Pellet,Right,10,11,15,14,0.61,24,nan
6/5/2023 20:34:48,1.17.0,20,80,3.92,nan,30,Left,Right,11,11,15,15,nan,nan,0.00
6/5/2023 20:34:55,1.17.0,20,80,3.93,nan,30,RightinTimeout,Right,11,11,15,15,nan,nan,0.14
6/5/2023 20:34:58,1.17.0,20,80,3.92,nan,30,LeftinTimeOut,Right,11,11,15,15,nan,nan,nan
6/5/2023 20:35:41,1.17.0,20,80,3.92,nan,30,Left,Right,12,11,15,15,nan,nan,0.00
6/5/2023 20:36:00,1.17.0,20,80,3.92,nan,30,Right,Left,12,12,15,15,nan,nan,0.00
6/5/2023 20:36:03,1.17.0,20,80,3.92,2,30,Pellet,Left,12,12,16,15,0.06,96,nan
6/5/2023 20:36:21,1.17.0,20,80,3.92,nan,30,Right,Left,12,13,16,16,nan,nan,0.00
6/5/2023 20:36:40,1.17.0,20,80,3.93,nan,30,Right,Left,12,14,16,16,nan,nan,0.00
6/5/2023 20:36:44,1.17.0,20,80,3.93,1,30,Pellet,Left,12,14,17,16,1.22,41,nan
6/5/2023 20:37:18,1.17.0,20,80,3.93,nan,30,Right,Left,12,15,17,17,nan,nan,0.00
6/5/2023 20:37:21,1.17.0,20,80,3.91,2,30,Pellet,Left,12,15,18,17,0.12,37,nan
6/5/2023 20:37:44,1.17.0,20,80,3.93,nan,30,Left,Right,13,15,18,18,nan,nan,0.00
6/5/2023 20:37:59,1.17.0,20,80,3.93,nan,30,Right,Left,13,16,18,18,nan,nan,0.00
6/5/2023 20:38:02,1.17.0,20,80,3.92,1,30,Pellet,Left,13,16,19,18,0.24,41,nan
6/5/2023 20:38:23,1.17.0,20,80,3.93,nan,30,Left,Right,14,16,19,19,nan,nan,0.00
6/5/2023 20:38:30,1.17.0,20,80,3.93,nan,30,LeftinTimeOut,Right,14,16,19,19,nan,nan,nan
6/5/2023 20:39:36,1.17.0,20,80,3.92,nan,30,Right,Left,14,17,19,19,nan,nan,0.00
6/5/2023 20:39:39,1.17.0,20,80,3.93,1,30,Pellet,Left,14,17,20,19,0.12,97,nan
6/5/2023 20:40:20,1.17.0,20,80,3.93,nan,30,Left,Right,15,17,20,20,nan,nan,0.00
6/5/2023 21:00:15,1.17.0,20,80,3.93,nan,30,Left,Right,16,17,20,20,nan,nan,0.00
6/5/2023 21:00:18,1.17.0,20,80,3.92,nan,30,LeftinTimeOut,Right,16,17,20,20,nan,nan,nan
6/5/2023 21:00:30,1.17.0,20,80,3.92,nan,30,Right,Left,16,18,20,20,nan,nan,0.00
6/5/2023 21:00:33,1.17.0,20,80,3.92,1,30,Pellet,Left,16,18,21,20,0.06,1254,nan
6/5/2023 21:00:44,1.17.0,20,80,3.92,nan,30,Left,Right,17,18,21,21,nan,nan,0.00
6/5/2023 21:00:52,1.17.0,20,80,3.92,nan,30,LeftinTimeOut,Right,17,18,21,21,nan,nan,nan
6/5/2023 21:00:53,1.17.0,20,80,3.93,nan,30,LeftinTimeOut,Right,17,18,21,21,nan,nan,nan
6/5/2023 21:01:09,1.17.0,20,80,3.93,nan,30,Left,Right,18,18,21,21,nan,nan,0.00
6/5/2023 21:14:09,1.17.0,20,80,3.93,nan,30,Right,Left,18,19,21,21,nan,nan,0.00
6/5/2023 21:14:14,1.17.0,20,80,3.93,2,30,Pellet,Left,18,19,22,21,0.18,821,nan
6/5/2023 21:14:32,1.17.0,20,80,3.92,nan,30,Right,Left,18,20,22,22,nan,nan,0.00
6/5/2023 21:14:43,1.17.0,20,80,3.92,2,30,Pellet,Left,18,20,23,22,7.23,29,nan
6/5/2023 21:15:03,1.17.0,20,80,3.93,nan,30,Right,Left,18,21,23,23,nan,nan,0.00
