MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/4/2023 20:40:24,1.17.0,Bandit,0,4.18,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.17
10/4/2023 20:40:51,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,1,1,0,0,nan,nan,0.04
10/4/2023 20:40:56,1.17.0,Bandit,0,4.18,3,30,80,20,Pellet,Left,1,1,1,0,0.42,nan,nan
10/4/2023 20:41:04,1.17.0,Bandit,0,4.19,nan,30,80,20,Left,Left,2,1,1,1,nan,nan,0.16
10/4/2023 20:41:07,1.17.0,Bandit,0,4.18,2,30,80,20,Pellet,Left,2,1,2,1,0.42,11,nan
10/4/2023 20:41:34,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,3,1,2,2,nan,nan,0.22
10/4/2023 20:41:36,1.17.0,Bandit,0,4.18,2,30,80,20,Pellet,Left,3,1,3,2,0.42,29,nan
10/4/2023 20:41:48,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,4,1,3,3,nan,nan,0.04
10/4/2023 20:41:51,1.17.0,Bandit,0,4.18,2,30,80,20,Pellet,Left,4,1,4,3,0.42,14,nan
10/4/2023 20:42:03,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,5,1,4,4,nan,nan,0.11
10/4/2023 20:42:20,1.17.0,Bandit,0,4.19,3,30,80,20,Pellet,Left,5,1,5,4,10.59,29,nan
10/4/2023 20:42:39,1.17.0,Bandit,0,4.19,nan,30,80,20,Left,Left,6,1,5,5,nan,nan,0.11
10/4/2023 20:42:42,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,6,1,6,5,0.42,23,nan
10/4/2023 20:42:55,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,7,1,6,6,nan,nan,0.03
10/4/2023 20:42:58,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,7,1,7,6,0.84,16,nan
10/4/2023 20:43:14,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,8,1,7,7,nan,nan,0.02
10/4/2023 20:43:16,1.17.0,Bandit,0,4.19,1,30,80,20,Pellet,Left,8,1,8,7,0.54,18,nan
10/4/2023 20:44:07,1.17.0,Bandit,0,4.19,nan,30,80,20,Right,Left,8,2,8,8,nan,nan,0.11
10/4/2023 20:45:26,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,9,2,8,8,nan,nan,0.08
10/4/2023 20:45:36,1.17.0,Bandit,0,4.19,nan,30,80,20,RightinTimeout,Left,9,2,8,8,nan,nan,0.00
10/4/2023 20:45:53,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,10,2,8,8,nan,nan,0.32
10/4/2023 20:45:56,1.17.0,Bandit,0,4.19,1,30,80,20,Pellet,Left,10,2,9,8,0.60,160,nan
10/4/2023 20:46:12,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,11,2,9,9,nan,nan,0.11
10/4/2023 20:46:19,1.17.0,Bandit,0,4.18,nan,30,80,20,RightinTimeout,Left,11,2,9,9,nan,nan,0.00
10/4/2023 20:47:04,1.17.0,Bandit,0,4.19,nan,30,80,20,Left,Left,12,2,9,9,nan,nan,0.17
10/4/2023 20:47:07,1.17.0,Bandit,0,4.19,1,30,80,20,Pellet,Left,12,2,10,9,0.60,71,nan
10/4/2023 20:47:31,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,13,2,10,10,nan,nan,0.16
10/4/2023 20:47:33,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,13,2,11,10,0.42,26,nan
10/4/2023 20:47:55,1.17.0,Bandit,0,4.19,nan,30,80,20,Left,Left,14,2,11,11,nan,nan,0.12
10/4/2023 20:48:09,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,15,2,11,11,nan,nan,0.22
10/4/2023 20:48:12,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,15,2,12,11,0.60,39,nan
10/4/2023 20:48:31,1.17.0,Bandit,0,4.19,nan,30,80,20,Left,Left,16,2,12,12,nan,nan,0.15
10/4/2023 20:48:34,1.17.0,Bandit,0,4.19,1,30,80,20,Pellet,Left,16,2,13,12,0.42,22,nan
10/4/2023 20:49:01,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,17,2,13,13,nan,nan,0.08
10/4/2023 20:49:35,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,18,2,13,13,nan,nan,0.13
10/4/2023 20:49:37,1.17.0,Bandit,0,4.19,1,30,80,20,Pellet,Left,18,2,14,13,0.54,63,nan
10/4/2023 20:49:56,1.17.0,Bandit,0,4.18,nan,30,80,20,Right,Left,18,3,14,14,nan,nan,0.12
10/4/2023 20:51:07,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,19,3,14,14,nan,nan,0.18
10/4/2023 20:51:10,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,19,3,15,14,0.42,93,nan
10/4/2023 20:51:27,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,20,3,15,15,nan,nan,0.03
10/4/2023 20:51:30,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,20,3,16,15,0.42,20,nan
10/4/2023 20:51:52,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,21,3,16,16,nan,nan,0.09
10/4/2023 20:51:54,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,21,3,17,16,0.42,24,nan
10/4/2023 20:52:15,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,22,3,17,17,nan,nan,0.05
10/4/2023 20:52:18,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,22,3,18,17,0.42,24,nan
10/4/2023 20:52:37,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,23,3,18,18,nan,nan,0.07
10/4/2023 20:59:53,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,24,3,18,18,nan,nan,0.20
10/4/2023 20:59:56,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,24,3,19,18,0.97,458,nan
10/4/2023 21:00:18,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,25,3,19,19,nan,nan,0.21
10/4/2023 21:00:24,1.17.0,Bandit,0,4.18,nan,30,80,20,RightinTimeout,Left,25,3,19,19,nan,nan,0.00
10/4/2023 21:00:46,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,26,3,19,19,nan,nan,0.21
10/4/2023 21:12:08,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,27,3,19,19,nan,nan,0.09
10/4/2023 21:12:11,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,27,3,20,19,0.84,735,nan
10/4/2023 21:12:27,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,28,3,20,20,nan,nan,0.13
10/4/2023 21:12:30,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,28,3,21,20,0.91,19,nan
10/4/2023 21:12:49,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,29,3,21,21,nan,nan,0.13
10/4/2023 21:12:52,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,29,3,22,21,0.42,22,nan
10/4/2023 21:13:14,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,30,3,22,22,nan,nan,0.19
10/4/2023 21:13:17,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,30,3,23,22,0.42,25,nan
10/4/2023 21:13:35,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,31,3,23,23,nan,nan,0.09
10/4/2023 21:13:38,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,31,3,24,23,0.42,21,nan
10/4/2023 21:23:33,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,32,3,24,24,nan,nan,0.06
10/4/2023 21:23:36,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,32,3,25,24,0.54,598,nan
10/4/2023 21:23:56,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,33,3,25,25,nan,nan,0.03
10/4/2023 21:23:59,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,33,3,26,25,0.42,23,nan
10/4/2023 21:24:23,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,34,3,26,26,nan,nan,0.15
10/4/2023 21:24:26,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,34,3,27,26,0.42,27,nan
10/4/2023 21:24:46,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,35,3,27,27,nan,nan,0.04
10/4/2023 21:24:48,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,35,3,28,27,0.42,22,nan
10/4/2023 21:25:07,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,36,3,28,28,nan,nan,0.06
10/4/2023 21:25:09,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,36,3,29,28,0.42,21,nan
10/4/2023 21:25:26,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,37,3,29,29,nan,nan,0.02
10/4/2023 21:25:29,1.17.0,Bandit,0,4.18,1,30,80,20,Pellet,Left,37,3,30,29,0.42,20,nan
10/4/2023 21:37:26,1.17.0,Bandit,0,4.18,nan,30,20,80,Left,Right,38,3,30,0,nan,nan,0.19
10/4/2023 21:37:29,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,38,3,31,0,0.42,720,nan
10/4/2023 21:43:09,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,38,4,31,1,nan,nan,0.08
10/4/2023 21:43:12,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,38,4,32,1,0.66,343,nan
10/4/2023 21:43:32,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,38,5,32,2,nan,nan,0.12
10/4/2023 21:43:34,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,38,5,33,2,0.42,22,nan
10/4/2023 21:43:54,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,38,6,33,3,nan,nan,0.19
10/4/2023 21:43:57,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,38,6,34,3,0.42,23,nan
10/4/2023 21:44:15,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,38,7,34,4,nan,nan,0.09
10/4/2023 21:44:18,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,38,7,35,4,0.42,21,nan
10/4/2023 21:44:36,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,38,8,35,5,nan,nan,0.00
10/4/2023 21:44:39,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,38,8,36,5,0.42,21,nan
10/4/2023 21:49:48,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,38,9,36,6,nan,nan,0.03
10/4/2023 22:13:22,1.17.0,Bandit,0,4.18,nan,30,20,80,Left,Right,39,9,36,6,nan,nan,0.05
10/4/2023 22:13:37,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,39,10,36,6,nan,nan,0.06
10/4/2023 22:13:40,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,39,10,37,6,0.72,1741,nan
10/4/2023 22:13:55,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,39,11,37,7,nan,nan,0.09
10/4/2023 22:13:57,1.17.0,Bandit,0,4.17,1,30,20,80,Pellet,Right,39,11,38,7,0.42,17,nan
10/4/2023 22:14:14,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,39,12,38,8,nan,nan,0.09
10/4/2023 22:14:17,1.17.0,Bandit,0,4.18,nan,30,20,80,RightinTimeout,Right,39,12,38,8,nan,nan,0.00
10/4/2023 22:14:19,1.17.0,Bandit,0,4.18,nan,30,20,80,RightinTimeout,Right,39,12,38,8,nan,nan,0.00
10/4/2023 22:14:24,1.17.0,Bandit,0,4.17,nan,30,20,80,RightinTimeout,Right,39,12,38,8,nan,nan,0.00
10/4/2023 22:14:40,1.17.0,Bandit,0,4.18,nan,30,20,80,Left,Right,40,12,38,8,nan,nan,0.10
10/4/2023 22:16:09,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,41,12,38,8,nan,nan,0.03
10/4/2023 22:17:21,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,42,12,38,8,nan,nan,0.23
10/4/2023 22:17:23,1.17.0,Bandit,0,4.18,nan,30,20,80,LeftinTimeOut,Right,42,12,38,8,nan,nan,nan
10/4/2023 22:18:45,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,43,12,38,8,nan,nan,0.13
10/4/2023 22:18:48,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,43,12,39,8,0.66,291,nan
10/4/2023 22:19:05,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,43,13,39,9,nan,nan,0.08
10/4/2023 22:19:08,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,43,13,40,9,0.42,20,nan
10/4/2023 22:19:26,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,43,14,40,10,nan,nan,0.03
10/4/2023 22:20:46,1.17.0,Bandit,0,4.18,nan,30,20,80,Left,Right,44,14,40,10,nan,nan,0.25
10/4/2023 22:23:47,1.17.0,Bandit,0,4.18,nan,30,20,80,Left,Right,45,14,40,10,nan,nan,0.02
10/4/2023 22:25:27,1.17.0,Bandit,0,4.18,nan,30,20,80,Left,Right,46,14,40,10,nan,nan,0.02
10/4/2023 22:25:30,1.17.0,Bandit,0,4.17,1,30,20,80,Pellet,Right,46,14,41,10,0.72,382,nan
10/4/2023 22:25:49,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,46,15,41,11,nan,nan,0.02
10/4/2023 22:25:52,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,46,15,42,11,0.42,22,nan
10/4/2023 22:26:11,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,46,16,42,12,nan,nan,0.11
10/4/2023 22:26:13,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,46,16,43,12,0.42,21,nan
10/4/2023 22:26:29,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,46,17,43,13,nan,nan,0.12
10/4/2023 22:26:31,1.17.0,Bandit,0,4.17,1,30,20,80,Pellet,Right,46,17,44,13,0.42,18,nan
10/4/2023 22:26:51,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,46,18,44,14,nan,nan,0.02
10/4/2023 22:26:54,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,46,18,45,14,0.42,23,nan
10/4/2023 22:27:10,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,46,19,45,15,nan,nan,0.07
10/4/2023 22:27:12,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,46,19,46,15,0.42,18,nan
10/4/2023 22:27:29,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,46,20,46,16,nan,nan,0.02
10/4/2023 22:27:32,1.17.0,Bandit,0,4.17,1,30,20,80,Pellet,Right,46,20,47,16,0.42,20,nan
10/4/2023 22:27:50,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,46,21,47,17,nan,nan,0.06
10/4/2023 22:27:53,1.17.0,Bandit,0,4.17,1,30,20,80,Pellet,Right,46,21,48,17,0.42,21,nan
10/4/2023 22:28:10,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,46,22,48,18,nan,nan,0.08
10/4/2023 22:28:12,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,46,22,49,18,0.42,19,nan
10/4/2023 22:28:32,1.17.0,Bandit,0,4.17,nan,30,20,80,Right,Right,46,23,49,19,nan,nan,0.14
10/4/2023 22:28:35,1.17.0,Bandit,0,4.18,1,30,20,80,Pellet,Right,46,23,50,19,0.42,23,nan
10/4/2023 22:28:52,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,46,24,50,20,nan,nan,0.04
10/4/2023 22:28:54,1.17.0,Bandit,0,4.17,1,30,20,80,Pellet,Right,46,24,51,20,0.42,19,nan
10/4/2023 22:29:11,1.17.0,Bandit,0,4.18,nan,30,20,80,Right,Right,46,25,51,21,nan,nan,0.08
10/4/2023 22:49:01,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,47,25,51,21,nan,nan,0.09
10/4/2023 22:49:04,1.17.0,Bandit,0,4.17,nan,30,20,80,LeftinTimeOut,Right,47,25,51,21,nan,nan,nan
10/4/2023 22:49:33,1.17.0,Bandit,0,4.16,nan,30,20,80,Left,Right,48,25,51,21,nan,nan,0.17
10/4/2023 22:49:35,1.17.0,Bandit,0,4.17,1,30,20,80,Pellet,Right,48,25,52,21,0.42,1241,nan
10/4/2023 22:49:54,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,49,25,52,22,nan,nan,0.02
10/4/2023 22:49:57,1.17.0,Bandit,0,4.17,1,30,20,80,Pellet,Right,49,25,53,22,0.42,22,nan
10/4/2023 22:50:31,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,50,25,53,23,nan,nan,0.10
10/4/2023 22:50:35,1.17.0,Bandit,0,4.17,nan,30,20,80,LeftinTimeOut,Right,50,25,53,23,nan,nan,nan
10/4/2023 22:50:37,1.17.0,Bandit,0,4.17,nan,30,20,80,LeftinTimeOut,Right,50,25,53,23,nan,nan,nan
10/4/2023 22:50:42,1.17.0,Bandit,0,4.17,nan,30,20,80,RightinTimeout,Right,50,25,53,23,nan,nan,0.00
10/4/2023 22:51:17,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,51,25,53,23,nan,nan,0.02
10/4/2023 23:02:04,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,52,25,53,23,nan,nan,0.07
10/4/2023 23:04:38,1.17.0,Bandit,0,4.17,nan,30,20,80,Left,Right,53,25,53,23,nan,nan,0.12
