MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/12/2024 19:46:55,1.17.0,Bandit,72,4.15,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.35
11/12/2024 19:47:01,1.17.0,Bandit,72,4.15,3,30,80,20,Pellet,Left,1,0,1,0,0.46,nan,nan
11/12/2024 19:47:36,1.17.0,Bandit,72,4.14,nan,30,80,20,Right,Left,1,1,1,1,nan,nan,0.09
11/12/2024 19:47:49,1.17.0,Bandit,72,4.15,nan,30,80,20,Right,Left,1,2,1,1,nan,nan,0.12
11/12/2024 19:47:53,1.17.0,Bandit,72,4.15,2,30,80,20,Pellet,Left,1,2,2,1,0.52,52,nan
11/12/2024 19:49:06,1.17.0,Bandit,72,4.15,nan,30,80,20,Right,Left,1,3,2,2,nan,nan,0.19
11/12/2024 19:49:29,1.17.0,Bandit,72,4.15,nan,30,80,20,Left,Left,2,3,2,2,nan,nan,0.08
11/12/2024 19:49:33,1.17.0,Bandit,72,4.16,nan,30,80,20,RightinTimeout,Left,2,3,2,2,nan,nan,0.00
11/12/2024 19:49:35,1.17.0,Bandit,72,4.15,nan,30,80,20,LeftinTimeOut,Left,2,3,2,2,nan,nan,nan
11/12/2024 19:49:35,1.17.0,Bandit,72,4.15,nan,30,80,20,LeftinTimeOut,Left,2,3,2,2,nan,nan,nan
11/12/2024 19:50:01,1.17.0,Bandit,72,4.16,nan,30,80,20,Right,Left,2,4,2,2,nan,nan,0.09
11/12/2024 19:50:18,1.17.0,Bandit,72,4.15,nan,30,80,20,Left,Left,3,4,2,2,nan,nan,0.19
11/12/2024 19:50:23,1.17.0,Bandit,72,4.15,2,30,80,20,Pellet,Left,3,4,3,2,0.95,150,nan
11/12/2024 19:50:36,1.17.0,Bandit,72,4.15,nan,30,80,20,Left,Left,4,4,3,3,nan,nan,0.06
11/12/2024 19:50:42,1.17.0,Bandit,72,4.15,2,30,80,20,Pellet,Left,4,4,4,3,0.46,19,nan
11/12/2024 19:51:35,1.17.0,Bandit,72,4.15,nan,30,80,20,Left,Left,5,4,4,4,nan,nan,0.21
11/12/2024 19:51:38,1.17.0,Bandit,72,4.15,1,30,80,20,Pellet,Left,5,4,5,4,0.46,56,nan
11/12/2024 19:52:05,1.17.0,Bandit,72,4.15,nan,30,80,20,Left,Left,6,4,5,5,nan,nan,0.20
11/12/2024 19:52:09,1.17.0,Bandit,72,4.16,2,30,80,20,Pellet,Left,6,4,6,5,0.46,31,nan
11/12/2024 19:52:21,1.17.0,Bandit,72,4.15,nan,30,80,20,Left,Left,7,4,6,6,nan,nan,0.19
11/12/2024 19:52:23,1.17.0,Bandit,72,4.15,nan,30,80,20,LeftinTimeOut,Left,7,4,6,6,nan,nan,nan
11/12/2024 19:52:28,1.17.0,Bandit,72,4.16,nan,30,80,20,LeftinTimeOut,Left,7,4,6,6,nan,nan,nan
11/12/2024 19:52:31,1.17.0,Bandit,72,4.15,nan,30,80,20,LeftinTimeOut,Left,7,4,6,6,nan,nan,nan
11/12/2024 19:52:36,1.17.0,Bandit,72,4.15,nan,30,80,20,RightinTimeout,Left,7,4,6,6,nan,nan,0.00
11/12/2024 19:52:54,1.17.0,Bandit,72,4.15,nan,30,80,20,Left,Left,8,4,6,6,nan,nan,0.15
11/12/2024 19:52:57,1.17.0,Bandit,72,4.15,nan,30,80,20,LeftinTimeOut,Left,8,4,6,6,nan,nan,nan
11/12/2024 19:52:59,1.17.0,Bandit,72,4.15,nan,30,80,20,RightinTimeout,Left,8,4,6,6,nan,nan,0.00
11/12/2024 19:53:06,1.17.0,Bandit,72,4.15,nan,30,80,20,LeftinTimeOut,Left,8,4,6,6,nan,nan,nan
11/12/2024 19:53:15,1.17.0,Bandit,72,4.15,nan,30,80,20,LeftinTimeOut,Left,8,4,6,6,nan,nan,nan
11/12/2024 19:53:18,1.17.0,Bandit,72,4.16,nan,30,80,20,RightinTimeout,Left,8,4,6,6,nan,nan,0.00
