MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/16/2025 19:59:18,1.17.0,Bandit,0,3.83,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.00
1/16/2025 20:07:23,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.08
1/16/2025 20:13:00,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.00
1/16/2025 20:40:25,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.07
1/16/2025 20:42:17,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.08
1/16/2025 20:46:39,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.09
1/16/2025 20:47:51,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.47
1/16/2025 20:48:15,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.18
1/16/2025 20:48:45,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.05
1/16/2025 20:50:17,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.09
1/16/2025 20:50:42,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.09
1/16/2025 20:51:10,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.10
1/16/2025 20:51:13,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.49
1/16/2025 20:51:24,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.00
1/16/2025 20:51:24,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.00
1/16/2025 20:51:41,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,10.63
1/16/2025 20:55:15,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.05
1/16/2025 20:55:21,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.51
1/16/2025 20:55:24,1.17.0,Bandit,0,3.84,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.04
1/16/2025 20:56:01,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.04
1/16/2025 20:56:04,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.01
1/16/2025 20:56:18,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.10
1/16/2025 20:56:30,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.05
1/16/2025 20:57:10,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.03
1/16/2025 20:58:18,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.31
1/16/2025 20:58:22,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.32
1/16/2025 20:59:20,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.03
1/16/2025 20:59:34,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.68
1/16/2025 20:59:44,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.03
1/16/2025 21:00:12,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.03
1/16/2025 21:00:17,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.05
1/16/2025 21:01:56,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.54
1/16/2025 21:02:11,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.33
1/16/2025 21:02:41,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.47
1/16/2025 21:02:43,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.35
1/16/2025 21:02:45,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.36
1/16/2025 21:02:56,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.27
1/16/2025 21:03:33,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.09
1/16/2025 21:03:39,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.06
1/16/2025 21:03:54,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.16
1/16/2025 21:03:56,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.34
1/16/2025 21:04:16,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.50
1/16/2025 21:04:21,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.06
1/16/2025 21:05:06,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.03
1/16/2025 21:05:51,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.09
1/16/2025 21:06:12,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.06
1/16/2025 21:06:32,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.04
1/16/2025 21:06:36,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.40
1/16/2025 21:06:40,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.46
1/16/2025 21:07:10,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.49
1/16/2025 21:07:33,1.17.0,Bandit,0,3.83,nan,30,80,20,RightWithPellet,Left,0,1,0,0,nan,nan,0.16
1/16/2025 21:07:49,1.17.0,Bandit,0,3.83,3,30,80,20,Pellet,Left,0,1,1,0,Timed_out,nan,nan
1/16/2025 21:08:17,1.17.0,Bandit,0,3.83,nan,30,80,20,Right,Left,0,2,1,1,nan,nan,0.43
1/16/2025 21:08:19,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftinTimeOut,Left,0,2,1,1,nan,nan,nan
1/16/2025 21:11:37,1.17.0,Bandit,0,3.83,nan,30,80,20,Left,Left,1,2,1,1,nan,nan,0.16
1/16/2025 21:12:18,1.17.0,Bandit,0,3.82,nan,30,80,20,LeftWithPellet,Left,1,2,1,1,nan,nan,0.55
1/16/2025 21:12:32,1.17.0,Bandit,0,3.83,nan,30,80,20,LeftWithPellet,Left,1,2,1,1,nan,nan,0.18
1/16/2025 21:12:38,1.17.0,Bandit,0,3.83,2,30,80,20,Pellet,Left,1,2,2,1,57.71,289,nan
1/16/2025 22:57:02,1.17.0,Bandit,0,3.83,nan,30,80,20,Right,Left,1,3,2,2,nan,nan,1.26
1/16/2025 22:57:06,1.17.0,Bandit,0,3.83,2,30,80,20,Pellet,Left,1,3,3,2,0.84,6268,nan
1/16/2025 22:57:39,1.17.0,Bandit,0,3.83,nan,30,80,20,Right,Left,1,4,3,3,nan,nan,0.12
1/16/2025 22:57:44,1.17.0,Bandit,0,3.83,nan,30,80,20,RightinTimeout,Left,1,4,3,3,nan,nan,0.00
1/16/2025 22:57:48,1.17.0,Bandit,0,3.83,nan,30,80,20,RightinTimeout,Left,1,4,3,3,nan,nan,0.00
