,Timestamps
87773,57249.80942
87777,57249.91214
87816,57250.91066
87820,57251.01425
87823,57251.08979
88089,57257.8997
88093,57258.00209
88097,57258.1049
88100,57258.18129
88104,57258.28371
88123,57258.77015
88127,57258.87329
88131,57258.97498
88135,57259.07731
88139,57259.17989
88143,57259.28278
89185,57285.96
89189,57286.06454
89227,57287.03524
89231,57287.1372
89235,57287.23954
89338,57289.87681
89342,57289.97987
89346,57290.0814
89350,57290.18419
89354,57290.28617
89390,57291.20787
89394,57291.3108
89398,57291.41417
89402,57291.5151
89406,57291.61786
89409,57291.69526
90209,57312.17628
90213,57312.27863
90252,57313.27711
90256,57313.37944
90259,57313.45792
90362,57316.09303
90365,57316.17021
90369,57316.27384
90373,57316.37521
90377,57316.47759
90510,57319.88274
90514,57319.98481
90518,57320.08741
90522,57320.18959
90526,57320.29204
90530,57320.39419
92001,57358.0548
92005,57358.15721
92043,57359.13156
92047,57359.2325
92051,57359.33522
92154,57361.97229
92158,57362.07438
92162,57362.17676
92166,57362.27928
92170,57362.38172
92264,57364.78815
92267,57364.86495
92271,57364.96753
92275,57365.07112
92279,57365.17334
92283,57365.27464
95613,57450.52984
95652,57451.5279
95655,57451.60462
95659,57451.70794
95663,57451.81071
98861,57533.68488
98865,57533.78744
98904,57534.78591
98908,57534.88835
98912,57534.99199
99017,57537.67873
99021,57537.78121
99025,57537.88602
99029,57537.98618
99033,57538.08992
99149,57541.05965
99153,57541.16063
99156,57541.23781
99160,57541.34132
99164,57541.44224
99168,57541.54514
99532,57550.86478
99536,57550.96618
99574,57551.93915
99578,57552.04154
99582,57552.14399
99684,57554.75569
99688,57554.85847
99692,57554.96013
99696,57555.06252
99700,57555.16506
100779,57582.78953
100783,57582.89198
100787,57582.99437
100791,57583.0971
100795,57583.20179
100799,57583.30157
101768,57608.11034
101772,57608.21243
101811,57609.21105
101815,57609.31329
101819,57609.41572
101921,57612.02748
101925,57612.12966
101929,57612.23194
101933,57612.33454
101937,57612.43804
102373,57623.59926
102377,57623.70163
102381,57623.80407
102385,57623.90657
102388,57623.98363
102392,57624.08582
102756,57633.40485
102760,57633.5073
102799,57634.50602
102803,57634.60812
102807,57634.71053
102913,57637.42435
102916,57637.50126
102920,57637.60376
102924,57637.70606
102928,57637.80948
103237,57645.71962
103241,57645.82214
103245,57645.92547
103249,57646.02703
103253,57646.12946
103257,57646.23171
104249,57671.62872
104253,57671.73119
104291,57672.70406
104295,57672.80648
104299,57672.90941
104401,57675.52024
104405,57675.6226
104409,57675.72507
104413,57675.82748
104417,57675.92984
121580,58715.30776
121584,58715.4105
121623,58716.40872
121627,58716.51121
121631,58716.61352
121735,58719.27608
121739,58719.37857
121742,58719.45532
121746,58719.55808
121750,58719.66159
121864,58722.57888
121868,58722.68124
121871,58722.75805
121875,58722.86144
121879,58722.96285
121883,58723.06532
129433,58916.36124
129437,58916.46367
129478,58917.51384
129482,58917.61596
129486,58917.7182
129587,58920.30399
129591,58920.40733
129595,58920.50879
129599,58920.61116
129603,58920.71384
130140,58934.46191
130144,58934.5644
130148,58934.66752
130152,58934.77226
130156,58934.87213
130160,58934.97399
130464,58942.75767
130468,58942.85952
130507,58943.85843
130511,58943.96078
130515,58944.06316
