Time,Isosbestic,Fluorescence
0,230.247,209.337
0.200002,230.479,209.345
0.399997,230.31,209.344
0.600001,230.394,209.224
0.800001,230.234,209.338
1.000001,230.3,209.084
1.199998,230.071,209.168
1.399996,230.132,209.346
1.599998,230.249,209.194
1.800002,230.049,208.974
2.000001,229.933,209.198
2.200002,230.246,209.054
2.399996,230.155,209.14
2.599996,230.336,209.25
2.799998,230.28,209.283
2.999995,229.967,209.049
3.199999,230.118,209.076
3.400001,230.161,209.027
3.599998,230.174,209.234
3.799998,230.275,209.167
3.999996,230.051,209.208
4.200001,230.022,209.144
4.399996,230.026,208.918
4.599996,230.139,209.141
4.799997,230.188,209.184
4.999996,230.034,209.367
5.200001,229.996,209.31
5.4,229.93,209.234
5.599998,230.065,209.254
5.799998,230.02,208.955
5.999999,229.84,209.054
6.200001,230.122,209
6.400001,230.091,209.214
6.600002,230.185,209.045
6.8,230.104,209.257
6.999997,230.061,209.002
7.200001,230.131,209.07
7.399998,230.021,208.982
7.600001,229.865,209.197
7.799996,230.023,209.19
7.999997,230.061,208.985
8.199998,229.745,209.031
8.399996,229.922,208.989
8.599996,229.929,209.206
8.800001,229.877,209.186
9,230.088,209.116
9.199996,230.174,208.989
9.399996,229.949,209.232
9.6,230.087,209.189
9.8,230.151,209.079
10.000002,230.024,209.154
10.2,230.08,209.197
10.400001,230.048,209.085
10.600002,230.049,208.989
10.799998,229.932,209.266
11.000001,229.965,209.081
11.200001,230.019,209.083
11.4,230.025,209.144
11.600002,229.901,209.192
11.799999,229.724,209.071
12.000001,230.09,209.101
12.199995,230.102,209.084
12.399999,229.927,209.121
12.599998,230.073,209.04
12.800002,229.848,209.218
13.000001,230.111,208.816
13.199997,230.116,209.008
13.399995,229.863,208.957
13.599997,229.996,208.911
13.800002,229.799,209.102
13.999996,229.89,208.999
14.199995,229.929,209.093
14.399997,229.893,208.983
14.600002,230.014,209.201
14.800001,229.95,209.098
15.000001,229.883,209.087
15.199999,229.829,208.958
15.400001,230.072,209.198
15.599995,230.103,209.163
15.799997,229.98,209.071
15.999979,229.994,209.379
16.199962,229.953,209.072
16.399935,230.036,209.021
16.599919,229.89,209.024
16.799896,229.89,209.025
16.999874,229.971,209.072
17.199847,229.859,209.018
17.399826,229.844,209.151
17.5998,229.872,209.031
17.799781,229.912,209.146
17.999755,229.909,209.008
18.199731,229.826,208.715
18.399701,229.947,209.14
18.59968,229.926,208.744
18.799648,229.936,209.026
18.999621,230.015,209.119
19.199593,229.757,208.979
19.399568,230.017,208.98
19.599542,229.617,208.993
19.79951,230.062,209.018
19.999478,229.852,209.057
20.199454,229.956,209.089
20.399419,229.687,209.163
20.599392,229.831,209.122
20.799355,230.029,209.171
20.999323,230.101,208.996
21.199291,229.823,209.082
21.399263,229.992,208.97
21.599225,229.876,208.992
21.799196,230.02,209.168
21.999157,229.781,209.11
22.199123,229.984,209.366
22.39909,230.028,209.03
22.599051,229.924,209.01
22.799018,229.9,209.075
22.998977,229.843,209.093
23.198944,230.025,209.018
23.398901,229.705,209.028
23.598862,229.882,209.005
23.798827,229.836,209.07
23.998818,229.844,208.974
24.198813,230.1,209.033
24.398812,229.894,209.078
24.598807,229.825,209.203
24.798798,229.918,208.929
24.998794,230.063,209.069
25.198794,229.813,208.912
25.398786,229.907,208.904
25.598783,230.004,209.059
25.798777,229.901,209.156
25.998773,230.008,209.2
26.19877,229.979,209.137
26.398766,229.919,208.969
26.598764,229.942,209.079
26.798759,229.889,208.931
26.998752,229.703,208.901
27.198752,229.889,209.179
27.398745,229.767,209.087
27.598741,229.959,208.961
27.798742,229.934,208.905
27.998738,229.771,209.125
28.198732,230.054,209.08
28.39873,230.11,208.881
28.598725,229.866,208.994
28.798721,229.953,208.927
28.99872,229.811,208.995
29.198721,229.819,209.022
29.398714,229.754,208.991
29.598713,229.796,209.067
29.798713,229.927,208.929
29.998711,229.79,208.836
30.198705,229.625,209.04
30.398704,229.768,208.91
30.598698,229.786,208.937
30.798701,229.85,208.827
30.998694,229.783,209.081
31.198695,229.862,208.93
31.398695,229.579,208.992
31.598687,229.785,209.053
31.798686,229.81,208.88
31.998682,229.689,209.151
32.198681,229.808,209.098
32.39868,229.728,209.079
32.598674,229.841,208.943
32.798667,229.782,208.85
32.998664,229.727,209.025
33.198666,229.988,208.904
