Treatment,Mouse,Baseline_end,Post_start
saline,C115a,1107,2077
saline,C115c,2300,9115
saline,FC1M1,1950,6050
saline,FC1M2,1580,6400
saline,FC2F1,1850,5000
saline,GAC1M1,2450,5950
saline,GAC1M2,2100,5750
saline,FC3M2,1700,5800
saline,FC3M3,1670,4300
saline,FC3M5,1900,8200
0.1mgml,FC3M5,2000,5600
0.1mgml,FC1M2,2200,5500
0.1mgml,FC1M3,2500,5800
0.1mgml,FC3M2,2200,6500
0.1mgml,FC1M1,2100,6500
0.1mgml,FC3M3,3400,7000
1mgml,C115c,2350,7400
1mgml,C115d,2250,6750
1mgml,C115a,2000,6200
1mgml,FC1M1,2450,4800
1mgml,FC1M3,1950,10500
1mgml,FC1M2,2250,5600
2mgml,C115a,2200,6710
2mgml,C115d,1950,5250
2mgml,FC1M1,2000,4500
2mgml,FC1M2,1750,6300
2mgml,GAC1M1,2100,5400
2mgml,FC1M3,2200,11200
4mgml,C115c,1057,2080
4mgml,FC1M1,4000,8800
4mgml,C115a,2250,6900
4mgml,FC1M2,2450,5100
4mgml,FC1M3,2100,5100
4mgml,FC3M2,2900,7800
