MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/27/2023 11:51:46,1.17.0,20,80,4.14,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
5/27/2023 11:51:52,1.17.0,20,80,4.14,3,30,Pellet,Left,0,1,1,0,0.85,nan,nan
5/27/2023 11:52:12,1.17.0,20,80,4.14,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
5/27/2023 11:52:17,1.17.0,20,80,4.14,2,30,Pellet,Left,0,2,2,1,1.95,25,nan
5/27/2023 11:52:33,1.17.0,20,80,4.11,nan,30,Right,Left,0,3,2,2,nan,nan,0.00
5/27/2023 11:52:37,1.17.0,20,80,4.14,2,30,Pellet,Left,0,3,3,2,0.36,20,nan
5/27/2023 11:53:04,1.17.0,20,80,4.14,nan,30,Left,Right,1,3,3,3,nan,nan,0.00
5/27/2023 12:01:08,1.17.0,20,80,4.14,nan,30,Right,Left,1,4,3,3,nan,nan,0.00
5/27/2023 12:01:13,1.17.0,20,80,4.14,2,30,Pellet,Left,1,4,4,3,1.64,515,nan
5/27/2023 12:01:36,1.17.0,20,80,4.14,nan,30,Left,Right,2,4,4,4,nan,nan,0.00
5/27/2023 12:07:47,1.17.0,20,80,4.14,nan,30,Right,Left,2,5,4,4,nan,nan,0.00
5/27/2023 12:10:42,1.17.0,20,80,4.14,nan,30,Right,Left,2,6,4,4,nan,nan,0.00
5/27/2023 12:10:53,1.17.0,20,80,4.14,nan,30,LeftinTimeOut,Left,2,6,4,4,nan,nan,nan
5/27/2023 12:12:54,1.17.0,20,80,4.13,nan,30,Right,Left,2,7,4,4,nan,nan,0.00
5/27/2023 12:13:10,1.17.0,20,80,4.14,1,30,Pellet,Left,2,7,5,4,12.93,718,nan
5/27/2023 12:16:22,1.17.0,20,80,4.14,nan,30,Right,Left,2,8,5,5,nan,nan,0.00
5/27/2023 12:16:25,1.17.0,20,80,4.13,1,30,Pellet,Left,2,8,6,5,0.06,195,nan
5/27/2023 13:04:00,1.17.0,20,80,4.12,nan,30,Right,Left,2,9,6,6,nan,nan,0.00
5/27/2023 13:04:19,1.17.0,20,80,4.13,1,30,Pellet,Left,2,9,7,6,16.13,2874,nan
5/27/2023 13:05:02,1.17.0,20,80,4.12,nan,30,Right,Left,2,10,7,7,nan,nan,0.00
5/27/2023 13:05:08,1.17.0,20,80,4.13,2,30,Pellet,Left,2,10,8,7,0.79,49,nan
5/27/2023 14:18:06,1.17.0,20,80,4.12,nan,30,Left,Right,3,10,8,8,nan,nan,0.00
5/27/2023 14:27:52,1.17.0,20,80,4.12,nan,30,Left,Right,4,10,8,8,nan,nan,0.00
5/27/2023 14:27:55,1.17.0,20,80,4.13,1,30,Pellet,Right,4,10,9,8,0.67,4967,nan
5/27/2023 14:28:33,1.17.0,20,80,4.12,nan,30,Left,Right,5,10,9,9,nan,nan,0.00
5/27/2023 14:28:37,1.17.0,20,80,4.12,1,30,Pellet,Right,5,10,10,9,1.15,42,nan
5/27/2023 14:29:09,1.17.0,20,80,4.12,nan,30,Left,Right,6,10,10,10,nan,nan,0.00
5/27/2023 14:29:13,1.17.0,20,80,4.12,1,30,Pellet,Right,6,10,11,10,0.30,36,nan
5/27/2023 14:29:31,1.17.0,20,80,4.12,nan,30,Left,Right,7,10,11,11,nan,nan,0.00
5/27/2023 14:29:49,1.17.0,20,80,4.12,nan,30,Left,Right,8,10,11,11,nan,nan,0.18
5/27/2023 14:30:12,1.17.0,20,80,4.11,nan,30,Left,Right,9,10,11,11,nan,nan,0.00
5/27/2023 14:30:16,1.17.0,20,80,4.12,1,30,Pellet,Right,9,10,12,11,1.15,63,nan
5/27/2023 14:30:44,1.17.0,20,80,4.12,nan,30,Left,Right,10,10,12,12,nan,nan,0.00
5/27/2023 14:31:00,1.17.0,20,80,4.12,nan,30,Left,Right,11,10,12,12,nan,nan,0.00
5/27/2023 14:43:22,1.17.0,20,80,4.12,nan,30,Left,Right,12,10,12,12,nan,nan,0.00
5/27/2023 15:23:24,1.17.0,20,80,4.12,nan,30,Right,Left,12,11,12,12,nan,nan,0.00
5/27/2023 15:23:28,1.17.0,20,80,4.12,1,30,Pellet,Left,12,11,13,12,0.79,3192,nan
5/27/2023 15:24:00,1.17.0,20,80,4.12,nan,30,Right,Left,12,12,13,13,nan,nan,0.00
5/27/2023 15:24:04,1.17.0,20,80,4.11,1,30,Pellet,Left,12,12,14,13,0.73,36,nan
5/27/2023 15:24:32,1.17.0,20,80,4.11,nan,30,Right,Left,12,13,14,14,nan,nan,0.00
5/27/2023 15:24:36,1.17.0,20,80,4.12,2,30,Pellet,Left,12,13,15,14,0.12,32,nan
