MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/4/2023 19:11:23,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.39
10/4/2023 19:11:46,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,0,2,0,0,nan,nan,0.10
10/4/2023 19:12:03,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,0,3,0,0,nan,nan,0.29
10/4/2023 19:12:06,1.17.0,Bandit,2,4.14,nan,30,80,20,LeftinTimeOut,Left,0,3,0,0,nan,nan,nan
10/4/2023 19:12:26,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,0,4,0,0,nan,nan,0.30
10/4/2023 19:12:30,1.17.0,Bandit,2,4.14,nan,30,80,20,RightinTimeout,Left,0,4,0,0,nan,nan,0.00
10/4/2023 19:12:40,1.17.0,Bandit,2,4.14,nan,30,80,20,Left,Left,1,4,0,0,nan,nan,0.00
10/4/2023 19:12:48,1.17.0,Bandit,2,4.14,3,30,80,20,Pellet,Left,1,4,1,0,0.46,nan,nan
10/4/2023 19:13:12,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,1,5,1,1,nan,nan,0.00
10/4/2023 19:13:15,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,1,5,1,1,nan,nan,nan
10/4/2023 19:13:43,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,1,6,1,1,nan,nan,0.00
10/4/2023 19:13:46,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,1,6,1,1,nan,nan,0.00
10/4/2023 19:14:17,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,1,7,1,1,nan,nan,0.00
10/4/2023 19:15:37,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,2,7,1,1,nan,nan,0.70
10/4/2023 19:15:42,1.17.0,Bandit,2,4.14,2,30,80,20,Pellet,Left,2,7,2,1,0.84,174,nan
10/4/2023 19:16:02,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,2,8,2,2,nan,nan,0.00
10/4/2023 19:16:12,1.17.0,Bandit,2,4.14,nan,30,80,20,LeftinTimeOut,Left,2,8,2,2,nan,nan,nan
10/4/2023 19:16:18,1.17.0,Bandit,2,4.14,nan,30,80,20,LeftinTimeOut,Left,2,8,2,2,nan,nan,nan
10/4/2023 19:16:34,1.17.0,Bandit,2,4.14,nan,30,80,20,Left,Left,3,8,2,2,nan,nan,0.00
10/4/2023 19:16:39,1.17.0,Bandit,2,4.14,2,30,80,20,Pellet,Left,3,8,3,2,0.46,57,nan
10/4/2023 19:16:49,1.17.0,Bandit,2,4.14,nan,30,80,20,Left,Left,4,8,3,3,nan,nan,0.04
10/4/2023 19:16:55,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,4,8,3,3,nan,nan,nan
10/4/2023 19:16:56,1.17.0,Bandit,2,4.14,nan,30,80,20,LeftinTimeOut,Left,4,8,3,3,nan,nan,nan
10/4/2023 19:17:00,1.17.0,Bandit,2,4.14,nan,30,80,20,LeftinTimeOut,Left,4,8,3,3,nan,nan,nan
10/4/2023 19:17:15,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,4,9,3,3,nan,nan,0.10
10/4/2023 19:17:22,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,4,9,3,3,nan,nan,nan
10/4/2023 19:17:31,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,4,9,3,3,nan,nan,0.00
10/4/2023 19:17:31,1.17.0,Bandit,2,4.14,nan,30,80,20,RightinTimeout,Left,4,9,3,3,nan,nan,0.00
10/4/2023 19:17:36,1.17.0,Bandit,2,4.14,nan,30,80,20,RightinTimeout,Left,4,9,3,3,nan,nan,0.00
10/4/2023 19:17:38,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,4,9,3,3,nan,nan,nan
10/4/2023 19:17:49,1.17.0,Bandit,2,4.14,nan,30,80,20,Left,Left,5,9,3,3,nan,nan,0.15
10/4/2023 19:17:53,1.17.0,Bandit,2,4.14,1,30,80,20,Pellet,Left,5,9,4,3,0.58,74,nan
10/4/2023 19:18:27,1.17.0,Bandit,2,4.14,nan,30,80,20,Left,Left,6,9,4,4,nan,nan,0.39
10/4/2023 19:18:32,1.17.0,Bandit,2,4.14,1,30,80,20,Pellet,Left,6,9,5,4,1.34,39,nan
10/4/2023 19:18:50,1.17.0,Bandit,2,4.14,nan,30,80,20,Left,Left,7,9,5,5,nan,nan,0.06
10/4/2023 19:18:55,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,7,9,6,5,0.46,23,nan
10/4/2023 19:19:17,1.17.0,Bandit,2,4.14,nan,30,80,20,Left,Left,8,9,6,6,nan,nan,0.05
