MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/1/2023 17:57:42,1.17.0,20,80,3.86,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
6/1/2023 17:57:51,1.17.0,20,80,3.87,3,30,Pellet,Left,0,1,1,0,1.40,nan,nan
6/1/2023 17:58:03,1.17.0,20,80,3.87,nan,30,Left,Right,1,1,1,1,nan,nan,0.00
6/1/2023 17:58:16,1.17.0,20,80,3.87,nan,30,RightinTimeout,Right,1,1,1,1,nan,nan,0.07
6/1/2023 17:58:27,1.17.0,20,80,3.87,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
6/1/2023 17:58:37,1.17.0,20,80,3.87,nan,30,RightinTimeout,Right,2,1,1,1,nan,nan,0.24
6/1/2023 17:58:38,1.17.0,20,80,3.87,nan,30,RightinTimeout,Right,2,1,1,1,nan,nan,0.05
6/1/2023 17:58:54,1.17.0,20,80,3.87,nan,30,Right,Left,2,2,1,1,nan,nan,0.00
6/1/2023 17:58:57,1.17.0,20,80,3.85,1,30,Pellet,Left,2,2,2,1,0.18,66,nan
6/1/2023 17:59:14,1.17.0,20,80,3.87,nan,30,Right,Left,2,3,2,2,nan,nan,0.00
6/1/2023 17:59:19,1.17.0,20,80,3.87,nan,30,RightinTimeout,Left,2,3,2,2,nan,nan,0.41
6/1/2023 17:59:24,1.17.0,20,80,3.87,nan,30,LeftinTimeOut,Left,2,3,2,2,nan,nan,nan
6/1/2023 17:59:31,1.17.0,20,80,3.87,nan,30,RightinTimeout,Left,2,3,2,2,nan,nan,0.19
6/1/2023 17:59:35,1.17.0,20,80,3.87,nan,30,RightinTimeout,Left,2,3,2,2,nan,nan,0.22
6/1/2023 17:59:40,1.17.0,20,80,3.86,nan,30,LeftinTimeOut,Left,2,3,2,2,nan,nan,nan
6/1/2023 17:59:52,1.17.0,20,80,3.87,nan,30,Left,Right,3,3,2,2,nan,nan,0.00
6/1/2023 17:59:55,1.17.0,20,80,3.87,nan,30,LeftinTimeOut,Right,3,3,2,2,nan,nan,nan
6/1/2023 17:59:57,1.17.0,20,80,3.87,nan,30,RightinTimeout,Right,3,3,2,2,nan,nan,0.17
6/1/2023 18:00:14,1.17.0,20,80,3.87,nan,30,Left,Right,4,3,2,2,nan,nan,0.01
6/1/2023 18:00:32,1.17.0,20,80,3.87,nan,30,Right,Left,4,4,2,2,nan,nan,0.00
6/1/2023 18:00:35,1.17.0,20,80,3.87,1,30,Pellet,Left,4,4,3,2,0.12,98,nan
6/1/2023 18:00:54,1.17.0,20,80,3.87,nan,30,Right,Left,4,5,3,3,nan,nan,0.00
6/1/2023 18:00:57,1.17.0,20,80,3.87,1,30,Pellet,Left,4,5,4,3,0.24,22,nan
