MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/4/2023 19:22:12,1.17.0,Bandit,4,4.21,nan,30,20,80,Left,Right,1,0,0,0,nan,nan,0.06
10/4/2023 19:22:14,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,1,0,0,0,nan,nan,0.00
10/4/2023 19:22:24,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,1,0,0,0,nan,nan,nan
10/4/2023 19:22:49,1.17.0,Bandit,4,4.21,nan,30,20,80,Right,Right,1,1,0,0,nan,nan,0.10
10/4/2023 19:22:56,1.17.0,Bandit,4,4.20,3,30,20,80,Pellet,Right,1,1,1,0,0.25,nan,nan
10/4/2023 19:23:16,1.17.0,Bandit,4,4.21,nan,30,20,80,Left,Right,2,1,1,1,nan,nan,0.02
10/4/2023 19:23:27,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
10/4/2023 19:23:35,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
10/4/2023 19:23:40,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
10/4/2023 19:23:42,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,2,1,1,1,nan,nan,0.00
10/4/2023 19:23:48,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,2,1,1,1,nan,nan,0.00
10/4/2023 19:23:53,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,2,1,1,1,nan,nan,0.00
10/4/2023 19:24:02,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
10/4/2023 19:24:10,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
10/4/2023 19:24:13,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
10/4/2023 19:24:21,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,2,1,1,1,nan,nan,0.00
10/4/2023 19:24:21,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,2,1,1,1,nan,nan,0.00
10/4/2023 19:24:25,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
10/4/2023 19:24:46,1.17.0,Bandit,4,4.21,nan,30,20,80,Left,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:24:49,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:24:49,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:24:58,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
10/4/2023 19:25:01,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:01,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:04,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
10/4/2023 19:25:08,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:15,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
10/4/2023 19:25:16,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:17,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:17,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:18,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:18,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:18,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:18,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:19,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:19,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:20,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:20,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:21,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:25,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
10/4/2023 19:25:26,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
10/4/2023 19:25:30,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
10/4/2023 19:25:31,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:32,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:32,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:32,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:33,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:33,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:33,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:38,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
10/4/2023 19:25:43,1.17.0,Bandit,4,4.21,nan,30,20,80,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
10/4/2023 19:25:45,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:45,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:45,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,3,1,1,1,nan,nan,0.00
10/4/2023 19:25:57,1.17.0,Bandit,4,4.21,nan,30,20,80,Right,Right,3,2,1,1,nan,nan,0.12
10/4/2023 19:26:02,1.17.0,Bandit,4,4.20,2,30,20,80,Pellet,Right,3,2,2,1,0.12,186,nan
10/4/2023 19:26:22,1.17.0,Bandit,4,4.21,nan,30,20,80,Right,Right,3,3,2,2,nan,nan,0.05
10/4/2023 19:26:25,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,3,3,3,2,0.63,23,nan
10/4/2023 19:26:36,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,3,4,3,3,nan,nan,0.00
