MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/25/2024 20:21:59,1.17.0,Bandit,72,4.05,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.09
11/25/2024 20:22:08,1.17.0,Bandit,72,4.07,1,30,80,20,Pellet,Left,1,0,1,0,5.11,nan,nan
11/25/2024 20:22:35,1.17.0,Bandit,72,4.07,nan,30,80,20,Left,Left,2,0,1,1,nan,nan,0.12
11/25/2024 20:22:41,1.17.0,Bandit,72,4.07,2,30,80,20,Pellet,Left,2,0,2,1,0.52,32,nan
11/25/2024 20:22:56,1.17.0,Bandit,72,4.06,nan,30,80,20,Left,Left,3,0,2,2,nan,nan,0.06
11/25/2024 20:23:18,1.17.0,Bandit,72,4.07,nan,30,80,20,Left,Left,4,0,2,2,nan,nan,0.06
11/25/2024 20:24:07,1.17.0,Bandit,72,4.06,nan,30,80,20,Left,Left,5,0,2,2,nan,nan,0.07
11/25/2024 20:24:11,1.17.0,Bandit,72,4.07,1,30,80,20,Pellet,Left,5,0,3,2,0.46,91,nan
11/25/2024 20:24:44,1.17.0,Bandit,72,4.06,nan,30,80,20,Right,Left,5,1,3,3,nan,nan,0.02
11/25/2024 20:24:54,1.17.0,Bandit,72,4.06,nan,30,80,20,LeftinTimeOut,Left,5,1,3,3,nan,nan,nan
11/25/2024 20:25:08,1.17.0,Bandit,72,4.06,nan,30,80,20,Left,Left,6,1,3,3,nan,nan,0.08
11/25/2024 20:25:12,1.17.0,Bandit,72,4.07,1,30,80,20,Pellet,Left,6,1,4,3,0.46,60,nan
11/25/2024 20:25:30,1.17.0,Bandit,72,4.07,nan,30,80,20,Right,Left,6,2,4,4,nan,nan,0.14
11/25/2024 20:25:32,1.17.0,Bandit,72,4.07,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
11/25/2024 20:25:37,1.17.0,Bandit,72,4.06,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
11/25/2024 20:25:43,1.17.0,Bandit,72,4.07,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
11/25/2024 20:25:45,1.17.0,Bandit,72,4.07,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
11/25/2024 20:25:46,1.17.0,Bandit,72,4.06,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
11/25/2024 20:25:56,1.17.0,Bandit,72,4.07,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
11/25/2024 20:25:58,1.17.0,Bandit,72,4.06,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
11/25/2024 20:26:02,1.17.0,Bandit,72,4.07,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
11/25/2024 20:26:05,1.17.0,Bandit,72,4.07,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
11/25/2024 20:26:13,1.17.0,Bandit,72,4.06,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
11/25/2024 20:26:14,1.17.0,Bandit,72,4.07,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
11/25/2024 20:26:16,1.17.0,Bandit,72,4.07,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
11/25/2024 20:26:17,1.17.0,Bandit,72,4.06,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
