MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/9/2025 18:25:30,1.17.0,Bandit,0,4.18,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.03
1/9/2025 18:25:36,1.17.0,Bandit,0,4.18,nan,30,80,20,RightDuringDispense,Left,0,1,0,0,nan,nan,0.18
1/9/2025 18:25:36,1.17.0,Bandit,0,4.18,nan,30,80,20,RightDuringDispense,Left,0,1,0,0,nan,nan,0.07
1/9/2025 18:25:37,1.17.0,Bandit,0,4.18,nan,30,80,20,RightDuringDispense,Left,0,1,0,0,nan,nan,0.21
1/9/2025 18:25:39,1.17.0,Bandit,0,4.18,nan,30,80,20,LeftDuringDispense,Left,0,1,0,0,nan,nan,0.15
1/9/2025 18:25:41,1.17.0,Bandit,0,4.18,3,30,80,20,Pellet,Left,0,1,1,0,0.96,nan,nan
1/9/2025 18:26:09,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,1,1,1,1,nan,nan,0.07
1/9/2025 18:26:13,1.17.0,Bandit,0,4.18,2,30,80,20,Pellet,Left,1,1,2,1,0.46,32,nan
1/9/2025 18:26:22,1.17.0,Bandit,0,4.19,nan,30,80,20,Left,Left,2,1,2,2,nan,nan,0.04
1/9/2025 18:26:39,1.17.0,Bandit,0,4.19,6,30,80,20,Pellet,Left,2,1,3,2,3.82,26,nan
1/9/2025 18:27:33,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,3,1,3,3,nan,nan,0.03
1/9/2025 18:27:54,1.17.0,Bandit,0,4.19,nan,30,80,20,Left,Left,4,1,3,3,nan,nan,0.06
1/9/2025 18:27:58,1.17.0,Bandit,0,4.19,2,30,80,20,Pellet,Left,4,1,4,3,0.46,79,nan
1/9/2025 18:28:04,1.17.0,Bandit,0,4.18,nan,30,80,20,Left,Left,5,1,4,4,nan,nan,0.05
1/9/2025 18:28:15,1.17.0,Bandit,0,4.18,3,30,80,20,Pellet,Left,5,1,5,4,3.37,17,nan
