MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/17/2023 11:32:55,1.17.0,20,80,4.16,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
2/17/2023 11:33:33,1.17.0,20,80,4.17,nan,30,Left,Right,2,0,0,0,nan,nan,0.00
2/17/2023 11:33:57,1.17.0,20,80,4.17,nan,30,Left,Right,3,0,0,0,nan,nan,0.00
2/17/2023 11:34:18,1.17.0,20,80,4.17,nan,30,Right,Left,3,1,0,0,nan,nan,0.00
2/17/2023 11:34:24,1.17.0,20,80,4.16,2,30,Pellet,Left,3,1,1,0,0.44,nan,nan
2/17/2023 11:34:40,1.17.0,20,80,4.17,nan,30,Left,Right,4,1,1,1,nan,nan,0.00
2/17/2023 11:34:52,1.17.0,20,80,4.17,nan,30,LeftinTimeOut,Right,4,1,1,1,nan,nan,nan
2/17/2023 11:36:12,1.17.0,20,80,4.16,nan,30,Left,Right,5,1,1,1,nan,nan,0.00
2/17/2023 11:36:15,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,5,1,1,1,nan,nan,nan
2/17/2023 11:36:39,1.17.0,20,80,4.16,nan,30,Left,Right,6,1,1,1,nan,nan,0.00
2/17/2023 11:37:13,1.17.0,20,80,4.15,nan,30,Right,Left,6,2,1,1,nan,nan,0.00
2/17/2023 11:37:17,1.17.0,20,80,4.16,1,30,Pellet,Left,6,2,2,1,1.39,173,nan
2/17/2023 11:38:26,1.17.0,20,80,4.16,nan,30,Left,Right,7,2,2,2,nan,nan,0.00
2/17/2023 11:40:45,1.17.0,20,80,4.16,nan,30,Left,Right,8,2,2,2,nan,nan,0.00
2/17/2023 11:40:57,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,8,2,2,2,nan,nan,0.27
2/17/2023 11:40:59,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,8,2,2,2,nan,nan,nan
2/17/2023 11:41:48,1.17.0,20,80,4.16,nan,30,Left,Right,9,2,2,2,nan,nan,0.00
2/17/2023 11:41:52,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,9,2,2,2,nan,nan,nan
2/17/2023 11:42:12,1.17.0,20,80,4.16,nan,30,Right,Left,9,3,2,2,nan,nan,0.00
2/17/2023 11:42:21,1.17.0,20,80,4.16,1,30,Pellet,Left,9,3,3,2,6.46,304,nan
2/17/2023 11:42:59,1.17.0,20,80,4.16,nan,30,Right,Left,9,4,3,3,nan,nan,0.00
2/17/2023 11:44:05,1.17.0,20,80,4.17,nan,30,Left,Right,10,4,3,3,nan,nan,0.00
2/17/2023 11:45:12,1.17.0,20,80,4.16,nan,30,Right,Left,10,5,3,3,nan,nan,0.00
2/17/2023 11:45:24,1.17.0,20,80,4.16,1,30,Pellet,Left,10,5,4,3,8.94,183,nan
2/17/2023 11:49:24,1.17.0,20,80,4.16,nan,30,Left,Right,11,5,4,4,nan,nan,0.24
2/17/2023 11:51:41,1.17.0,20,80,4.16,nan,30,Right,Left,11,6,4,4,nan,nan,0.00
2/17/2023 11:51:49,1.17.0,20,80,4.16,3,30,Pellet,Left,11,6,5,4,1.77,385,nan
2/17/2023 11:53:12,1.17.0,20,80,4.16,nan,30,Right,Left,11,7,5,5,nan,nan,0.00
2/17/2023 11:53:17,1.17.0,20,80,4.16,2,30,Pellet,Left,11,7,6,5,1.32,88,nan
2/17/2023 11:56:05,1.17.0,20,80,4.16,nan,30,Right,Left,11,8,6,6,nan,nan,0.00
2/17/2023 11:56:30,1.17.0,20,80,4.16,2,30,Pellet,Left,11,8,7,6,21.98,193,nan
2/17/2023 11:57:00,1.17.0,20,80,4.16,nan,30,Right,Left,11,9,7,7,nan,nan,0.00
2/17/2023 11:57:04,1.17.0,20,80,4.16,2,30,Pellet,Left,11,9,8,7,0.82,34,nan
2/17/2023 12:12:50,1.17.0,20,80,4.16,nan,30,Left,Right,12,9,8,8,nan,nan,0.00
2/17/2023 12:17:58,1.17.0,20,80,4.16,nan,30,Right,Left,12,10,8,8,nan,nan,0.00
2/17/2023 12:18:03,1.17.0,20,80,4.16,1,30,Pellet,Left,12,10,9,8,1.13,1258,nan
2/17/2023 12:26:50,1.17.0,20,80,4.14,nan,30,Right,Left,12,11,9,9,nan,nan,0.00
2/17/2023 12:26:54,1.17.0,20,80,4.16,1,30,Pellet,Left,12,11,10,9,1.20,532,nan
2/17/2023 12:27:22,1.17.0,20,80,4.16,nan,30,Right,Left,12,12,10,10,nan,nan,0.00
2/17/2023 12:27:28,1.17.0,20,80,4.16,1,30,Pellet,Left,12,12,11,10,2.97,34,nan
2/17/2023 12:30:52,1.17.0,20,80,4.16,nan,30,Left,Right,13,12,11,11,nan,nan,0.00
2/17/2023 12:30:59,1.17.0,20,80,4.16,2,30,Pellet,Right,13,12,12,11,1.13,210,nan
2/17/2023 14:44:29,1.17.0,20,80,4.14,nan,30,Left,Right,14,12,12,12,nan,nan,0.31
2/17/2023 14:44:40,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,14,12,12,12,nan,nan,0.39
2/17/2023 14:44:41,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,14,12,12,12,nan,nan,0.04
2/17/2023 14:44:42,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,14,12,12,12,nan,nan,0.49
2/17/2023 14:45:11,1.17.0,20,80,4.14,nan,30,Right,Left,14,13,12,12,nan,nan,0.00
2/17/2023 15:37:59,1.17.0,20,80,4.14,nan,30,Left,Right,15,13,12,12,nan,nan,3.79
2/17/2023 15:38:14,1.17.0,20,80,4.14,nan,30,Left,Right,16,13,12,12,nan,nan,0.00
2/17/2023 15:48:20,1.17.0,20,80,4.14,nan,30,Right,Left,16,14,12,12,nan,nan,0.00
2/17/2023 15:48:24,1.17.0,20,80,4.14,1,30,Pellet,Left,16,14,13,12,0.82,11846,nan
2/17/2023 15:48:58,1.17.0,20,80,4.14,nan,30,Left,Right,17,14,13,13,nan,nan,0.00
2/17/2023 15:49:10,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,17,14,13,13,nan,nan,0.02
2/17/2023 15:49:12,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,17,14,13,13,nan,nan,0.04
2/17/2023 15:59:39,1.17.0,20,80,4.14,nan,30,Right,Left,17,15,13,13,nan,nan,0.00
2/17/2023 15:59:43,1.17.0,20,80,4.13,1,30,Pellet,Left,17,15,14,13,1.07,679,nan
2/17/2023 16:00:45,1.17.0,20,80,4.14,nan,30,Right,Left,17,16,14,14,nan,nan,0.00
2/17/2023 16:00:48,1.17.0,20,80,4.13,1,30,Pellet,Left,17,16,15,14,0.06,65,nan
2/17/2023 16:01:00,1.17.0,20,80,4.14,nan,30,Left,Right,18,16,15,15,nan,nan,0.00
2/17/2023 16:01:20,1.17.0,20,80,4.14,nan,30,Left,Right,19,16,15,15,nan,nan,0.00
2/17/2023 16:01:29,1.17.0,20,80,4.13,nan,30,LeftinTimeOut,Right,19,16,15,15,nan,nan,nan
2/17/2023 16:10:58,1.17.0,20,80,4.13,nan,30,Left,Right,20,16,15,15,nan,nan,0.04
2/17/2023 16:11:06,1.17.0,20,80,4.14,2,30,Pellet,Right,20,16,16,15,2.08,617,nan
2/17/2023 16:11:33,1.17.0,20,80,4.13,nan,30,Left,Right,21,16,16,16,nan,nan,0.00
