MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/27/2023 20:46:30,1.17.0,20,80,4.18,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
2/27/2023 20:46:40,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,1,0,0,0,nan,nan,nan
2/27/2023 20:47:00,1.17.0,20,80,4.18,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
2/27/2023 20:47:06,1.17.0,20,80,4.17,3,30,Pellet,Left,1,1,1,0,0.06,nan,nan
2/27/2023 20:47:23,1.17.0,20,80,4.18,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
2/27/2023 20:47:51,1.17.0,20,80,4.18,nan,30,Left,Right,3,1,1,1,nan,nan,0.00
2/27/2023 20:47:56,1.17.0,20,80,4.17,nan,30,LeftinTimeOut,Right,3,1,1,1,nan,nan,nan
2/27/2023 20:47:59,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,3,1,1,1,nan,nan,1.67
2/27/2023 20:48:13,1.17.0,20,80,4.18,nan,30,Right,Left,3,2,1,1,nan,nan,0.00
2/27/2023 20:48:16,1.17.0,20,80,4.18,2,30,Pellet,Left,3,2,2,1,0.19,70,nan
2/27/2023 20:48:40,1.17.0,20,80,4.16,nan,30,Right,Left,3,3,2,2,nan,nan,0.00
2/27/2023 20:48:48,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Left,3,3,2,2,nan,nan,nan
2/27/2023 20:49:35,1.17.0,20,80,4.18,nan,30,Right,Left,3,4,2,2,nan,nan,0.00
2/27/2023 20:49:38,1.17.0,20,80,4.18,nan,30,RightinTimeout,Left,3,4,2,2,nan,nan,0.02
2/27/2023 20:50:08,1.17.0,20,80,4.18,nan,30,Right,Left,3,5,2,2,nan,nan,0.00
2/27/2023 20:50:11,1.17.0,20,80,4.18,2,30,Pellet,Left,3,5,3,2,0.19,115,nan
2/27/2023 20:50:54,1.17.0,20,80,4.18,nan,30,Left,Right,4,5,3,3,nan,nan,0.00
2/27/2023 20:52:34,1.17.0,20,80,4.18,nan,30,Right,Left,4,6,3,3,nan,nan,0.00
2/27/2023 20:53:06,1.17.0,20,80,4.18,nan,30,Right,Left,4,7,3,3,nan,nan,0.00
2/27/2023 22:00:45,1.17.0,20,80,4.16,2,30,Pellet,Left,4,7,4,3,Timed_out,4234,nan
2/27/2023 22:03:22,1.17.0,20,80,4.17,nan,30,Right,Left,4,8,4,4,nan,nan,0.00
2/27/2023 22:05:50,1.17.0,20,80,4.16,1,30,Pellet,Left,4,8,5,4,Timed_out,305,nan
