MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/17/2023 11:04:56,1.17.0,20,80,4.16,nan,30,Left,Right,1,0,0,0,nan,nan,0.03
2/17/2023 11:12:41,1.17.0,20,80,4.16,nan,30,Left,Right,2,0,0,0,nan,nan,0.00
2/17/2023 11:12:47,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
2/17/2023 11:12:49,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
2/17/2023 11:13:02,1.17.0,20,80,4.16,nan,30,Right,Left,2,1,0,0,nan,nan,0.00
2/17/2023 11:13:06,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Left,2,1,0,0,nan,nan,nan
2/17/2023 11:13:51,1.17.0,20,80,4.16,nan,30,Left,Right,3,1,0,0,nan,nan,0.00
2/17/2023 11:14:13,1.17.0,20,80,4.16,nan,30,Right,Left,3,2,0,0,nan,nan,0.00
2/17/2023 11:14:19,1.17.0,20,80,4.16,3,30,Pellet,Left,3,2,1,0,0.44,nan,nan
2/17/2023 11:22:17,1.17.0,20,80,4.16,nan,30,Left,Right,4,2,1,1,nan,nan,0.00
2/17/2023 11:22:20,1.17.0,20,80,4.16,1,30,Pellet,Right,4,2,2,1,0.56,481,nan
2/17/2023 11:22:44,1.17.0,20,80,4.16,nan,30,Left,Right,5,2,2,2,nan,nan,0.00
2/17/2023 11:23:36,1.17.0,20,80,4.16,nan,30,Left,Right,6,2,2,2,nan,nan,0.00
2/17/2023 11:23:40,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,6,2,2,2,nan,nan,0.17
2/17/2023 11:23:51,1.17.0,20,80,4.14,nan,30,Left,Right,7,2,2,2,nan,nan,0.00
2/17/2023 11:23:59,1.17.0,20,80,4.16,1,30,Pellet,Right,7,2,3,2,4.94,99,nan
2/17/2023 11:24:25,1.17.0,20,80,4.16,nan,30,Left,Right,8,2,3,3,nan,nan,0.00
2/17/2023 11:24:29,1.17.0,20,80,4.16,1,30,Pellet,Right,8,2,4,3,0.88,30,nan
2/17/2023 11:30:05,1.17.0,20,80,4.16,nan,30,Right,Left,8,3,4,4,nan,nan,0.00
2/17/2023 11:30:08,1.17.0,20,80,4.16,1,30,Pellet,Left,8,3,5,4,0.44,339,nan
2/17/2023 11:30:34,1.17.0,20,80,4.16,nan,30,Right,Left,8,4,5,5,nan,nan,0.00
2/17/2023 11:30:37,1.17.0,20,80,4.15,1,30,Pellet,Left,8,4,6,5,0.19,29,nan
2/17/2023 11:33:58,1.17.0,20,80,4.14,nan,30,Right,Left,8,5,6,6,nan,nan,0.00
2/17/2023 11:34:02,1.17.0,20,80,4.16,1,30,Pellet,Left,8,5,7,6,0.18,205,nan
2/17/2023 11:34:28,1.17.0,20,80,4.16,nan,30,Right,Left,8,6,7,7,nan,nan,0.00
2/17/2023 11:34:31,1.17.0,20,80,4.16,1,30,Pellet,Left,8,6,8,7,0.06,29,nan
2/17/2023 11:46:59,1.17.0,20,80,4.16,nan,30,Right,Left,8,7,8,8,nan,nan,0.00
2/17/2023 11:47:02,1.17.0,20,80,4.16,2,30,Pellet,Left,8,7,9,8,0.06,751,nan
2/17/2023 11:47:25,1.17.0,20,80,4.16,nan,30,Right,Left,8,8,9,9,nan,nan,0.00
2/17/2023 11:47:28,1.17.0,20,80,4.16,1,30,Pellet,Left,8,8,10,9,0.06,26,nan
2/17/2023 13:55:00,1.17.0,20,80,4.14,nan,30,Right,Left,8,9,10,10,nan,nan,0.00
2/17/2023 13:55:10,1.17.0,20,80,4.15,nan,30,LeftinTimeOut,Left,8,9,10,10,nan,nan,nan
2/17/2023 13:55:38,1.17.0,20,80,4.15,nan,30,Right,Left,8,10,10,10,nan,nan,0.00
2/17/2023 13:55:41,1.17.0,20,80,4.15,1,30,Pellet,Left,8,10,11,10,0.50,7693,nan
2/17/2023 13:56:30,1.17.0,20,80,4.15,nan,30,Right,Left,8,11,11,11,nan,nan,0.00
2/17/2023 13:56:36,1.17.0,20,80,4.15,nan,30,RightinTimeout,Left,8,11,11,11,nan,nan,0.12
2/17/2023 13:56:37,1.17.0,20,80,4.15,nan,30,RightinTimeout,Left,8,11,11,11,nan,nan,0.21
2/17/2023 13:56:43,1.17.0,20,80,4.16,nan,30,RightinTimeout,Left,8,11,11,11,nan,nan,0.44
2/17/2023 13:57:00,1.17.0,20,80,4.15,nan,30,Left,Right,9,11,11,11,nan,nan,0.00
2/17/2023 13:57:10,1.17.0,20,80,4.15,nan,30,LeftinTimeOut,Right,9,11,11,11,nan,nan,nan
2/17/2023 13:57:13,1.17.0,20,80,4.15,nan,30,LeftinTimeOut,Right,9,11,11,11,nan,nan,nan
2/17/2023 13:57:16,1.17.0,20,80,4.15,nan,30,RightinTimeout,Right,9,11,11,11,nan,nan,0.06
2/17/2023 13:57:18,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,9,11,11,11,nan,nan,0.11
2/17/2023 13:57:35,1.17.0,20,80,4.15,nan,30,Left,Right,10,11,11,11,nan,nan,0.00
2/17/2023 14:02:23,1.17.0,20,80,4.15,nan,30,Right,Left,10,12,11,11,nan,nan,0.00
2/17/2023 14:02:26,1.17.0,20,80,4.15,1,30,Pellet,Left,10,12,12,11,0.06,405,nan
2/17/2023 14:03:15,1.17.0,20,80,4.15,nan,30,Left,Right,11,12,12,12,nan,nan,0.00
2/17/2023 16:39:50,1.17.0,20,80,4.14,nan,30,Left,Right,12,12,12,12,nan,nan,0.00
2/17/2023 16:39:57,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,12,12,12,12,nan,nan,0.21
2/17/2023 16:41:46,1.17.0,20,80,4.14,nan,30,Left,Right,13,12,12,12,nan,nan,0.00
2/17/2023 16:42:11,1.17.0,20,80,4.14,nan,30,Left,Right,14,12,12,12,nan,nan,0.00
2/17/2023 16:50:55,1.17.0,20,80,4.12,nan,30,Right,Left,14,13,12,12,nan,nan,0.00
