MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/27/2023 19:06:34,1.17.0,20,80,4.16,nan,30,Left,Right,1,0,0,0,nan,nan,0.07
2/27/2023 19:07:21,1.17.0,20,80,4.16,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
2/27/2023 19:07:27,1.17.0,20,80,4.16,3,30,Pellet,Left,1,1,1,0,0.82,nan,nan
2/27/2023 19:07:41,1.17.0,20,80,4.16,nan,30,Right,Left,1,2,1,1,nan,nan,0.00
2/27/2023 19:07:44,1.17.0,20,80,4.16,1,30,Pellet,Left,1,2,2,1,0.56,17,nan
2/27/2023 19:07:57,1.17.0,20,80,4.16,nan,30,Right,Left,1,3,2,2,nan,nan,0.00
2/27/2023 19:08:01,1.17.0,20,80,4.16,1,30,Pellet,Left,1,3,3,2,0.82,17,nan
2/27/2023 19:08:36,1.17.0,20,80,4.16,nan,30,Left,Right,2,3,3,3,nan,nan,0.00
2/27/2023 19:08:51,1.17.0,20,80,4.16,nan,30,Right,Left,2,4,3,3,nan,nan,0.00
2/27/2023 19:08:56,1.17.0,20,80,4.16,1,30,Pellet,Left,2,4,4,3,1.45,55,nan
2/27/2023 19:09:12,1.17.0,20,80,4.16,nan,30,Left,Right,3,4,4,4,nan,nan,0.00
2/27/2023 19:09:16,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,0.12
2/27/2023 19:09:29,1.17.0,20,80,4.16,nan,30,Right,Left,3,5,4,4,nan,nan,0.00
2/27/2023 19:09:33,1.17.0,20,80,4.16,2,30,Pellet,Left,3,5,5,4,0.31,37,nan
2/27/2023 19:10:03,1.17.0,20,80,4.16,nan,30,Right,Left,3,6,5,5,nan,nan,0.00
2/27/2023 19:10:07,1.17.0,20,80,4.16,1,30,Pellet,Left,3,6,6,5,0.63,34,nan
2/27/2023 19:10:27,1.17.0,20,80,4.16,nan,30,Right,Left,3,7,6,6,nan,nan,0.00
2/27/2023 19:10:31,1.17.0,20,80,4.15,1,30,Pellet,Left,3,7,7,6,1.07,24,nan
2/27/2023 19:11:49,1.17.0,20,80,4.16,nan,30,Left,Right,4,7,7,7,nan,nan,0.00
2/27/2023 19:11:56,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,4,7,7,7,nan,nan,nan
2/27/2023 19:12:22,1.17.0,20,80,4.16,nan,30,Left,Right,5,7,7,7,nan,nan,0.00
2/27/2023 19:12:26,1.17.0,20,80,4.16,1,30,Pellet,Right,5,7,8,7,0.50,115,nan
2/27/2023 19:12:42,1.17.0,20,80,4.16,nan,30,Right,Left,5,8,8,8,nan,nan,0.00
2/27/2023 19:12:46,1.17.0,20,80,4.16,1,30,Pellet,Left,5,8,9,8,0.82,20,nan
2/27/2023 19:12:51,1.17.0,20,80,4.16,nan,30,Right,Left,5,9,9,9,nan,nan,0.00
2/27/2023 19:12:54,1.17.0,20,80,4.16,2,30,Pellet,Left,5,9,10,9,0.12,8,nan
2/27/2023 19:14:37,1.17.0,20,80,4.16,nan,30,Left,Right,6,9,10,10,nan,nan,0.00
2/27/2023 19:15:58,1.17.0,20,80,4.16,1,30,Pellet,Right,6,9,11,10,Timed_out,184,nan
2/27/2023 19:17:09,1.17.0,20,80,4.16,nan,30,Right,Left,6,10,11,11,nan,nan,0.00
2/27/2023 19:17:14,1.17.0,20,80,4.16,1,30,Pellet,Left,6,10,12,11,1.20,75,nan
2/27/2023 19:18:36,1.17.0,20,80,4.14,nan,30,Right,Left,6,11,12,12,nan,nan,0.00
2/27/2023 19:18:40,1.17.0,20,80,4.16,1,30,Pellet,Left,6,11,13,12,0.94,87,nan
2/27/2023 19:19:15,1.17.0,20,80,4.16,nan,30,Left,Right,7,11,13,13,nan,nan,0.00
2/27/2023 19:20:26,1.17.0,20,80,4.16,nan,30,Right,Left,7,12,13,13,nan,nan,0.00
2/27/2023 19:21:07,1.17.0,20,80,4.16,nan,30,Left,Right,8,12,13,13,nan,nan,0.00
2/27/2023 19:21:29,1.17.0,20,80,4.16,nan,30,Right,Left,8,13,13,13,nan,nan,0.00
2/27/2023 19:21:34,1.17.0,20,80,4.16,1,30,Pellet,Left,8,13,14,13,2.72,174,nan
2/27/2023 19:22:59,1.17.0,20,80,4.16,nan,30,Right,Left,8,14,14,14,nan,nan,0.00
2/27/2023 19:23:58,1.17.0,20,80,4.16,1,30,Pellet,Left,8,14,15,14,55.42,144,nan
2/27/2023 19:29:07,1.17.0,20,80,4.16,nan,30,Left,Right,9,14,15,15,nan,nan,0.00
2/27/2023 19:29:17,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,9,14,15,15,nan,nan,nan
2/27/2023 19:29:18,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,9,14,15,15,nan,nan,nan
2/27/2023 19:29:54,1.17.0,20,80,4.16,nan,30,Left,Right,10,14,15,15,nan,nan,0.00
2/27/2023 19:29:58,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,10,14,15,15,nan,nan,0.17
2/27/2023 19:30:00,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,10,14,15,15,nan,nan,0.80
2/27/2023 19:30:08,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,10,14,15,15,nan,nan,0.25
2/27/2023 19:30:09,1.17.0,20,80,4.15,nan,30,RightinTimeout,Right,10,14,15,15,nan,nan,0.13
2/27/2023 19:30:14,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,10,14,15,15,nan,nan,nan
2/27/2023 19:30:15,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,10,14,15,15,nan,nan,nan
2/27/2023 19:30:15,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,10,14,15,15,nan,nan,nan
