MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/17/2023 12:22:59,1.17.0,20,80,4.14,nan,30,Left,Right,1,0,0,0,nan,nan,0.16
2/17/2023 12:24:50,1.17.0,20,80,4.14,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
2/17/2023 12:24:59,1.17.0,20,80,4.14,4,30,Pellet,Left,1,1,1,0,1.26,nan,nan
2/17/2023 12:25:18,1.17.0,20,80,4.14,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
2/17/2023 12:25:22,1.17.0,20,80,4.14,2,30,Pellet,Right,2,1,2,1,0.37,23,nan
2/17/2023 12:25:47,1.17.0,20,80,4.14,nan,30,Right,Left,2,2,2,2,nan,nan,0.00
2/17/2023 12:25:50,1.17.0,20,80,4.14,2,30,Pellet,Left,2,2,3,2,0.06,28,nan
2/17/2023 12:26:24,1.17.0,20,80,4.14,nan,30,Left,Right,3,2,3,3,nan,nan,0.00
2/17/2023 12:26:31,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,3,2,3,3,nan,nan,0.17
2/17/2023 12:27:28,1.17.0,20,80,4.14,nan,30,Right,Left,3,3,3,3,nan,nan,0.00
2/17/2023 12:27:31,1.17.0,20,80,4.14,1,30,Pellet,Left,3,3,4,3,0.25,101,nan
2/17/2023 12:27:55,1.17.0,20,80,4.14,nan,30,Right,Left,3,4,4,4,nan,nan,0.00
2/17/2023 12:27:58,1.17.0,20,80,4.13,1,30,Pellet,Left,3,4,5,4,0.31,27,nan
2/17/2023 12:28:20,1.17.0,20,80,4.14,nan,30,Right,Left,3,5,5,5,nan,nan,0.00
2/17/2023 12:28:31,1.17.0,20,80,4.14,nan,30,RightinTimeout,Left,3,5,5,5,nan,nan,0.19
