MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2023 19:28:40,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.00
9/18/2023 19:29:26,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,0,2,0,0,nan,nan,0.00
9/18/2023 19:29:34,1.17.0,Bandit,2,4.16,nan,30,80,20,RightinTimeout,Left,0,2,0,0,nan,nan,0.00
9/18/2023 19:29:51,1.17.0,Bandit,2,4.16,nan,30,80,20,Right,Left,0,3,0,0,nan,nan,0.00
9/18/2023 19:30:26,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,0,4,0,0,nan,nan,0.00
9/18/2023 19:30:38,1.17.0,Bandit,2,4.16,nan,30,80,20,Left,Left,1,4,0,0,nan,nan,0.05
9/18/2023 19:30:47,1.17.0,Bandit,2,4.15,3,30,80,20,Pellet,Left,1,4,1,0,0.65,nan,nan
9/18/2023 19:32:24,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,1,5,1,1,nan,nan,0.00
9/18/2023 19:33:39,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,1,6,1,1,nan,nan,0.00
9/18/2023 19:34:02,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,1,7,1,1,nan,nan,0.12
9/18/2023 19:34:06,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,1,7,1,1,nan,nan,0.00
9/18/2023 19:34:20,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,1,8,1,1,nan,nan,0.00
9/18/2023 19:34:23,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,1,8,1,1,nan,nan,0.00
9/18/2023 19:34:24,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,1,8,1,1,nan,nan,0.00
9/18/2023 19:34:31,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,1,8,1,1,nan,nan,0.00
9/18/2023 19:34:32,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,1,8,1,1,nan,nan,nan
9/18/2023 19:34:33,1.17.0,Bandit,2,4.16,nan,30,80,20,LeftinTimeOut,Left,1,8,1,1,nan,nan,nan
9/18/2023 19:34:54,1.17.0,Bandit,2,4.16,nan,30,80,20,Left,Left,2,8,1,1,nan,nan,0.41
9/18/2023 19:35:17,1.17.0,Bandit,2,4.16,nan,30,80,20,Right,Left,2,9,1,1,nan,nan,0.00
9/18/2023 19:35:24,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,2,9,1,1,nan,nan,0.00
9/18/2023 19:35:30,1.17.0,Bandit,2,4.14,nan,30,80,20,RightinTimeout,Left,2,9,1,1,nan,nan,0.00
9/18/2023 19:35:31,1.17.0,Bandit,2,4.16,nan,30,80,20,LeftinTimeOut,Left,2,9,1,1,nan,nan,nan
9/18/2023 19:35:40,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,2,9,1,1,nan,nan,0.00
9/18/2023 19:35:40,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,2,9,1,1,nan,nan,0.00
9/18/2023 19:36:05,1.17.0,Bandit,2,4.16,nan,30,80,20,Left,Left,3,9,1,1,nan,nan,0.19
9/18/2023 19:36:14,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,3,9,2,1,3.95,326,nan
9/18/2023 19:37:02,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,3,10,2,2,nan,nan,0.00
9/18/2023 19:37:12,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,3,10,2,2,nan,nan,0.00
9/18/2023 19:37:16,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,3,10,2,2,nan,nan,nan
9/18/2023 19:37:26,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,3,11,2,2,nan,nan,0.00
9/18/2023 19:37:30,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,3,11,3,2,1.53,77,nan
9/18/2023 19:38:22,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,3,12,3,3,nan,nan,0.00
9/18/2023 19:38:28,1.17.0,Bandit,2,4.16,1,30,80,20,Pellet,Left,3,12,4,3,4.52,58,nan
9/18/2023 19:38:49,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,3,13,4,4,nan,nan,0.00
9/18/2023 19:39:09,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,3,14,4,4,nan,nan,0.00
9/18/2023 19:39:23,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,3,15,4,4,nan,nan,0.00
9/18/2023 19:39:27,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,3,15,5,4,2.30,59,nan
9/18/2023 19:39:49,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,4,15,5,5,nan,nan,0.40
9/18/2023 19:39:55,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,4,15,6,5,2.49,28,nan
9/18/2023 19:40:25,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,4,16,6,6,nan,nan,0.15
9/18/2023 19:40:42,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,4,17,6,6,nan,nan,0.00
9/18/2023 19:40:49,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,4,17,6,6,nan,nan,nan
9/18/2023 19:41:41,1.17.0,Bandit,2,4.16,nan,30,80,20,Left,Left,5,17,6,6,nan,nan,0.23
9/18/2023 19:42:06,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,6,17,6,6,nan,nan,0.00
9/18/2023 19:42:10,1.17.0,Bandit,2,4.15,nan,30,80,20,RightDuringDispense,Left,6,17,6,6,nan,nan,0.21
9/18/2023 19:42:15,1.17.0,Bandit,2,4.15,2,30,80,20,Pellet,Left,6,17,7,6,1.35,139,nan
9/18/2023 19:42:40,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,7,17,7,7,nan,nan,0.00
9/18/2023 19:42:45,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,7,17,8,7,1.09,31,nan
9/18/2023 19:43:20,1.17.0,Bandit,2,4.16,nan,30,80,20,Left,Left,8,17,8,8,nan,nan,0.00
9/18/2023 19:43:47,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,8,18,8,8,nan,nan,0.00
9/18/2023 19:43:51,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,8,18,9,8,1.98,66,nan
9/18/2023 19:44:11,1.17.0,Bandit,2,4.16,nan,30,80,20,Right,Left,8,19,9,9,nan,nan,0.04
9/18/2023 19:44:15,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,8,19,10,9,1.34,24,nan
9/18/2023 19:44:41,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,9,19,10,10,nan,nan,0.65
9/18/2023 19:44:48,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,9,19,11,10,2.11,33,nan
9/18/2023 19:45:06,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,9,20,11,11,nan,nan,0.00
9/18/2023 19:45:21,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,9,21,11,11,nan,nan,0.00
9/18/2023 19:45:38,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,9,22,11,11,nan,nan,0.00
9/18/2023 19:46:08,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,9,23,11,11,nan,nan,0.13
9/18/2023 19:46:17,1.17.0,Bandit,2,4.16,nan,30,80,20,RightinTimeout,Left,9,23,11,11,nan,nan,0.00
9/18/2023 19:46:25,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,9,23,11,11,nan,nan,0.00
9/18/2023 19:46:35,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,10,23,11,11,nan,nan,0.00
9/18/2023 19:46:49,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,10,23,11,11,nan,nan,nan
9/18/2023 19:47:01,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,10,24,11,11,nan,nan,0.00
9/18/2023 19:47:13,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,10,24,11,11,nan,nan,0.00
9/18/2023 19:47:25,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,11,24,11,11,nan,nan,0.19
9/18/2023 19:47:29,1.17.0,Bandit,2,4.14,nan,30,80,20,RightDuringDispense,Left,11,24,11,11,nan,nan,0.03
9/18/2023 19:47:35,1.17.0,Bandit,2,4.15,4,30,80,20,Pellet,Left,11,24,12,11,1.15,167,nan
9/18/2023 19:47:51,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,11,25,12,12,nan,nan,0.11
9/18/2023 19:48:07,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,12,25,12,12,nan,nan,0.56
9/18/2023 19:48:13,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,12,25,13,12,2.42,38,nan
9/18/2023 19:48:46,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,12,26,13,13,nan,nan,0.00
9/18/2023 19:49:09,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,13,26,13,13,nan,nan,0.14
9/18/2023 19:49:16,1.17.0,Bandit,2,4.16,nan,30,80,20,RightinTimeout,Left,13,26,13,13,nan,nan,0.00
9/18/2023 19:49:24,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,13,26,13,13,nan,nan,0.00
9/18/2023 19:49:30,1.17.0,Bandit,2,4.16,nan,30,80,20,RightinTimeout,Left,13,26,13,13,nan,nan,0.00
9/18/2023 19:49:31,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,13,26,13,13,nan,nan,0.00
9/18/2023 19:49:31,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,13,26,13,13,nan,nan,0.00
9/18/2023 19:49:48,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,13,27,13,13,nan,nan,0.07
9/18/2023 19:49:57,1.17.0,Bandit,2,4.14,nan,30,80,20,RightinTimeout,Left,13,27,13,13,nan,nan,0.00
9/18/2023 19:49:58,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,13,27,13,13,nan,nan,0.00
9/18/2023 19:49:58,1.17.0,Bandit,2,4.15,nan,30,80,20,RightinTimeout,Left,13,27,13,13,nan,nan,0.00
9/18/2023 19:50:08,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,13,27,13,13,nan,nan,nan
9/18/2023 19:50:37,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,13,28,13,13,nan,nan,0.00
9/18/2023 19:50:58,1.17.0,Bandit,2,4.14,nan,30,80,20,Right,Left,13,29,13,13,nan,nan,0.03
9/18/2023 19:51:16,1.17.0,Bandit,2,4.16,nan,30,80,20,Left,Left,14,29,13,13,nan,nan,0.43
9/18/2023 19:51:23,1.17.0,Bandit,2,4.15,1,30,80,20,Pellet,Left,14,29,14,13,2.55,190,nan
9/18/2023 19:51:40,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,14,30,14,14,nan,nan,0.06
9/18/2023 19:51:44,1.17.0,Bandit,2,4.15,nan,30,80,20,LeftinTimeOut,Left,14,30,14,14,nan,nan,nan
9/18/2023 19:51:49,1.17.0,Bandit,2,4.16,nan,30,80,20,RightinTimeout,Left,14,30,14,14,nan,nan,0.00
9/18/2023 19:52:18,1.17.0,Bandit,2,4.15,nan,30,80,20,Right,Left,14,31,14,14,nan,nan,0.00
9/18/2023 19:52:31,1.17.0,Bandit,2,4.15,nan,30,80,20,Left,Left,15,31,14,14,nan,nan,0.25
