MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/26/2023 18:06:22,1.17.0,20,80,4.14,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
6/26/2023 18:06:26,1.17.0,20,80,4.14,2,30,Pellet,Left,0,1,1,0,1.28,nan,nan
6/26/2023 18:07:41,1.17.0,20,80,4.14,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
6/26/2023 18:07:49,1.17.0,20,80,4.13,1,30,Pellet,Left,0,2,2,1,4.46,83,nan
6/26/2023 18:08:10,1.17.0,20,80,4.14,nan,30,Right,Left,0,3,2,2,nan,nan,0.00
6/26/2023 18:08:19,1.17.0,20,80,4.14,1,30,Pellet,Left,0,3,3,2,5.57,30,nan
6/26/2023 18:08:37,1.17.0,20,80,4.14,nan,30,Right,Left,0,4,3,3,nan,nan,0.00
6/26/2023 18:08:49,1.17.0,20,80,4.14,1,30,Pellet,Left,0,4,4,3,9.25,30,nan
6/26/2023 18:09:56,1.17.0,20,80,4.14,nan,30,Right,Left,0,5,4,4,nan,nan,0.00
6/26/2023 18:10:04,1.17.0,20,80,4.14,3,30,Pellet,Left,0,5,5,4,2.75,75,nan
6/26/2023 18:10:26,1.17.0,20,80,4.14,nan,30,Right,Left,0,6,5,5,nan,nan,0.00
6/26/2023 18:11:06,1.17.0,20,80,4.14,2,30,Pellet,Left,0,6,6,5,37.02,62,nan
6/26/2023 18:11:55,1.17.0,20,80,4.14,nan,30,Right,Left,0,7,6,6,nan,nan,0.00
6/26/2023 18:12:38,1.17.0,20,80,4.14,2,30,Pellet,Left,0,7,7,6,38.95,92,nan
6/26/2023 18:13:06,1.17.0,20,80,4.14,nan,30,Right,Left,0,8,7,7,nan,nan,0.00
6/26/2023 18:13:47,1.17.0,20,80,4.14,2,30,Pellet,Left,0,8,8,7,35.21,69,nan
6/26/2023 18:14:37,1.17.0,20,80,4.14,nan,30,Right,Left,0,9,8,8,nan,nan,0.00
6/26/2023 18:14:58,1.17.0,20,80,4.13,2,30,Pellet,Left,0,9,9,8,17.84,71,nan
6/26/2023 18:17:31,1.17.0,20,80,4.14,nan,30,Right,Left,0,10,9,9,nan,nan,0.00
6/26/2023 18:17:42,1.17.0,20,80,4.13,1,30,Pellet,Left,0,10,10,9,7.90,164,nan
6/26/2023 18:18:06,1.17.0,20,80,4.14,nan,30,Right,Left,0,11,10,10,nan,nan,0.00
6/26/2023 18:18:22,1.17.0,20,80,4.14,1,30,Pellet,Left,0,11,11,10,12.38,40,nan
6/26/2023 18:19:55,1.17.0,20,80,4.13,nan,30,Right,Left,0,12,11,11,nan,nan,0.00
6/26/2023 18:20:10,1.17.0,20,80,4.13,1,30,Pellet,Left,0,12,12,11,11.52,107,nan
6/26/2023 18:20:52,1.17.0,20,80,4.14,nan,30,Right,Left,0,13,12,12,nan,nan,0.00
6/26/2023 18:21:08,1.17.0,20,80,4.14,1,30,Pellet,Left,0,13,13,12,13.07,59,nan
6/26/2023 18:22:48,1.17.0,20,80,4.14,nan,30,Right,Left,0,14,13,13,nan,nan,0.00
6/26/2023 18:23:09,1.17.0,20,80,4.14,2,30,Pellet,Left,0,14,14,13,17.98,121,nan
6/26/2023 18:24:06,1.17.0,20,80,4.14,nan,30,Right,Left,0,15,14,14,nan,nan,0.00
6/26/2023 18:24:51,1.17.0,20,80,4.14,1,30,Pellet,Left,0,15,15,14,42.17,102,nan
6/26/2023 18:24:52,1.17.0,20,80,4.11,nan,30,Left,Right,1,15,15,15,nan,nan,0.00
6/26/2023 18:25:21,1.17.0,20,80,4.13,nan,30,Right,Left,1,16,15,15,nan,nan,0.00
6/26/2023 18:25:33,1.17.0,20,80,4.13,nan,30,LeftinTimeOut,Left,1,16,15,15,nan,nan,nan
6/26/2023 18:25:34,1.17.0,20,80,4.14,nan,30,LeftinTimeOut,Left,1,16,15,15,nan,nan,nan
6/26/2023 18:26:27,1.17.0,20,80,4.13,nan,30,Right,Left,1,17,15,15,nan,nan,0.00
6/26/2023 18:27:38,1.17.0,20,80,4.14,5,30,Pellet,Left,1,17,16,15,Timed_out,167,nan
6/26/2023 18:27:57,1.17.0,20,80,4.13,nan,30,Left,Right,2,17,16,16,nan,nan,0.00
6/26/2023 18:28:47,1.17.0,20,80,4.13,nan,30,Right,Left,2,18,16,16,nan,nan,0.00
6/26/2023 18:29:31,1.17.0,20,80,4.14,2,30,Pellet,Left,2,18,17,16,38.19,113,nan
6/26/2023 18:30:48,1.17.0,20,80,4.14,nan,30,Left,Right,3,18,17,17,nan,nan,0.00
6/26/2023 18:31:24,1.17.0,20,80,4.13,1,30,Pellet,Right,3,18,18,17,33.43,113,nan
6/26/2023 18:31:48,1.17.0,20,80,4.13,nan,30,Left,Right,4,18,18,18,nan,nan,0.00
6/26/2023 18:32:39,1.17.0,20,80,4.13,3,30,Pellet,Right,4,18,19,18,43.90,75,nan
6/26/2023 18:33:47,1.17.0,20,80,4.13,nan,30,Right,Left,4,19,19,19,nan,nan,0.00
6/26/2023 18:34:49,1.17.0,20,80,4.13,2,30,Pellet,Left,4,19,20,19,56.74,130,nan
6/26/2023 18:36:03,1.17.0,20,80,4.13,nan,30,Left,Right,5,19,20,20,nan,nan,0.00
6/26/2023 18:36:06,1.17.0,20,80,4.13,nan,30,RightinTimeout,Right,5,19,20,20,nan,nan,0.10
6/26/2023 18:37:37,1.17.0,20,80,4.13,nan,30,Right,Left,5,20,20,20,nan,nan,0.00
6/26/2023 18:37:52,1.17.0,20,80,4.13,1,30,Pellet,Left,5,20,21,20,11.78,183,nan
6/26/2023 18:38:15,1.17.0,20,80,4.14,nan,30,Left,Right,6,20,21,21,nan,nan,0.00
6/26/2023 18:39:18,1.17.0,20,80,4.13,nan,30,Right,Left,6,21,21,21,nan,nan,0.00
6/26/2023 18:39:23,1.17.0,20,80,4.12,1,30,Pellet,Left,6,21,22,21,1.83,91,nan
6/26/2023 18:39:51,1.17.0,20,80,4.14,nan,30,Right,Left,6,22,22,22,nan,nan,0.00
6/26/2023 18:40:06,1.17.0,20,80,4.13,1,30,Pellet,Left,6,22,23,22,12.83,43,nan
6/26/2023 18:41:24,1.17.0,20,80,4.13,nan,30,Right,Left,6,23,23,23,nan,nan,0.00
6/26/2023 18:42:35,1.17.0,20,80,4.13,nan,30,Right,Left,6,24,23,23,nan,nan,0.00
6/26/2023 18:44:08,1.17.0,20,80,4.13,1,30,Pellet,Left,6,24,24,23,Timed_out,242,nan
6/26/2023 18:45:55,1.17.0,20,80,4.13,nan,30,Right,Left,6,25,24,24,nan,nan,0.00
6/26/2023 18:46:14,1.17.0,20,80,4.13,1,30,Pellet,Left,6,25,25,24,16.70,126,nan
6/26/2023 18:49:48,1.17.0,20,80,4.13,nan,30,Right,Left,6,26,25,25,nan,nan,0.00
6/26/2023 18:50:31,1.17.0,20,80,4.12,2,30,Pellet,Left,6,26,26,25,37.77,257,nan
6/26/2023 18:52:02,1.17.0,20,80,4.13,nan,30,Left,Right,7,26,26,26,nan,nan,0.00
6/26/2023 18:53:06,1.17.0,20,80,4.12,1,30,Pellet,Right,7,26,27,26,Timed_out,155,nan
6/26/2023 18:53:29,1.17.0,20,80,4.13,nan,30,Right,Left,7,27,27,27,nan,nan,0.00
6/26/2023 18:53:36,1.17.0,20,80,4.13,1,30,Pellet,Left,7,27,28,27,3.85,30,nan
6/26/2023 18:57:53,1.17.0,20,80,4.13,nan,30,Right,Left,7,28,28,28,nan,nan,0.00
6/26/2023 18:58:38,1.17.0,20,80,4.13,nan,30,Left,Right,8,28,28,28,nan,nan,0.44
6/26/2023 18:58:57,1.17.0,20,80,4.13,nan,30,Right,Left,8,29,28,28,nan,nan,0.00
6/26/2023 18:59:48,1.17.0,20,80,4.12,1,30,Pellet,Left,8,29,29,28,47.99,372,nan
6/26/2023 19:03:14,1.17.0,20,80,4.13,nan,30,Left,Right,9,29,29,29,nan,nan,0.00
6/26/2023 19:03:19,1.17.0,20,80,4.13,nan,30,RightinTimeout,Right,9,29,29,29,nan,nan,0.13
6/26/2023 19:03:23,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Right,9,29,29,29,nan,nan,nan
6/26/2023 19:03:35,1.17.0,20,80,4.13,nan,30,Right,Left,9,30,29,29,nan,nan,0.00
6/26/2023 19:03:42,1.17.0,20,80,4.13,1,30,Pellet,Left,9,30,30,29,4.34,234,nan
6/26/2023 19:03:52,1.17.0,80,20,4.12,nan,30,Right,Right,9,31,30,0,nan,nan,0.00
6/26/2023 19:04:38,1.17.0,80,20,4.13,nan,30,Right,Right,9,32,30,0,nan,nan,0.00
6/26/2023 19:04:42,1.17.0,80,20,4.13,nan,30,LeftinTimeOut,Right,9,32,30,0,nan,nan,nan
6/26/2023 19:04:58,1.17.0,80,20,4.12,nan,30,Left,Left,10,32,30,0,nan,nan,0.00
6/26/2023 19:05:08,1.17.0,80,20,4.12,3,30,Pellet,Left,10,32,31,0,2.26,86,nan
6/26/2023 19:06:10,1.17.0,80,20,4.13,nan,30,Right,Right,10,33,31,1,nan,nan,0.00
6/26/2023 19:06:44,1.17.0,80,20,4.13,nan,30,Right,Right,10,34,31,1,nan,nan,0.00
6/26/2023 19:08:52,1.17.0,80,20,4.12,nan,30,Right,Right,10,35,31,1,nan,nan,0.00
6/26/2023 19:09:41,1.17.0,80,20,4.13,nan,30,Right,Right,10,36,31,1,nan,nan,0.00
6/26/2023 19:10:14,1.17.0,80,20,4.13,2,30,Pellet,Right,10,36,32,1,28.51,306,nan
6/26/2023 19:10:35,1.17.0,80,20,4.13,nan,30,Right,Right,10,37,32,2,nan,nan,0.00
