MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/27/2023 11:48:05,1.17.0,20,80,4.17,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
5/27/2023 11:48:41,1.17.0,20,80,4.17,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
5/27/2023 11:48:47,1.17.0,20,80,4.18,2,30,Pellet,Left,1,1,1,0,0.79,nan,nan
5/27/2023 11:49:07,1.17.0,20,80,4.18,nan,30,Right,Left,1,2,1,1,nan,nan,0.00
5/27/2023 11:49:13,1.17.0,20,80,4.18,3,30,Pellet,Left,1,2,2,1,0.12,26,nan
5/27/2023 11:49:28,1.17.0,20,80,4.18,nan,30,Right,Left,1,3,2,2,nan,nan,0.00
5/27/2023 11:49:33,1.17.0,20,80,4.17,1,30,Pellet,Left,1,3,3,2,2.56,20,nan
5/27/2023 11:49:53,1.17.0,20,80,4.18,nan,30,Right,Left,1,4,3,3,nan,nan,0.00
5/27/2023 11:51:16,1.17.0,20,80,4.17,1,30,Pellet,Left,1,4,4,3,Timed_out,103,nan
5/27/2023 11:52:10,1.17.0,20,80,4.18,nan,30,Right,Left,1,5,4,4,nan,nan,0.00
5/27/2023 11:52:24,1.17.0,20,80,4.17,1,30,Pellet,Left,1,5,5,4,10.60,68,nan
5/27/2023 11:52:30,1.17.0,20,80,4.17,nan,30,Right,Left,1,6,5,5,nan,nan,0.27
5/27/2023 11:52:36,1.17.0,20,80,4.18,1,30,Pellet,Left,1,6,6,5,2.93,12,nan
5/27/2023 11:52:49,1.17.0,20,80,4.17,nan,30,Left,Right,2,6,6,6,nan,nan,0.12
5/27/2023 12:07:03,1.17.0,20,80,4.18,1,30,Pellet,Right,2,6,7,6,Timed_out,867,nan
5/27/2023 12:07:36,1.17.0,20,80,4.18,nan,30,Right,Left,2,7,7,7,nan,nan,0.00
5/27/2023 12:08:52,1.17.0,20,80,4.17,1,30,Pellet,Left,2,7,8,7,Timed_out,109,nan
5/27/2023 12:09:16,1.17.0,20,80,4.18,nan,30,Right,Left,2,8,8,8,nan,nan,0.00
5/27/2023 12:09:30,1.17.0,20,80,4.16,2,30,Pellet,Left,2,8,9,8,8.40,38,nan
5/27/2023 12:10:01,1.17.0,20,80,4.17,nan,30,Right,Left,2,9,9,9,nan,nan,0.00
5/27/2023 12:10:06,1.17.0,20,80,4.17,1,30,Pellet,Left,2,9,10,9,2.36,36,nan
5/27/2023 13:06:11,1.17.0,20,80,4.16,nan,30,Right,Left,2,10,10,10,nan,nan,2837.95
