MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/5/2023 18:56,1.17.0,20,80,4.06,nan,30,Right,Left,0,1,0,0,nan,nan,0
6/5/2023 18:57,1.17.0,20,80,4.06,3,30,Pellet,Left,0,1,1,0,0.91,nan,nan
6/5/2023 18:57,1.17.0,20,80,4.06,nan,30,Right,Left,0,2,1,1,nan,nan,0
6/5/2023 18:57,1.17.0,20,80,4.06,nan,30,RightDuringDispense,Left,0,2,1,1,nan,nan,0.12
6/5/2023 18:57,1.17.0,20,80,4.06,3,30,Pellet,Left,0,2,2,1,24.21,44,nan
6/5/2023 18:58,1.17.0,20,80,4.06,nan,30,Right,Left,0,3,2,2,nan,nan,0
6/5/2023 18:58,1.17.0,20,80,4.07,1,30,Pellet,Left,0,3,3,2,0.06,33,nan
6/5/2023 18:58,1.17.0,20,80,4.06,nan,30,Right,Left,0,4,3,3,nan,nan,0
6/5/2023 18:58,1.17.0,20,80,4.06,2,30,Pellet,Left,0,4,4,3,7.65,40,nan
6/5/2023 18:59,1.17.0,20,80,4.05,nan,30,Right,Left,0,5,4,4,nan,nan,0
6/5/2023 18:59,1.17.0,20,80,4.05,1,30,Pellet,Left,0,5,5,4,0.18,28,nan
6/5/2023 18:59,1.17.0,20,80,4.06,nan,30,Right,Left,0,6,5,5,nan,nan,0
6/5/2023 18:59,1.17.0,20,80,4.06,1,30,Pellet,Left,0,6,6,5,0.18,21,nan
6/5/2023 19:00,1.17.0,20,80,4.05,nan,30,Left,Right,1,6,6,6,nan,nan,0
6/5/2023 19:00,1.17.0,20,80,4.05,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0.05
6/5/2023 19:00,1.17.0,20,80,4.05,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0.6
6/5/2023 19:00,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,1,6,6,6,nan,nan,nan
6/5/2023 19:00,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0.03
6/5/2023 19:01,1.17.0,20,80,4.05,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0.23
6/5/2023 19:01,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,1,6,6,6,nan,nan,nan
6/5/2023 19:01,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0.02
6/5/2023 19:01,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0
6/5/2023 19:01,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0.23
6/5/2023 19:01,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0.01
6/5/2023 19:01,1.17.0,20,80,4.07,nan,30,LeftinTimeOut,Right,1,6,6,6,nan,nan,nan
6/5/2023 19:01,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,1,6,6,6,nan,nan,0.12
6/5/2023 19:01,1.17.0,20,80,4.06,nan,30,Left,Right,2,6,6,6,nan,nan,0.02
6/5/2023 19:01,1.17.0,20,80,4.05,nan,30,RightinTimeout,Right,2,6,6,6,nan,nan,0.03
6/5/2023 19:01,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,2,6,6,6,nan,nan,0.48
6/5/2023 19:02,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,2,6,6,6,nan,nan,0.76
6/5/2023 19:02,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,2,6,6,6,nan,nan,nan
6/5/2023 19:02,1.17.0,20,80,4.05,nan,30,Right,Left,2,7,6,6,nan,nan,0
6/5/2023 19:02,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Left,2,7,6,6,nan,nan,nan
6/5/2023 19:02,1.17.0,20,80,4.06,nan,30,Left,Right,3,7,6,6,nan,nan,0
6/5/2023 19:02,1.17.0,20,80,4.05,nan,30,RightinTimeout,Right,3,7,6,6,nan,nan,0.15
6/5/2023 19:02,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,3,7,6,6,nan,nan,0.26
6/5/2023 19:03,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,3,7,6,6,nan,nan,nan
6/5/2023 19:03,1.17.0,20,80,4.06,nan,30,Right,Left,3,8,6,6,nan,nan,0
6/5/2023 19:03,1.17.0,20,80,4.06,1,30,Pellet,Left,3,8,7,6,1.09,224,nan
6/5/2023 19:03,1.17.0,20,80,4.06,nan,30,Right,Left,3,9,7,7,nan,nan,0
6/5/2023 19:03,1.17.0,20,80,4.06,1,30,Pellet,Left,3,9,8,7,0.06,23,nan
6/5/2023 19:04,1.17.0,20,80,4.06,nan,30,Right,Left,3,10,8,8,nan,nan,0
6/5/2023 19:04,1.17.0,20,80,4.06,1,30,Pellet,Left,3,10,9,8,0.12,31,nan
6/5/2023 19:04,1.17.0,20,80,4.06,nan,30,Left,Right,4,10,9,9,nan,nan,0.07
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.08
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.29
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.38
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,4,10,9,9,nan,nan,nan
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.27
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.09
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.49
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,4,10,9,9,nan,nan,nan
6/5/2023 19:05,1.17.0,20,80,4.05,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.52
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,4,10,9,9,nan,nan,nan
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,4,10,9,9,nan,nan,nan
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.51
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,4,10,9,9,nan,nan,nan
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,LeftinTimeOut,Right,4,10,9,9,nan,nan,nan
6/5/2023 19:05,1.17.0,20,80,4.06,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.03
6/5/2023 19:05,1.17.0,20,80,4.05,nan,30,RightinTimeout,Right,4,10,9,9,nan,nan,0.2
6/5/2023 19:06,1.17.0,20,80,4.06,nan,30,Right,Left,4,11,9,9,nan,nan,0
