MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/20/2023 11:50:24,1.17.0,20,80,4.16,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
6/20/2023 11:50:37,1.17.0,20,80,4.15,3,30,Pellet,Left,0,1,1,0,8.26,nan,nan
6/20/2023 18:43:00,1.17.0,20,80,4.12,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
6/20/2023 18:43:08,1.17.0,20,80,4.12,3,30,Pellet,Left,0,2,2,1,1.28,24751,nan
6/20/2023 18:43:22,1.17.0,20,80,4.12,nan,30,Right,Left,0,3,2,2,nan,nan,0.00
6/20/2023 18:43:25,1.17.0,20,80,4.13,2,30,Pellet,Left,0,3,3,2,0.06,17,nan
6/20/2023 18:43:32,1.17.0,20,80,4.13,nan,30,Right,Left,0,4,3,3,nan,nan,0.00
6/20/2023 18:43:35,1.17.0,20,80,4.13,1,30,Pellet,Left,0,4,4,3,0.18,10,nan
6/20/2023 18:43:50,1.17.0,20,80,4.12,nan,30,Right,Left,0,5,4,4,nan,nan,0.00
6/20/2023 18:43:53,1.17.0,20,80,4.13,1,30,Pellet,Left,0,5,5,4,0.06,18,nan
6/20/2023 18:44:09,1.17.0,20,80,4.12,nan,30,Left,Right,1,5,5,5,nan,nan,0.17
6/20/2023 18:44:12,1.17.0,20,80,4.12,1,30,Pellet,Right,1,5,6,5,0.30,19,nan
6/20/2023 18:44:30,1.17.0,20,80,4.13,nan,30,Left,Right,2,5,6,6,nan,nan,0.00
6/20/2023 18:45:05,1.17.0,20,80,4.12,nan,30,Left,Right,3,5,6,6,nan,nan,0.00
6/20/2023 18:45:08,1.17.0,20,80,4.12,2,30,Pellet,Right,3,5,7,6,0.12,56,nan
6/20/2023 18:45:26,1.17.0,20,80,4.12,nan,30,Right,Left,3,6,7,7,nan,nan,0.00
6/20/2023 18:45:29,1.17.0,20,80,4.13,1,30,Pellet,Left,3,6,8,7,0.48,21,nan
6/20/2023 18:46:03,1.17.0,20,80,4.12,nan,30,Left,Right,4,6,8,8,nan,nan,0.00
6/20/2023 18:46:36,1.17.0,20,80,4.12,nan,30,Right,Left,4,7,8,8,nan,nan,0.00
6/20/2023 18:46:59,1.17.0,20,80,4.13,nan,30,Right,Left,4,8,8,8,nan,nan,0.00
