MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/25/2023 19:44:10,1.17.0,Bandit,4,4.05,nan,30,20,80,Right,Right,0,1,0,0,nan,nan,0.00
9/25/2023 19:44:24,1.17.0,Bandit,4,4.05,4,30,20,80,Pellet,Right,0,1,1,0,7.16,nan,nan
9/25/2023 19:44:53,1.17.0,Bandit,4,4.05,nan,30,20,80,Left,Right,1,1,1,1,nan,nan,0.19
9/25/2023 19:45:00,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/25/2023 19:45:19,1.17.0,Bandit,4,4.05,nan,30,20,80,Right,Right,1,2,1,1,nan,nan,0.00
9/25/2023 19:45:22,1.17.0,Bandit,4,4.05,2,30,20,80,Pellet,Right,1,2,2,1,0.31,58,nan
9/25/2023 19:45:36,1.17.0,Bandit,4,4.05,nan,30,20,80,Right,Right,1,3,2,2,nan,nan,0.00
9/25/2023 19:45:40,1.17.0,Bandit,4,4.05,2,30,20,80,Pellet,Right,1,3,3,2,1.96,18,nan
9/25/2023 19:46:04,1.17.0,Bandit,4,4.05,nan,30,20,80,Left,Right,2,3,3,3,nan,nan,0.00
9/25/2023 19:46:21,1.17.0,Bandit,4,4.05,nan,30,20,80,Left,Right,3,3,3,3,nan,nan,0.09
9/25/2023 19:46:41,1.17.0,Bandit,4,4.05,nan,30,20,80,Left,Right,4,3,3,3,nan,nan,0.00
9/25/2023 19:46:44,1.17.0,Bandit,4,4.05,2,30,20,80,Pellet,Right,4,3,4,3,1.01,64,nan
9/25/2023 19:47:19,1.17.0,Bandit,4,4.05,nan,30,20,80,Left,Right,5,3,4,4,nan,nan,0.00
9/25/2023 19:48:07,1.17.0,Bandit,4,4.05,nan,30,20,80,Left,Right,6,3,4,4,nan,nan,0.21
9/25/2023 19:48:11,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,6,3,4,4,nan,nan,nan
9/25/2023 19:48:17,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,6,3,4,4,nan,nan,nan
9/25/2023 19:48:54,1.17.0,Bandit,4,4.05,nan,30,20,80,Right,Right,6,4,4,4,nan,nan,0.00
9/25/2023 19:48:56,1.17.0,Bandit,4,4.05,1,30,20,80,Pellet,Right,6,4,5,4,0.44,132,nan
9/25/2023 19:49:23,1.17.0,Bandit,4,4.05,nan,30,20,80,Right,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:34,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,6,5,5,5,nan,nan,nan
9/25/2023 19:49:37,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,6,5,5,5,nan,nan,nan
9/25/2023 19:49:38,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,6,5,5,5,nan,nan,nan
9/25/2023 19:49:38,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,6,5,5,5,nan,nan,nan
9/25/2023 19:49:41,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:41,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:42,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:42,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:42,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:43,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:43,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:46,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:46,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
9/25/2023 19:49:49,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,6,5,5,5,nan,nan,nan
9/25/2023 19:49:52,1.17.0,Bandit,4,4.05,nan,30,20,80,LeftinTimeOut,Right,6,5,5,5,nan,nan,nan
9/25/2023 19:49:53,1.17.0,Bandit,4,4.05,nan,30,20,80,RightinTimeout,Right,6,5,5,5,nan,nan,0.00
