MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/19/2024 18:43:13,1.17.0,Bandit,0,4.04,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.27
11/19/2024 18:43:25,1.17.0,Bandit,0,4.03,3,30,80,20,Pellet,Left,0,1,1,0,4.13,nan,nan
11/19/2024 18:44:27,1.17.0,Bandit,0,4.04,nan,30,80,20,Right,Left,0,2,1,1,nan,nan,0.06
11/19/2024 18:44:32,1.17.0,Bandit,0,4.04,nan,30,80,20,LeftinTimeOut,Left,0,2,1,1,nan,nan,nan
11/19/2024 18:44:35,1.17.0,Bandit,0,4.03,nan,30,80,20,RightinTimeout,Left,0,2,1,1,nan,nan,0.00
11/19/2024 18:45:41,1.17.0,Bandit,0,4.04,nan,30,80,20,Right,Left,0,3,1,1,nan,nan,0.12
11/19/2024 18:45:56,1.17.0,Bandit,0,4.04,nan,30,80,20,Right,Left,0,4,1,1,nan,nan,0.18
11/19/2024 18:45:58,1.17.0,Bandit,0,4.04,nan,30,80,20,RightinTimeout,Left,0,4,1,1,nan,nan,0.00
11/19/2024 18:46:00,1.17.0,Bandit,0,4.04,nan,30,80,20,RightinTimeout,Left,0,4,1,1,nan,nan,0.00
11/19/2024 18:46:03,1.17.0,Bandit,0,4.04,nan,30,80,20,RightinTimeout,Left,0,4,1,1,nan,nan,0.00
11/19/2024 18:46:04,1.17.0,Bandit,0,4.03,nan,30,80,20,LeftinTimeOut,Left,0,4,1,1,nan,nan,nan
11/19/2024 18:46:10,1.17.0,Bandit,0,4.04,nan,30,80,20,LeftinTimeOut,Left,0,4,1,1,nan,nan,nan
11/19/2024 18:46:15,1.17.0,Bandit,0,4.03,nan,30,80,20,LeftinTimeOut,Left,0,4,1,1,nan,nan,nan
11/19/2024 18:46:15,1.17.0,Bandit,0,4.03,nan,30,80,20,LeftinTimeOut,Left,0,4,1,1,nan,nan,nan
11/19/2024 18:46:19,1.17.0,Bandit,0,4.03,nan,30,80,20,RightinTimeout,Left,0,4,1,1,nan,nan,0.00
11/19/2024 18:46:32,1.17.0,Bandit,0,4.03,nan,30,80,20,Left,Left,1,4,1,1,nan,nan,0.09
11/19/2024 18:46:38,1.17.0,Bandit,0,4.03,3,30,80,20,Pellet,Left,1,4,2,1,0.46,194,nan
11/19/2024 18:47:06,1.17.0,Bandit,0,4.04,nan,30,80,20,Right,Left,1,5,2,2,nan,nan,0.06
11/19/2024 18:47:11,1.17.0,Bandit,0,4.04,nan,30,80,20,RightinTimeout,Left,1,5,2,2,nan,nan,0.00
11/19/2024 18:47:36,1.17.0,Bandit,0,4.03,nan,30,80,20,Right,Left,1,6,2,2,nan,nan,0.04
