MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/26/2023 18:14:06,1.17.0,20,80,4.12,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
6/26/2023 18:14:11,1.17.0,20,80,4.18,2,30,Pellet,Left,0,1,1,0,0.18,nan,nan
6/26/2023 18:14:23,1.17.0,20,80,4.18,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
6/26/2023 18:14:26,1.17.0,20,80,4.18,nan,30,LeftDuringDispense,Left,0,2,1,1,nan,nan,0.03
6/26/2023 18:14:27,1.17.0,20,80,4.18,1,30,Pellet,Left,0,2,2,1,1.22,16,nan
6/26/2023 18:14:38,1.17.0,20,80,4.19,nan,30,Left,Right,1,2,2,2,nan,nan,0.05
6/26/2023 18:14:42,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,1,2,2,2,nan,nan,nan
6/26/2023 18:15:14,1.17.0,20,80,4.18,nan,30,Left,Right,2,2,2,2,nan,nan,0.00
6/26/2023 18:15:18,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,2,2,2,2,nan,nan,nan
6/26/2023 18:15:23,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,2,2,2,2,nan,nan,0.35
6/26/2023 18:15:40,1.17.0,20,80,4.18,nan,30,Right,Left,2,3,2,2,nan,nan,0.00
6/26/2023 18:15:46,1.17.0,20,80,4.18,3,30,Pellet,Left,2,3,3,2,0.18,79,nan
6/26/2023 18:16:03,1.17.0,20,80,4.18,nan,30,Right,Left,2,4,3,3,nan,nan,0.00
6/26/2023 18:16:07,1.17.0,20,80,4.18,1,30,Pellet,Left,2,4,4,3,0.30,21,nan
6/26/2023 18:16:17,1.17.0,20,80,4.18,nan,30,Right,Left,2,5,4,4,nan,nan,0.00
6/26/2023 18:16:20,1.17.0,20,80,4.18,2,30,Pellet,Left,2,5,5,4,0.18,13,nan
6/26/2023 18:16:36,1.17.0,20,80,4.19,nan,30,Right,Left,2,6,5,5,nan,nan,0.00
6/26/2023 18:16:39,1.17.0,20,80,4.18,1,30,Pellet,Left,2,6,6,5,0.06,19,nan
6/26/2023 18:16:53,1.17.0,20,80,4.18,nan,30,Right,Left,2,7,6,6,nan,nan,0.00
6/26/2023 18:16:56,1.17.0,20,80,4.18,1,30,Pellet,Left,2,7,7,6,0.36,17,nan
6/26/2023 18:17:12,1.17.0,20,80,4.18,nan,30,Right,Left,2,8,7,7,nan,nan,0.00
6/26/2023 18:17:15,1.17.0,20,80,4.18,1,30,Pellet,Left,2,8,8,7,0.24,19,nan
6/26/2023 18:17:33,1.17.0,20,80,4.18,nan,30,Right,Left,2,9,8,8,nan,nan,0.00
6/26/2023 18:17:36,1.17.0,20,80,4.18,1,30,Pellet,Left,2,9,9,8,0.18,21,nan
6/26/2023 18:17:51,1.17.0,20,80,4.19,nan,30,Right,Left,2,10,9,9,nan,nan,0.00
6/26/2023 18:17:54,1.17.0,20,80,4.18,1,30,Pellet,Left,2,10,10,9,0.24,18,nan
6/26/2023 18:18:12,1.17.0,20,80,4.18,nan,30,Right,Left,2,11,10,10,nan,nan,0.00
6/26/2023 18:18:15,1.17.0,20,80,4.18,1,30,Pellet,Left,2,11,11,10,0.24,21,nan
6/26/2023 18:18:40,1.17.0,20,80,4.18,nan,30,Right,Left,2,12,11,11,nan,nan,0.00
6/26/2023 18:18:43,1.17.0,20,80,4.18,1,30,Pellet,Left,2,12,12,11,0.42,28,nan
6/26/2023 18:20:44,1.17.0,20,80,4.18,nan,30,Right,Left,2,13,12,12,nan,nan,0.00
6/26/2023 18:21:08,1.17.0,20,80,4.18,nan,30,Right,Left,2,14,12,12,nan,nan,0.00
6/26/2023 18:21:23,1.17.0,20,80,4.18,nan,30,Right,Left,2,15,12,12,nan,nan,0.00
6/26/2023 18:21:27,1.17.0,20,80,4.18,1,30,Pellet,Left,2,15,13,12,0.36,163,nan
6/26/2023 18:21:44,1.17.0,20,80,4.18,nan,30,Right,Left,2,16,13,13,nan,nan,0.00
6/26/2023 18:21:47,1.17.0,20,80,4.18,1,30,Pellet,Left,2,16,14,13,0.24,21,nan
6/26/2023 18:22:04,1.17.0,20,80,4.16,nan,30,Left,Right,3,16,14,14,nan,nan,0.08
6/26/2023 18:22:31,1.17.0,20,80,4.18,nan,30,Right,Left,3,17,14,14,nan,nan,0.00
6/26/2023 18:22:34,1.17.0,20,80,4.18,1,30,Pellet,Left,3,17,15,14,0.12,47,nan
6/26/2023 18:23:05,1.17.0,20,80,4.18,nan,30,Left,Right,4,17,15,15,nan,nan,0.00
