MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/20/2023 11:51:46,1.17.0,20,80,4.18,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
6/20/2023 11:51:57,1.17.0,20,80,4.18,3,30,Pellet,Left,0,1,1,0,5.87,nan,nan
6/20/2023 19:06:02,1.17.0,20,80,4.13,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
6/20/2023 19:06:25,1.17.0,20,80,4.12,3,30,Pellet,Left,0,2,2,1,15.63,26068,nan
6/20/2023 19:07:05,1.17.0,20,80,4.12,nan,30,Left,Right,1,2,2,2,nan,nan,0.00
6/20/2023 19:07:25,1.17.0,20,80,4.12,nan,30,Left,Right,2,2,2,2,nan,nan,0.00
6/20/2023 19:07:40,1.17.0,20,80,4.12,nan,30,Left,Right,3,2,2,2,nan,nan,0.00
6/20/2023 19:08:08,1.17.0,20,80,4.12,nan,30,Right,Left,3,3,2,2,nan,nan,0.00
6/20/2023 19:08:12,1.17.0,20,80,4.12,1,30,Pellet,Left,3,3,3,2,1.15,107,nan
6/20/2023 19:08:34,1.17.0,20,80,4.12,nan,30,Right,Left,3,4,3,3,nan,nan,0.00
6/20/2023 19:08:38,1.17.0,20,80,4.12,1,30,Pellet,Left,3,4,4,3,0.91,26,nan
6/20/2023 19:08:54,1.17.0,20,80,4.12,nan,30,Right,Left,3,5,4,4,nan,nan,0.00
6/20/2023 19:09:06,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Left,3,5,4,4,nan,nan,nan
6/20/2023 19:09:28,1.17.0,20,80,4.12,nan,30,Left,Right,4,5,4,4,nan,nan,0.00
6/20/2023 19:09:51,1.17.0,20,80,4.12,nan,30,Right,Left,4,6,4,4,nan,nan,0.00
6/20/2023 19:10:12,1.17.0,20,80,4.12,2,30,Pellet,Left,4,6,5,4,17.96,94,nan
6/20/2023 19:11:12,1.17.0,20,80,4.12,nan,30,Left,Right,5,6,5,5,nan,nan,0.00
6/20/2023 19:11:27,1.17.0,20,80,4.12,nan,30,Right,Left,5,7,5,5,nan,nan,0.00
6/20/2023 19:11:46,1.17.0,20,80,4.12,2,30,Pellet,Left,5,7,6,5,14.16,94,nan
6/20/2023 19:13:28,1.17.0,20,80,4.12,nan,30,Right,Left,5,8,6,6,nan,nan,0.00
6/20/2023 19:13:36,1.17.0,20,80,4.13,3,30,Pellet,Left,5,8,7,6,0.12,110,nan
6/20/2023 19:15:24,1.17.0,20,80,4.12,nan,30,Right,Left,5,9,7,7,nan,nan,0.00
6/20/2023 19:15:27,1.17.0,20,80,4.12,1,30,Pellet,Left,5,9,8,7,0.18,111,nan
6/20/2023 19:15:51,1.17.0,20,80,4.13,nan,30,Right,Left,5,10,8,8,nan,nan,0.00
6/20/2023 19:15:54,1.17.0,20,80,4.12,2,30,Pellet,Left,5,10,9,8,0.06,27,nan
6/20/2023 19:16:35,1.17.0,20,80,4.13,nan,30,Right,Left,5,11,9,9,nan,nan,0.00
6/20/2023 19:16:38,1.17.0,20,80,4.12,1,30,Pellet,Left,5,11,10,9,0.06,44,nan
6/20/2023 19:17:12,1.17.0,20,80,4.12,nan,30,Right,Left,5,12,10,10,nan,nan,0.00
6/20/2023 19:17:43,1.17.0,20,80,4.12,nan,30,Left,Right,6,12,10,10,nan,nan,0.00
6/20/2023 19:17:58,1.17.0,20,80,4.12,nan,30,Right,Left,6,13,10,10,nan,nan,0.00
6/20/2023 19:18:32,1.17.0,20,80,4.12,nan,30,Left,Right,7,13,10,10,nan,nan,0.00
6/20/2023 19:18:35,1.17.0,20,80,4.12,2,30,Pellet,Right,7,13,11,10,0.06,117,nan
6/20/2023 19:19:03,1.17.0,20,80,4.12,nan,30,Left,Right,8,13,11,11,nan,nan,0.00
6/20/2023 19:19:24,1.17.0,20,80,4.12,nan,30,Right,Left,8,14,11,11,nan,nan,0.00
6/20/2023 19:19:29,1.17.0,20,80,4.12,2,30,Pellet,Left,8,14,12,11,0.24,54,nan
6/20/2023 19:20:28,1.17.0,20,80,4.12,nan,30,Left,Right,9,14,12,12,nan,nan,0.00
6/20/2023 19:21:13,1.17.0,20,80,4.12,nan,30,Left,Right,10,14,12,12,nan,nan,0.00
6/20/2023 19:21:25,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Right,10,14,12,12,nan,nan,nan
6/20/2023 19:21:29,1.17.0,20,80,4.12,nan,30,RightinTimeout,Right,10,14,12,12,nan,nan,0.08
6/20/2023 19:22:42,1.17.0,20,80,4.12,nan,30,Left,Right,11,14,12,12,nan,nan,0.00
6/20/2023 19:23:07,1.17.0,20,80,4.12,nan,30,Left,Right,12,14,12,12,nan,nan,0.00
6/20/2023 19:23:35,1.17.0,20,80,4.12,nan,30,Left,Right,13,14,12,12,nan,nan,0.00
6/20/2023 19:24:04,1.17.0,20,80,4.12,nan,30,Right,Left,13,15,12,12,nan,nan,0.00
6/20/2023 19:24:52,1.17.0,20,80,4.12,nan,30,Right,Left,13,16,12,12,nan,nan,0.00
6/20/2023 19:24:55,1.17.0,20,80,4.12,1,30,Pellet,Left,13,16,13,12,0.12,326,nan
6/20/2023 19:25:16,1.17.0,20,80,4.12,nan,30,Right,Left,13,17,13,13,nan,nan,0.00
6/20/2023 19:25:24,1.17.0,20,80,4.12,nan,30,RightinTimeout,Left,13,17,13,13,nan,nan,0.15
6/20/2023 19:25:24,1.17.0,20,80,4.12,nan,30,RightinTimeout,Left,13,17,13,13,nan,nan,0.03
6/20/2023 19:25:25,1.17.0,20,80,4.12,nan,30,RightinTimeout,Left,13,17,13,13,nan,nan,0.09
6/20/2023 19:25:31,1.17.0,20,80,4.12,nan,30,RightinTimeout,Left,13,17,13,13,nan,nan,0.13
6/20/2023 19:25:40,1.17.0,20,80,4.12,nan,30,RightinTimeout,Left,13,17,13,13,nan,nan,0.58
6/20/2023 19:26:04,1.17.0,20,80,4.12,nan,30,Left,Right,14,17,13,13,nan,nan,0.04
6/20/2023 19:26:26,1.17.0,20,80,4.12,nan,30,Left,Right,15,17,13,13,nan,nan,0.13
6/20/2023 19:26:47,1.17.0,20,80,4.12,nan,30,Right,Left,15,18,13,13,nan,nan,0.00
6/20/2023 19:26:50,1.17.0,20,80,4.12,1,30,Pellet,Left,15,18,14,13,0.12,115,nan
6/20/2023 19:27:12,1.17.0,20,80,4.12,nan,30,Right,Left,15,19,14,14,nan,nan,0.00
6/20/2023 19:27:32,1.17.0,20,80,4.12,nan,30,Right,Left,15,20,14,14,nan,nan,0.00
6/20/2023 19:27:35,1.17.0,20,80,4.12,1,30,Pellet,Left,15,20,15,14,0.48,45,nan
6/20/2023 19:28:03,1.17.0,20,80,4.12,nan,30,Right,Left,15,21,15,15,nan,nan,0.00
6/20/2023 19:28:06,1.17.0,20,80,4.12,1,30,Pellet,Left,15,21,16,15,0.06,31,nan
6/20/2023 19:28:41,1.17.0,20,80,4.12,nan,30,Right,Left,15,22,16,16,nan,nan,0.00
6/20/2023 19:28:46,1.17.0,20,80,4.12,2,30,Pellet,Left,15,22,17,16,0.24,40,nan
6/20/2023 19:29:09,1.17.0,20,80,4.12,nan,30,Right,Left,15,23,17,17,nan,nan,0.00
6/20/2023 19:29:13,1.17.0,20,80,4.12,2,30,Pellet,Left,15,23,18,17,0.06,27,nan
6/20/2023 19:29:35,1.17.0,20,80,4.12,nan,30,Right,Left,15,24,18,18,nan,nan,0.00
6/20/2023 19:29:51,1.17.0,20,80,4.12,2,30,Pellet,Left,15,24,19,18,12.63,38,nan
6/20/2023 19:30:20,1.17.0,20,80,4.12,nan,30,Right,Left,15,25,19,19,nan,nan,0.00
6/20/2023 19:30:24,1.17.0,20,80,4.12,2,30,Pellet,Left,15,25,20,19,0.12,33,nan
6/20/2023 19:30:46,1.17.0,20,80,4.12,nan,30,Right,Left,15,26,20,20,nan,nan,0.00
6/20/2023 19:30:49,1.17.0,20,80,4.12,2,30,Pellet,Left,15,26,21,20,0.06,25,nan
6/20/2023 19:31:11,1.17.0,20,80,4.12,nan,30,Right,Left,15,27,21,21,nan,nan,0.00
6/20/2023 19:31:14,1.17.0,20,80,4.12,2,30,Pellet,Left,15,27,22,21,0.18,25,nan
6/20/2023 19:31:36,1.17.0,20,80,4.12,nan,30,Right,Left,15,28,22,22,nan,nan,0.00
6/20/2023 19:34:34,1.17.0,20,80,4.12,nan,30,Left,Right,16,28,22,22,nan,nan,0.13
6/20/2023 19:35:01,1.17.0,20,80,4.12,nan,30,Left,Right,17,28,22,22,nan,nan,0.00
6/20/2023 19:37:28,1.17.0,20,80,4.12,1,30,Pellet,Right,17,28,23,22,Timed_out,374,nan
6/20/2023 19:37:51,1.17.0,20,80,4.12,nan,30,Left,Right,18,28,23,23,nan,nan,0.00
6/20/2023 19:39:24,1.17.0,20,80,4.12,nan,30,Left,Right,19,28,23,23,nan,nan,0.00
6/20/2023 19:41:54,1.17.0,20,80,4.12,nan,30,Left,Right,20,28,23,23,nan,nan,0.00
6/20/2023 19:51:30,1.17.0,20,80,4.12,nan,30,Left,Right,21,28,23,23,nan,nan,0.00
6/20/2023 19:51:38,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Right,21,28,23,23,nan,nan,nan
6/20/2023 19:51:55,1.17.0,20,80,4.12,nan,30,Left,Right,22,28,23,23,nan,nan,0.00
6/20/2023 19:52:29,1.17.0,20,80,4.12,nan,30,Right,Left,22,29,23,23,nan,nan,0.00
6/20/2023 19:52:32,1.17.0,20,80,4.12,2,30,Pellet,Left,22,29,24,23,0.12,904,nan
6/20/2023 19:53:12,1.17.0,20,80,4.12,nan,30,Left,Right,23,29,24,24,nan,nan,0.00
6/20/2023 19:53:15,1.17.0,20,80,4.12,1,30,Pellet,Right,23,29,25,24,0.24,43,nan
6/20/2023 19:53:50,1.17.0,20,80,4.12,nan,30,Right,Left,23,30,25,25,nan,nan,0.00
6/20/2023 19:53:53,1.17.0,20,80,4.12,2,30,Pellet,Left,23,30,26,25,0.06,38,nan
6/20/2023 20:16:19,1.17.0,20,80,4.12,nan,30,Left,Right,24,30,26,26,nan,nan,0.00
6/20/2023 20:16:49,1.17.0,20,80,4.12,nan,30,Right,Left,24,31,26,26,nan,nan,0.00
6/20/2023 20:16:52,1.17.0,20,80,4.12,1,30,Pellet,Left,24,31,27,26,0.12,1379,nan
6/20/2023 20:17:18,1.17.0,20,80,4.12,nan,30,Left,Right,25,31,27,27,nan,nan,0.09
6/20/2023 20:17:34,1.17.0,20,80,4.11,nan,30,Left,Right,26,31,27,27,nan,nan,0.00
6/20/2023 20:20:50,1.17.0,20,80,4.12,nan,30,Left,Right,27,31,27,27,nan,nan,0.00
6/20/2023 20:21:18,1.17.0,20,80,4.12,nan,30,Right,Left,27,32,27,27,nan,nan,0.00
6/20/2023 20:21:24,1.17.0,20,80,4.11,2,30,Pellet,Left,27,32,28,27,0.97,272,nan
6/20/2023 20:22:03,1.17.0,20,80,4.12,nan,30,Left,Right,28,32,28,28,nan,nan,0.00
6/20/2023 20:22:35,1.17.0,20,80,4.12,nan,30,Left,Right,29,32,28,28,nan,nan,0.00
6/20/2023 20:22:47,1.17.0,20,80,4.12,nan,30,RightinTimeout,Right,29,32,28,28,nan,nan,0.13
6/20/2023 20:22:55,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Right,29,32,28,28,nan,nan,nan
6/20/2023 20:23:01,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Right,29,32,28,28,nan,nan,nan
6/20/2023 20:23:03,1.17.0,20,80,4.11,nan,30,LeftinTimeOut,Right,29,32,28,28,nan,nan,nan
6/20/2023 20:23:05,1.17.0,20,80,4.11,nan,30,RightinTimeout,Right,29,32,28,28,nan,nan,0.11
6/20/2023 20:23:12,1.17.0,20,80,4.11,nan,30,LeftinTimeOut,Right,29,32,28,28,nan,nan,nan
6/20/2023 20:23:15,1.17.0,20,80,4.11,nan,30,RightinTimeout,Right,29,32,28,28,nan,nan,0.04
6/20/2023 20:23:25,1.17.0,20,80,4.11,nan,30,RightinTimeout,Right,29,32,28,28,nan,nan,0.28
6/20/2023 20:23:33,1.17.0,20,80,4.11,nan,30,LeftinTimeOut,Right,29,32,28,28,nan,nan,nan
6/20/2023 20:23:35,1.17.0,20,80,4.12,nan,30,RightinTimeout,Right,29,32,28,28,nan,nan,0.15
6/20/2023 20:23:43,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Right,29,32,28,28,nan,nan,nan
6/20/2023 20:23:54,1.17.0,20,80,4.12,nan,30,Left,Right,30,32,28,28,nan,nan,0.05
6/20/2023 20:24:17,1.17.0,20,80,4.12,nan,30,Right,Left,30,33,28,28,nan,nan,0.00
6/20/2023 20:24:20,1.17.0,20,80,4.12,1,30,Pellet,Left,30,33,29,28,0.12,176,nan
6/20/2023 20:24:44,1.17.0,20,80,4.12,nan,30,Left,Right,31,33,29,29,nan,nan,0.00
6/20/2023 20:24:51,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Right,31,33,29,29,nan,nan,nan
6/20/2023 20:24:58,1.17.0,20,80,4.11,nan,30,LeftinTimeOut,Right,31,33,29,29,nan,nan,nan
6/20/2023 20:25:03,1.17.0,20,80,4.12,nan,30,RightinTimeout,Right,31,33,29,29,nan,nan,0.08
6/20/2023 20:25:04,1.17.0,20,80,4.12,nan,30,RightinTimeout,Right,31,33,29,29,nan,nan,0.03
6/20/2023 20:25:12,1.17.0,20,80,4.12,nan,30,LeftinTimeOut,Right,31,33,29,29,nan,nan,nan
6/20/2023 20:25:18,1.17.0,20,80,4.11,nan,30,RightinTimeout,Right,31,33,29,29,nan,nan,0.20
6/20/2023 20:25:41,1.17.0,20,80,4.12,nan,30,Right,Left,31,34,29,29,nan,nan,0.00
6/20/2023 20:25:47,1.17.0,20,80,4.11,2,30,Pellet,Left,31,34,30,29,0.55,87,nan
6/20/2023 20:26:19,1.17.0,80,20,4.11,nan,30,Right,Right,31,35,30,0,nan,nan,0.00
6/20/2023 20:26:27,1.17.0,80,20,4.11,nan,30,RightinTimeout,Right,31,35,30,0,nan,nan,0.43
6/20/2023 20:27:46,1.17.0,80,20,4.11,nan,30,Right,Right,31,36,30,0,nan,nan,0.00
6/20/2023 20:38:38,1.17.0,80,20,4.11,nan,30,Right,Right,31,37,30,0,nan,nan,0.00
6/20/2023 20:39:08,1.17.0,80,20,4.11,nan,30,Left,Left,32,37,30,0,nan,nan,0.20
6/20/2023 20:39:11,1.17.0,80,20,4.12,1,30,Pellet,Left,32,37,31,0,0.12,804,nan
6/20/2023 20:39:50,1.17.0,80,20,4.12,nan,30,Left,Left,33,37,31,1,nan,nan,0.00
6/20/2023 20:39:53,1.17.0,80,20,4.11,2,30,Pellet,Left,33,37,32,1,0.06,42,nan
6/20/2023 20:40:21,1.17.0,80,20,4.12,nan,30,Left,Left,34,37,32,2,nan,nan,0.00
6/20/2023 20:41:05,1.17.0,80,20,4.11,nan,30,Right,Right,34,38,32,2,nan,nan,0.00
6/20/2023 20:44:36,1.17.0,80,20,4.11,nan,30,Left,Left,35,38,32,2,nan,nan,0.00
6/20/2023 20:49:12,1.17.0,80,20,4.11,nan,30,Right,Right,35,39,32,2,nan,nan,0.00
6/20/2023 20:49:50,1.17.0,80,20,4.11,nan,30,Left,Left,36,39,32,2,nan,nan,0.00
6/20/2023 20:49:55,1.17.0,80,20,4.11,2,30,Pellet,Left,36,39,33,2,0.12,602,nan
6/20/2023 20:50:24,1.17.0,80,20,4.11,nan,30,Left,Left,37,39,33,3,nan,nan,0.00
6/20/2023 20:50:27,1.17.0,80,20,4.12,1,30,Pellet,Left,37,39,34,3,0.24,32,nan
6/20/2023 20:50:58,1.17.0,80,20,4.11,nan,30,Left,Left,38,39,34,4,nan,nan,0.00
6/20/2023 20:51:03,1.17.0,80,20,4.11,2,30,Pellet,Left,38,39,35,4,0.06,36,nan
6/20/2023 20:51:27,1.17.0,80,20,4.11,nan,30,Left,Left,39,39,35,5,nan,nan,0.12
6/20/2023 20:51:30,1.17.0,80,20,4.11,1,30,Pellet,Left,39,39,36,5,0.12,27,nan
6/20/2023 20:51:55,1.17.0,80,20,4.11,nan,30,Left,Left,40,39,36,6,nan,nan,0.00
6/20/2023 21:01:37,1.17.0,80,20,4.11,nan,30,Left,Left,41,39,36,6,nan,nan,0.00
6/20/2023 21:01:43,1.17.0,80,20,4.11,2,30,Pellet,Left,41,39,37,6,0.12,613,nan
6/20/2023 21:02:20,1.17.0,80,20,4.11,nan,30,Left,Left,42,39,37,7,nan,nan,0.00
6/20/2023 21:02:23,1.17.0,80,20,4.11,1,30,Pellet,Left,42,39,38,7,0.18,40,nan
6/20/2023 21:02:50,1.17.0,80,20,4.11,nan,30,Left,Left,43,39,38,8,nan,nan,0.00
6/20/2023 21:02:53,1.17.0,80,20,4.11,1,30,Pellet,Left,43,39,39,8,0.30,30,nan
6/20/2023 21:03:20,1.17.0,80,20,4.11,nan,30,Left,Left,44,39,39,9,nan,nan,0.00
6/20/2023 21:03:23,1.17.0,80,20,4.11,1,30,Pellet,Left,44,39,40,9,0.67,30,nan
6/20/2023 21:04:02,1.17.0,80,20,4.11,nan,30,Left,Left,45,39,40,10,nan,nan,0.00
6/20/2023 21:13:59,1.17.0,80,20,4.11,nan,30,Left,Left,46,39,40,10,nan,nan,0.00
6/20/2023 21:14:03,1.17.0,80,20,4.11,1,30,Pellet,Left,46,39,41,10,0.48,640,nan
6/20/2023 21:14:34,1.17.0,80,20,4.11,nan,30,Left,Left,47,39,41,11,nan,nan,0.00
6/20/2023 21:14:38,1.17.0,80,20,4.11,1,30,Pellet,Left,47,39,42,11,0.67,35,nan
6/20/2023 21:15:05,1.17.0,80,20,4.11,nan,30,Left,Left,48,39,42,12,nan,nan,0.00
6/20/2023 21:15:09,1.17.0,80,20,4.11,1,30,Pellet,Left,48,39,43,12,0.79,31,nan
6/20/2023 21:15:36,1.17.0,80,20,4.11,nan,30,Left,Left,49,39,43,13,nan,nan,0.00
6/20/2023 21:15:39,1.17.0,80,20,4.11,1,30,Pellet,Left,49,39,44,13,0.30,30,nan
6/20/2023 21:20:20,1.17.0,80,20,4.11,nan,30,Left,Left,50,39,44,14,nan,nan,0.00
6/20/2023 21:20:23,1.17.0,80,20,4.12,1,30,Pellet,Left,50,39,45,14,0.06,284,nan
6/20/2023 21:20:54,1.17.0,80,20,4.11,nan,30,Left,Left,51,39,45,15,nan,nan,0.00
6/20/2023 21:20:58,1.17.0,80,20,4.11,1,30,Pellet,Left,51,39,46,15,0.06,35,nan
6/20/2023 21:21:44,1.17.0,80,20,4.11,nan,30,Left,Left,52,39,46,16,nan,nan,0.00
6/20/2023 21:21:47,1.17.0,80,20,4.11,1,30,Pellet,Left,52,39,47,16,0.18,49,nan
6/20/2023 21:28:08,1.17.0,80,20,4.11,nan,30,Right,Right,52,40,47,17,nan,nan,0.00
6/20/2023 21:41:04,1.17.0,80,20,4.11,nan,30,Right,Right,52,41,47,17,nan,nan,0.00
6/20/2023 21:41:10,1.17.0,80,20,4.11,2,30,Pellet,Right,52,41,48,17,0.18,1163,nan
6/20/2023 21:41:43,1.17.0,80,20,4.11,nan,30,Right,Right,52,42,48,18,nan,nan,0.00
6/20/2023 21:42:01,1.17.0,80,20,4.11,nan,30,Right,Right,52,43,48,18,nan,nan,0.00
6/20/2023 21:42:23,1.17.0,80,20,4.11,nan,30,Left,Left,53,43,48,18,nan,nan,0.00
6/20/2023 21:42:29,1.17.0,80,20,4.11,2,30,Pellet,Left,53,43,49,18,0.55,79,nan
6/20/2023 21:43:11,1.17.0,80,20,4.11,nan,30,Left,Left,54,43,49,19,nan,nan,0.00
6/20/2023 21:43:14,1.17.0,80,20,4.11,1,30,Pellet,Left,54,43,50,19,0.24,45,nan
6/20/2023 21:44:08,1.17.0,80,20,4.11,nan,30,Left,Left,55,43,50,20,nan,nan,0.00
6/20/2023 21:44:11,1.17.0,80,20,4.11,1,30,Pellet,Left,55,43,51,20,0.55,57,nan
6/20/2023 21:45:09,1.17.0,80,20,4.11,nan,30,Left,Left,56,43,51,21,nan,nan,0.00
6/20/2023 21:45:35,1.17.0,80,20,4.11,3,30,Pellet,Left,56,43,52,21,18.17,84,nan
6/20/2023 21:46:45,1.17.0,80,20,4.11,nan,30,Left,Left,57,43,52,22,nan,nan,0.00
6/20/2023 21:55:33,1.17.0,80,20,4.11,nan,30,Left,Left,58,43,52,22,nan,nan,0.00
6/20/2023 22:01:08,1.17.0,80,20,4.11,nan,30,Left,Left,59,43,52,22,nan,nan,0.00
6/20/2023 22:01:36,1.17.0,80,20,4.11,nan,30,Right,Right,59,44,52,22,nan,nan,0.00
6/20/2023 22:17:14,1.17.0,80,20,4.11,nan,30,Left,Left,60,44,52,22,nan,nan,0.58
6/20/2023 22:17:19,1.17.0,80,20,4.11,1,30,Pellet,Left,60,44,53,22,2.44,1904,nan
6/20/2023 22:17:43,1.17.0,80,20,4.11,nan,30,Right,Right,60,45,53,23,nan,nan,0.00
