MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/4/2023 19:18:44,1.17.0,Bandit,0,4.15,nan,30,20,80,Right,Right,0,1,0,0,nan,nan,0.00
10/4/2023 19:18:48,1.17.0,Bandit,0,4.15,2,30,20,80,Pellet,Right,0,1,1,0,0.12,nan,nan
10/4/2023 19:19:18,1.17.0,Bandit,0,4.15,nan,30,20,80,Right,Right,0,2,1,1,nan,nan,0.00
10/4/2023 19:19:20,1.17.0,Bandit,0,4.15,1,30,20,80,Pellet,Right,0,2,2,1,0.25,32,nan
10/4/2023 19:19:39,1.17.0,Bandit,0,4.15,nan,30,20,80,Right,Right,0,3,2,2,nan,nan,0.00
10/4/2023 19:19:41,1.17.0,Bandit,0,4.15,1,30,20,80,Pellet,Right,0,3,3,2,0.12,21,nan
10/4/2023 19:19:57,1.17.0,Bandit,0,4.15,nan,30,20,80,Left,Right,1,3,3,3,nan,nan,0.01
10/4/2023 19:20:37,1.17.0,Bandit,0,4.15,nan,30,20,80,Left,Right,2,3,3,3,nan,nan,0.06
10/4/2023 19:20:50,1.17.0,Bandit,0,4.15,nan,30,20,80,Right,Right,2,4,3,3,nan,nan,0.00
10/4/2023 19:20:54,1.17.0,Bandit,0,4.15,2,30,20,80,Pellet,Right,2,4,4,3,0.19,73,nan
10/4/2023 19:21:07,1.17.0,Bandit,0,4.15,nan,30,20,80,Right,Right,2,5,4,4,nan,nan,0.00
10/4/2023 19:21:10,1.17.0,Bandit,0,4.16,nan,30,20,80,RightinTimeout,Right,2,5,4,4,nan,nan,0.00
10/4/2023 19:21:17,1.17.0,Bandit,0,4.15,nan,30,20,80,RightinTimeout,Right,2,5,4,4,nan,nan,0.00
10/4/2023 19:21:20,1.17.0,Bandit,0,4.16,nan,30,20,80,RightinTimeout,Right,2,5,4,4,nan,nan,0.00
10/4/2023 19:21:26,1.17.0,Bandit,0,4.15,nan,30,20,80,LeftinTimeOut,Right,2,5,4,4,nan,nan,nan
10/4/2023 19:21:43,1.17.0,Bandit,0,4.15,nan,30,20,80,Right,Right,2,6,4,4,nan,nan,0.00
