MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/18/2024 20:37:43,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.26
11/18/2024 20:38:34,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.04
11/18/2024 20:38:35,1.17.0,Bandit,0,4.16,5,30,80,20,Pellet,Left,0,1,1,0,41.72,nan,nan
11/18/2024 20:38:57,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,1,1,1,1,nan,nan,0.01
11/18/2024 20:39:25,1.17.0,Bandit,0,4.17,3,30,80,20,Pellet,Left,1,1,2,1,20.28,50,nan
11/18/2024 20:41:22,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,2,1,2,2,nan,nan,0.08
11/18/2024 20:42:20,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftWithPellet,Left,2,1,2,2,nan,nan,0.04
11/18/2024 20:42:26,1.17.0,Bandit,0,4.17,nan,30,80,20,LeftWithPellet,Left,2,1,2,2,nan,nan,0.04
11/18/2024 20:42:43,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,2,1,3,2,Timed_out,198,nan
11/18/2024 20:44:26,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,2,2,3,3,nan,nan,0.13
11/18/2024 20:44:33,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,2,2,3,3,nan,nan,0.00
11/18/2024 20:44:34,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,2,2,3,3,nan,nan,0.00
11/18/2024 20:44:45,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,2,3,3,3,nan,nan,0.06
11/18/2024 20:45:03,1.17.0,Bandit,0,4.16,2,30,80,20,Pellet,Left,2,3,4,3,14.26,140,nan
11/18/2024 20:45:27,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,2,4,4,4,nan,nan,0.06
11/18/2024 20:45:30,1.17.0,Bandit,0,4.17,nan,30,80,20,RightinTimeout,Left,2,4,4,4,nan,nan,0.00
11/18/2024 20:45:41,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,2,5,4,4,nan,nan,0.06
