MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/25/2024 20:25:22,1.17.0,Bandit,10,3.96,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.06
11/25/2024 20:25:29,1.17.0,Bandit,10,4.03,3,30,80,20,Pellet,Left,0,1,1,0,0.46,nan,nan
11/25/2024 20:25:45,1.17.0,Bandit,10,4.03,nan,30,80,20,Right,Left,0,2,1,1,nan,nan,0.06
11/25/2024 20:25:53,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,0,2,1,1,nan,nan,0.00
11/25/2024 20:25:57,1.17.0,Bandit,10,4.02,nan,30,80,20,LeftinTimeOut,Left,0,2,1,1,nan,nan,nan
11/25/2024 20:26:01,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,0,2,1,1,nan,nan,0.00
11/25/2024 20:26:03,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,0,2,1,1,nan,nan,0.00
11/25/2024 20:26:05,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,0,2,1,1,nan,nan,0.00
11/25/2024 20:26:06,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,0,2,1,1,nan,nan,0.00
11/25/2024 20:26:07,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,0,2,1,1,nan,nan,nan
11/25/2024 20:26:08,1.17.0,Bandit,10,4.02,nan,30,80,20,LeftinTimeOut,Left,0,2,1,1,nan,nan,nan
11/25/2024 20:26:10,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,0,2,1,1,nan,nan,0.00
11/25/2024 20:26:11,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,0,2,1,1,nan,nan,0.00
11/25/2024 20:26:22,1.17.0,Bandit,10,4.03,nan,30,80,20,Left,Left,1,2,1,1,nan,nan,0.04
11/25/2024 20:26:32,1.17.0,Bandit,10,4.02,3,30,80,20,Pellet,Left,1,2,2,1,4.25,64,nan
11/25/2024 20:26:51,1.17.0,Bandit,10,4.02,nan,30,80,20,Right,Left,1,3,2,2,nan,nan,0.06
11/25/2024 20:26:55,1.17.0,Bandit,10,4.02,1,30,80,20,Pellet,Left,1,3,3,2,0.46,23,nan
11/25/2024 20:27:05,1.17.0,Bandit,10,4.03,nan,30,80,20,Left,Left,2,3,3,3,nan,nan,0.09
11/25/2024 20:27:06,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,3,3,3,nan,nan,nan
11/25/2024 20:27:07,1.17.0,Bandit,10,4.02,nan,30,80,20,LeftinTimeOut,Left,2,3,3,3,nan,nan,nan
11/25/2024 20:27:26,1.17.0,Bandit,10,4.03,nan,30,80,20,Right,Left,2,4,3,3,nan,nan,0.04
11/25/2024 20:27:29,1.17.0,Bandit,10,4.02,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:27:30,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:27:33,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:27:38,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:27:40,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:27:43,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:27:45,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:27:47,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:27:48,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:27:50,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:27:53,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:01,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:02,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:03,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:04,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:05,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:10,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:13,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:14,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:15,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:15,1.17.0,Bandit,10,4.02,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:19,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:21,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:23,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:25,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:26,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:27,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:31,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:33,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:34,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:36,1.17.0,Bandit,10,4.02,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:38,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:42,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:43,1.17.0,Bandit,10,4.02,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:44,1.17.0,Bandit,10,4.02,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:45,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:46,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:47,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:49,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:53,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:28:55,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:56,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:56,1.17.0,Bandit,10,4.03,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
11/25/2024 20:28:58,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:29:03,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
11/25/2024 20:29:05,1.17.0,Bandit,10,4.03,nan,30,80,20,LeftinTimeOut,Left,2,4,3,3,nan,nan,nan
