MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/16/2025 19:59,1.17.0,Bandit,3,3.93,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.11
1/16/2025 20:07,1.17.0,Bandit,3,4.09,nan,30,80,20,RightWithPellet,Left,0,2,0,0,nan,nan,0.15
1/16/2025 20:13,1.17.0,Bandit,3,4.09,nan,30,80,20,LeftWithPellet,Left,0,2,0,0,nan,nan,0.17
1/16/2025 20:40,1.17.0,Bandit,3,4.09,5,30,80,20,Pellet,Left,0,2,1,0,16.31,nan,nan
1/16/2025 20:42,1.17.0,Bandit,3,4.09,nan,30,80,20,Right,Left,0,3,1,1,nan,nan,0.15
1/16/2025 20:46,1.17.0,Bandit,3,4.09,nan,30,80,20,Left,Left,1,3,1,1,nan,nan,0.08
1/16/2025 20:47,1.17.0,Bandit,3,4.09,3,30,80,20,Pellet,Left,1,3,2,1,1.62,42,nan
1/16/2025 20:48,1.17.0,Bandit,3,4.09,nan,30,80,20,Left,Left,2,3,2,2,nan,nan,0.1
1/16/2025 20:48,1.17.0,Bandit,3,4.09,1,30,80,20,Pellet,Left,2,3,3,2,1.68,30,nan
1/16/2025 20:50,1.17.0,Bandit,3,4.09,nan,30,80,20,Left,Left,3,3,3,3,nan,nan,0.06
1/16/2025 20:50,1.17.0,Bandit,3,4.09,nan,30,80,20,Left,Left,4,3,3,3,nan,nan,0.06
1/16/2025 20:51,1.17.0,Bandit,3,4.09,1,30,80,20,Pellet,Left,4,3,4,3,1.8,52,nan
1/16/2025 20:51,1.17.0,Bandit,3,4.08,nan,30,80,20,Left,Left,5,3,4,4,nan,nan,0.07
1/16/2025 20:51,1.17.0,Bandit,3,4.09,3,30,80,20,Pellet,Left,5,3,5,4,1.13,50,nan
1/16/2025 20:51,1.17.0,Bandit,3,4.09,nan,30,80,20,Left,Left,6,3,5,5,nan,nan,0.06
1/16/2025 20:51,1.17.0,Bandit,3,4.09,1,30,80,20,Pellet,Left,6,3,6,5,2.17,33,nan
1/16/2025 20:55,1.17.0,Bandit,3,4.09,nan,30,80,20,Right,Left,6,4,6,6,nan,nan,0.26
1/16/2025 20:55,1.17.0,Bandit,3,4.09,nan,30,80,20,LeftinTimeOut,Left,6,4,6,6,nan,nan,nan
1/16/2025 20:55,1.17.0,Bandit,3,4.09,nan,30,80,20,LeftinTimeOut,Left,6,4,6,6,nan,nan,nan
1/16/2025 20:56,1.17.0,Bandit,3,4.09,nan,30,80,20,RightinTimeout,Left,6,4,6,6,nan,nan,0
1/16/2025 20:56,1.17.0,Bandit,3,4.09,nan,30,80,20,Right,Left,6,5,6,6,nan,nan,0.03
1/16/2025 20:56,1.17.0,Bandit,3,4.09,nan,30,80,20,LeftinTimeOut,Left,6,5,6,6,nan,nan,nan
1/16/2025 20:56,1.17.0,Bandit,3,4.08,nan,30,80,20,Right,Left,6,6,6,6,nan,nan,0.17
1/16/2025 20:57,1.17.0,Bandit,3,4.09,nan,30,80,20,RightinTimeout,Left,6,6,6,6,nan,nan,0
1/16/2025 20:58,1.17.0,Bandit,3,4.09,nan,30,80,20,Right,Left,6,7,6,6,nan,nan,0.11
1/16/2025 20:58,1.17.0,Bandit,3,4.09,1,30,80,20,Pellet,Left,6,7,7,6,1.8,127,nan
1/16/2025 20:59,1.17.0,Bandit,3,4.08,nan,30,80,20,Left,Left,7,7,7,7,nan,nan,0.06
1/16/2025 20:59,1.17.0,Bandit,3,4.09,nan,30,80,20,LeftinTimeOut,Left,7,7,7,7,nan,nan,nan
1/16/2025 20:59,1.17.0,Bandit,3,4.09,nan,30,80,20,Left,Left,8,7,7,7,nan,nan,0.01
1/16/2025 21:00,1.17.0,Bandit,3,4.09,nan,30,80,20,LeftinTimeOut,Left,8,7,7,7,nan,nan,nan
1/16/2025 21:00,1.17.0,Bandit,3,4.09,nan,30,80,20,Right,Left,8,8,7,7,nan,nan,0.16
1/16/2025 21:01,1.17.0,Bandit,3,4.09,nan,30,80,20,Right,Left,8,9,7,7,nan,nan,0.05
1/16/2025 21:02,1.17.0,Bandit,3,4.08,nan,30,80,20,Left,Left,9,9,7,7,nan,nan,0.12
1/16/2025 21:02,1.17.0,Bandit,3,4.09,1,30,80,20,Pellet,Left,9,9,8,7,3.46,184,nan
1/16/2025 21:02,1.17.0,Bandit,3,4.09,nan,30,80,20,Left,Left,10,9,8,8,nan,nan,0.22
1/16/2025 21:02,1.17.0,Bandit,3,4.09,nan,30,80,20,Right,Left,10,10,8,8,nan,nan,0.03
1/16/2025 21:02,1.17.0,Bandit,3,4.09,nan,30,80,20,LeftinTimeOut,Left,10,10,8,8,nan,nan,nan
1/16/2025 21:03,1.17.0,Bandit,3,4.09,nan,30,80,20,RightinTimeout,Left,10,10,8,8,nan,nan,0
1/16/2025 21:03,1.17.0,Bandit,3,4.09,nan,30,80,20,RightinTimeout,Left,10,10,8,8,nan,nan,0
1/16/2025 21:03,1.17.0,Bandit,3,4.09,nan,30,80,20,RightinTimeout,Left,10,10,8,8,nan,nan,0
1/16/2025 21:03,1.17.0,Bandit,3,4.09,nan,30,80,20,RightinTimeout,Left,10,10,8,8,nan,nan,0
1/16/2025 21:04,1.17.0,Bandit,3,4.09,nan,30,80,20,RightinTimeout,Left,10,10,8,8,nan,nan,0
1/16/2025 21:04,1.17.0,Bandit,3,4.09,nan,30,80,20,RightinTimeout,Left,10,10,8,8,nan,nan,0
1/16/2025 21:05,1.17.0,Bandit,3,4.08,nan,30,80,20,LeftinTimeOut,Left,10,10,8,8,nan,nan,nan
