MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/13/2023 17:16:53,1.17.0,20,80,4.16,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
6/13/2023 17:17:51,1.17.0,20,80,4.16,nan,30,Left,Right,2,0,0,0,nan,nan,0.00
6/13/2023 17:17:56,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.17
6/13/2023 17:18:01,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.07
6/13/2023 17:18:10,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.08
6/13/2023 17:18:21,1.17.0,20,80,4.16,nan,30,Left,Right,3,0,0,0,nan,nan,0.00
6/13/2023 17:18:58,1.17.0,20,80,4.16,nan,30,Left,Right,4,0,0,0,nan,nan,0.00
6/13/2023 17:19:25,1.17.0,20,80,4.16,nan,30,Left,Right,5,0,0,0,nan,nan,0.09
6/13/2023 17:19:28,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,5,0,0,0,nan,nan,nan
6/13/2023 17:19:31,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,5,0,0,0,nan,nan,nan
6/13/2023 17:19:32,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,5,0,0,0,nan,nan,0.20
6/13/2023 17:19:34,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,5,0,0,0,nan,nan,0.14
6/13/2023 17:19:35,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,5,0,0,0,nan,nan,0.13
6/13/2023 17:19:37,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,5,0,0,0,nan,nan,0.08
6/13/2023 17:20:29,1.17.0,20,80,4.16,nan,30,Left,Right,6,0,0,0,nan,nan,0.00
6/13/2023 17:21:04,1.17.0,20,80,4.16,nan,30,Left,Right,7,0,0,0,nan,nan,0.00
6/13/2023 17:21:14,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,7,0,0,0,nan,nan,nan
6/13/2023 17:21:18,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,7,0,0,0,nan,nan,0.17
6/13/2023 17:21:29,1.17.0,20,80,4.16,nan,30,Left,Right,8,0,0,0,nan,nan,0.00
6/13/2023 17:21:48,1.17.0,20,80,4.16,nan,30,Right,Left,8,1,0,0,nan,nan,0.00
6/13/2023 17:21:56,1.17.0,20,80,4.16,nan,30,LeftDuringDispense,Left,8,1,0,0,nan,nan,0.50
6/13/2023 17:21:56,1.17.0,20,80,4.16,3,30,Pellet,Left,8,1,1,0,0.06,nan,nan
6/13/2023 17:22:25,1.17.0,20,80,4.16,nan,30,Right,Left,8,2,1,1,nan,nan,0.00
6/13/2023 17:22:29,1.17.0,20,80,4.16,nan,30,RightinTimeout,Left,8,2,1,1,nan,nan,0.05
6/13/2023 17:22:31,1.17.0,20,80,4.16,nan,30,RightinTimeout,Left,8,2,1,1,nan,nan,0.15
6/13/2023 17:22:44,1.17.0,20,80,4.16,nan,30,Left,Right,9,2,1,1,nan,nan,0.00
6/13/2023 17:22:48,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,9,2,1,1,nan,nan,nan
6/13/2023 17:22:53,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,9,2,1,1,nan,nan,0.20
6/13/2023 17:22:55,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,9,2,1,1,nan,nan,0.35
6/13/2023 17:23:08,1.17.0,20,80,4.16,nan,30,Right,Left,9,3,1,1,nan,nan,0.00
6/13/2023 17:23:29,1.17.0,20,80,4.16,nan,30,Left,Right,10,3,1,1,nan,nan,0.00
6/13/2023 17:23:40,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,10,3,1,1,nan,nan,0.26
6/13/2023 17:23:53,1.17.0,20,80,4.16,nan,30,Left,Right,11,3,1,1,nan,nan,0.00
6/13/2023 17:24:08,1.17.0,20,80,4.16,nan,30,Right,Left,11,4,1,1,nan,nan,0.00
6/13/2023 17:24:12,1.17.0,20,80,4.16,1,30,Pellet,Left,11,4,2,1,0.79,136,nan
6/13/2023 17:24:21,1.17.0,20,80,4.16,nan,30,Right,Left,11,5,2,2,nan,nan,0.00
6/13/2023 17:24:33,1.17.0,20,80,4.16,6,30,Pellet,Left,11,5,3,2,0.06,21,nan
6/13/2023 17:24:51,1.17.0,20,80,4.16,nan,30,Right,Left,11,6,3,3,nan,nan,0.16
6/13/2023 17:24:59,1.17.0,20,80,4.16,3,30,Pellet,Left,11,6,4,3,0.55,25,nan
6/13/2023 17:25:45,1.17.0,20,80,4.16,nan,30,Right,Left,11,7,4,4,nan,nan,0.00
6/13/2023 17:26:00,1.17.0,20,80,4.16,7,30,Pellet,Left,11,7,5,4,0.06,61,nan
