MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/12/2023 20:42:46,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.02
9/12/2023 20:43:43,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,1,1,0,0,nan,nan,0.35
9/12/2023 20:43:45,1.17.0,Bandit,0,4.16,nan,30,80,20,RightDuringDispense,Left,1,1,0,0,nan,nan,0.11
9/12/2023 20:43:55,1.17.0,Bandit,0,4.16,4,30,80,20,Pellet,Left,1,1,1,0,2.44,nan,nan
9/12/2023 20:44:13,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,1,2,1,1,nan,nan,0.11
9/12/2023 20:44:16,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,1,2,2,1,0.54,21,nan
9/12/2023 20:44:50,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,2,2,2,2,nan,nan,0.03
9/12/2023 20:44:52,1.17.0,Bandit,0,4.17,1,30,80,20,Pellet,Left,2,2,3,2,0.66,36,nan
9/12/2023 20:45:09,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,2,3,3,3,nan,nan,0.07
9/12/2023 20:45:27,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,2,4,3,3,nan,nan,0.13
9/12/2023 20:45:31,1.17.0,Bandit,0,4.17,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
9/12/2023 20:45:33,1.17.0,Bandit,0,4.17,nan,30,80,20,RightinTimeout,Left,2,4,3,3,nan,nan,0.00
9/12/2023 20:45:58,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,3,4,3,3,nan,nan,0.13
9/12/2023 20:46:00,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,3,4,4,3,0.42,68,nan
9/12/2023 20:46:15,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,4,4,4,4,nan,nan,0.05
9/12/2023 20:46:18,1.17.0,Bandit,0,4.17,1,30,80,20,Pellet,Left,4,4,5,4,0.42,18,nan
9/12/2023 20:46:31,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,4,5,5,5,nan,nan,0.06
9/12/2023 20:47:49,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,5,5,5,5,nan,nan,0.25
9/12/2023 20:47:52,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,5,5,6,5,0.42,94,nan
9/12/2023 20:48:12,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,5,6,6,6,nan,nan,0.09
9/12/2023 20:49:51,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,6,6,6,6,nan,nan,0.08
9/12/2023 20:49:54,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,6,6,7,6,0.78,122,nan
9/12/2023 20:50:11,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,7,6,7,7,nan,nan,0.02
9/12/2023 20:50:14,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,7,6,8,7,0.66,20,nan
9/12/2023 20:51:20,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,8,6,8,8,nan,nan,0.17
9/12/2023 20:51:23,1.17.0,Bandit,0,4.17,1,30,80,20,Pellet,Left,8,6,9,8,0.48,69,nan
9/12/2023 20:51:36,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,9,6,9,9,nan,nan,0.08
9/12/2023 20:51:39,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,9,6,10,9,0.42,16,nan
9/12/2023 20:51:53,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,10,6,10,10,nan,nan,0.09
9/12/2023 20:51:56,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,10,6,10,10,nan,nan,nan
9/12/2023 20:52:49,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,11,6,10,10,nan,nan,0.10
9/12/2023 20:52:51,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,11,6,11,10,0.42,72,nan
9/12/2023 20:53:09,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,12,6,11,11,nan,nan,0.11
9/12/2023 20:53:11,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,12,6,12,11,0.42,20,nan
9/12/2023 20:53:34,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,13,6,12,12,nan,nan,0.11
9/12/2023 20:53:36,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftDuringDispense,Left,13,6,12,12,nan,nan,0.07
9/12/2023 20:53:37,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,13,6,13,12,0.42,26,nan
9/12/2023 20:53:52,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,14,6,13,13,nan,nan,0.02
9/12/2023 20:53:58,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,14,6,13,13,nan,nan,nan
9/12/2023 20:54:33,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,14,7,13,13,nan,nan,0.04
9/12/2023 20:57:20,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,15,7,13,13,nan,nan,0.11
9/12/2023 20:57:23,1.17.0,Bandit,0,4.16,2,30,80,20,Pellet,Left,15,7,14,13,0.60,226,nan
9/12/2023 20:57:41,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,16,7,14,14,nan,nan,0.14
9/12/2023 20:57:43,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,16,7,15,14,0.42,20,nan
9/12/2023 20:58:05,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,17,7,15,15,nan,nan,0.09
9/12/2023 20:58:08,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,17,7,16,15,0.91,25,nan
9/12/2023 21:01:17,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,17,8,16,16,nan,nan,0.14
9/12/2023 21:01:39,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,18,8,16,16,nan,nan,0.06
9/12/2023 21:01:42,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,18,8,17,16,0.42,214,nan
9/12/2023 21:02:01,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,19,8,17,17,nan,nan,0.13
9/12/2023 21:02:04,1.17.0,Bandit,0,4.17,1,30,80,20,Pellet,Left,19,8,18,17,0.48,22,nan
9/12/2023 21:02:30,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,20,8,18,18,nan,nan,0.11
9/12/2023 21:02:34,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,20,8,18,18,nan,nan,0.00
9/12/2023 21:02:48,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,20,9,18,18,nan,nan,0.15
9/12/2023 21:02:50,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,20,9,19,18,0.66,46,nan
9/12/2023 21:03:12,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,20,10,19,19,nan,nan,0.08
9/12/2023 21:03:14,1.17.0,Bandit,0,4.16,2,30,80,20,Pellet,Left,20,10,20,19,0.42,24,nan
9/12/2023 21:03:31,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,20,11,20,20,nan,nan,0.09
9/12/2023 21:03:34,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,20,11,21,20,1.03,20,nan
9/12/2023 21:03:52,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,20,12,21,21,nan,nan,0.16
9/12/2023 21:06:16,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,21,12,21,21,nan,nan,0.24
9/12/2023 21:06:20,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,21,12,22,21,1.15,166,nan
9/12/2023 21:11:34,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,22,12,22,22,nan,nan,0.06
9/12/2023 21:11:37,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,22,12,23,22,1.03,317,nan
9/12/2023 21:11:52,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,23,12,23,23,nan,nan,0.15
9/12/2023 21:11:54,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,23,12,24,23,0.42,17,nan
9/12/2023 21:12:14,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,24,12,24,24,nan,nan,0.23
9/12/2023 21:21:43,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,24,13,24,24,nan,nan,0.06
9/12/2023 21:21:46,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,24,13,25,24,0.90,592,nan
9/12/2023 21:22:23,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,24,14,25,25,nan,nan,0.18
9/12/2023 21:39:57,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,25,14,25,25,nan,nan,0.20
9/12/2023 21:40:01,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,25,14,26,25,1.09,1094,nan
9/12/2023 21:40:19,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,26,14,26,26,nan,nan,0.03
9/12/2023 21:40:22,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,26,14,27,26,0.78,22,nan
9/12/2023 21:40:43,1.17.0,Bandit,0,4.15,nan,30,80,20,Left,Left,27,14,27,27,nan,nan,0.11
9/12/2023 21:40:46,1.17.0,Bandit,0,4.15,1,30,80,20,Pellet,Left,27,14,28,27,0.42,24,nan
9/12/2023 21:41:06,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,28,14,28,28,nan,nan,0.07
9/12/2023 21:41:08,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,28,14,29,28,0.42,22,nan
9/12/2023 21:41:38,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,29,14,29,29,nan,nan,0.18
9/12/2023 21:41:41,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,29,14,30,29,0.42,33,nan
9/12/2023 21:42:00,1.17.0,Bandit,0,4.16,nan,30,20,80,Left,Right,30,14,30,0,nan,nan,0.03
9/12/2023 21:43:42,1.17.0,Bandit,0,4.16,nan,30,20,80,Right,Right,30,15,30,0,nan,nan,0.14
9/12/2023 21:43:45,1.17.0,Bandit,0,4.15,1,30,20,80,Pellet,Right,30,15,31,0,0.42,124,nan
9/12/2023 21:45:49,1.17.0,Bandit,0,4.16,nan,30,20,80,Right,Right,30,16,31,1,nan,nan,0.12
9/12/2023 21:45:52,1.17.0,Bandit,0,4.15,1,30,20,80,Pellet,Right,30,16,32,1,1.21,127,nan
9/12/2023 21:46:10,1.17.0,Bandit,0,4.16,nan,30,20,80,Right,Right,30,17,32,2,nan,nan,0.07
9/12/2023 21:46:13,1.17.0,Bandit,0,4.16,1,30,20,80,Pellet,Right,30,17,33,2,0.42,20,nan
9/12/2023 21:46:31,1.17.0,Bandit,0,4.16,nan,30,20,80,Right,Right,30,18,33,3,nan,nan,0.19
9/12/2023 21:47:03,1.17.0,Bandit,0,4.16,nan,30,20,80,Left,Right,31,18,33,3,nan,nan,0.08
9/12/2023 22:05:56,1.17.0,Bandit,0,4.15,nan,30,20,80,Left,Right,32,18,33,3,nan,nan,0.24
9/12/2023 22:06:01,1.17.0,Bandit,0,4.15,3,30,20,80,Pellet,Right,32,18,34,3,0.42,1189,nan
9/12/2023 22:06:28,1.17.0,Bandit,0,4.15,nan,30,20,80,Left,Right,33,18,34,4,nan,nan,0.50
9/12/2023 22:06:50,1.17.0,Bandit,0,4.15,nan,30,20,80,Left,Right,34,18,34,4,nan,nan,0.37
9/12/2023 22:06:55,1.17.0,Bandit,0,4.14,nan,30,20,80,LeftinTimeOut,Right,34,18,34,4,nan,nan,nan
9/12/2023 22:06:58,1.17.0,Bandit,0,4.15,nan,30,20,80,LeftinTimeOut,Right,34,18,34,4,nan,nan,nan
9/12/2023 22:06:59,1.17.0,Bandit,0,4.16,nan,30,20,80,LeftinTimeOut,Right,34,18,34,4,nan,nan,nan
9/12/2023 22:07:06,1.17.0,Bandit,0,4.15,nan,30,20,80,RightinTimeout,Right,34,18,34,4,nan,nan,0.00
9/12/2023 22:07:06,1.17.0,Bandit,0,4.15,nan,30,20,80,RightinTimeout,Right,34,18,34,4,nan,nan,0.00
9/12/2023 22:07:13,1.17.0,Bandit,0,4.15,nan,30,20,80,RightinTimeout,Right,34,18,34,4,nan,nan,0.00
9/12/2023 22:07:18,1.17.0,Bandit,0,4.15,nan,30,20,80,RightinTimeout,Right,34,18,34,4,nan,nan,0.00
9/12/2023 22:07:18,1.17.0,Bandit,0,4.16,nan,30,20,80,RightinTimeout,Right,34,18,34,4,nan,nan,0.00
9/12/2023 22:07:27,1.17.0,Bandit,0,4.15,nan,30,20,80,RightinTimeout,Right,34,18,34,4,nan,nan,0.00
9/12/2023 22:07:28,1.17.0,Bandit,0,4.15,nan,30,20,80,RightinTimeout,Right,34,18,34,4,nan,nan,0.00
