MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2023 18:52:31,1.17.0,Bandit,0,4.12,nan,30,20,80,Right,Right,0,1,0,0,nan,nan,0.00
9/18/2023 18:52:38,1.17.0,Bandit,0,4.12,3,30,20,80,Pellet,Right,0,1,1,0,0.69,nan,nan
9/18/2023 18:53:04,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,1,1,1,1,nan,nan,0.08
9/18/2023 18:53:20,1.17.0,Bandit,0,4.12,nan,30,20,80,Right,Right,1,2,1,1,nan,nan,0.00
9/18/2023 18:53:23,1.17.0,Bandit,0,4.12,1,30,20,80,Pellet,Right,1,2,2,1,0.37,45,nan
9/18/2023 18:53:32,1.17.0,Bandit,0,4.12,nan,30,20,80,Right,Right,1,3,2,2,nan,nan,0.00
9/18/2023 18:53:36,1.17.0,Bandit,0,4.12,2,30,20,80,Pellet,Right,1,3,3,2,0.06,13,nan
9/18/2023 18:53:44,1.17.0,Bandit,0,4.11,nan,30,20,80,Right,Right,1,4,3,3,nan,nan,0.00
9/18/2023 18:53:46,1.17.0,Bandit,0,4.11,1,30,20,80,Pellet,Right,1,4,4,3,0.37,10,nan
9/18/2023 18:54:08,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,2,4,4,4,nan,nan,0.00
9/18/2023 18:54:32,1.17.0,Bandit,0,4.10,nan,30,20,80,Left,Right,3,4,4,4,nan,nan,0.00
9/18/2023 18:54:34,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,3,4,4,4,nan,nan,nan
9/18/2023 18:54:36,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,3,4,4,4,nan,nan,nan
9/18/2023 18:54:38,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,3,4,4,4,nan,nan,0.00
9/18/2023 18:54:47,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,3,4,4,4,nan,nan,0.00
9/18/2023 18:55:09,1.17.0,Bandit,0,4.12,nan,30,20,80,Right,Right,3,5,4,4,nan,nan,0.00
9/18/2023 18:55:11,1.17.0,Bandit,0,4.12,1,30,20,80,Pellet,Right,3,5,5,4,0.19,85,nan
9/18/2023 18:55:42,1.17.0,Bandit,0,4.12,nan,30,20,80,Right,Right,3,6,5,5,nan,nan,0.00
9/18/2023 18:55:45,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,3,6,5,5,nan,nan,0.00
9/18/2023 18:55:47,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,3,6,5,5,nan,nan,0.00
9/18/2023 18:57:46,1.17.0,Bandit,0,4.10,nan,30,20,80,Left,Right,4,6,5,5,nan,nan,0.00
9/18/2023 18:57:49,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,4,6,5,5,nan,nan,nan
9/18/2023 18:59:08,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,5,6,5,5,nan,nan,0.04
9/18/2023 18:59:11,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,5,6,5,5,nan,nan,nan
9/18/2023 18:59:35,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,6,6,5,5,nan,nan,0.05
9/18/2023 18:59:38,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,6,6,5,5,nan,nan,nan
9/18/2023 18:59:40,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,6,6,5,5,nan,nan,nan
9/18/2023 18:59:43,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,6,6,5,5,nan,nan,0.00
9/18/2023 18:59:48,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,6,6,5,5,nan,nan,0.00
9/18/2023 18:59:52,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,6,6,5,5,nan,nan,0.00
9/18/2023 18:59:57,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,6,6,5,5,nan,nan,nan
9/18/2023 19:00:09,1.17.0,Bandit,0,4.11,nan,30,20,80,Left,Right,7,6,5,5,nan,nan,0.00
9/18/2023 19:00:12,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,6,5,5,nan,nan,nan
9/18/2023 19:00:13,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,7,6,5,5,nan,nan,nan
9/18/2023 19:00:20,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,6,5,5,nan,nan,0.00
9/18/2023 19:00:22,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,6,5,5,nan,nan,nan
9/18/2023 19:00:27,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,6,5,5,nan,nan,0.00
9/18/2023 19:00:31,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,6,5,5,nan,nan,0.00
9/18/2023 19:00:34,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,6,5,5,nan,nan,0.00
9/18/2023 19:00:36,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,6,5,5,nan,nan,0.00
9/18/2023 19:00:39,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,6,5,5,nan,nan,0.00
9/18/2023 19:01:08,1.17.0,Bandit,0,4.12,nan,30,20,80,Right,Right,7,7,5,5,nan,nan,0.00
9/18/2023 19:01:11,1.17.0,Bandit,0,4.10,nan,30,20,80,RightinTimeout,Right,7,7,5,5,nan,nan,0.00
9/18/2023 19:01:13,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,7,5,5,nan,nan,0.00
9/18/2023 19:01:16,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:01:25,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:01:35,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:01:35,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:01:41,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,7,5,5,nan,nan,0.00
9/18/2023 19:01:47,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:01:52,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:01:54,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:01:57,1.17.0,Bandit,0,4.11,nan,30,20,80,RightinTimeout,Right,7,7,5,5,nan,nan,0.00
9/18/2023 19:02:01,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:02:04,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:02:07,1.17.0,Bandit,0,4.11,nan,30,20,80,RightinTimeout,Right,7,7,5,5,nan,nan,0.00
9/18/2023 19:02:11,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,7,7,5,5,nan,nan,0.00
9/18/2023 19:02:14,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:02:19,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,7,7,5,5,nan,nan,nan
9/18/2023 19:02:31,1.17.0,Bandit,0,4.11,nan,30,20,80,Left,Right,8,7,5,5,nan,nan,0.00
9/18/2023 19:02:33,1.17.0,Bandit,0,4.12,1,30,20,80,Pellet,Right,8,7,6,5,0.19,442,nan
9/18/2023 19:02:50,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,9,7,6,6,nan,nan,0.02
9/18/2023 19:02:53,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,9,7,6,6,nan,nan,nan
9/18/2023 19:02:55,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,9,7,6,6,nan,nan,nan
9/18/2023 19:02:55,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,9,7,6,6,nan,nan,nan
9/18/2023 19:02:57,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,9,7,6,6,nan,nan,nan
9/18/2023 19:03:09,1.17.0,Bandit,0,4.11,nan,30,20,80,Right,Right,9,8,6,6,nan,nan,0.00
9/18/2023 19:03:11,1.17.0,Bandit,0,4.11,1,30,20,80,Pellet,Right,9,8,7,6,0.31,38,nan
9/18/2023 19:03:28,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,10,8,7,7,nan,nan,0.00
9/18/2023 19:03:31,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,10,8,7,7,nan,nan,nan
9/18/2023 19:03:36,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,10,8,7,7,nan,nan,nan
9/18/2023 19:03:42,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,10,8,7,7,nan,nan,0.00
9/18/2023 19:03:47,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,10,8,7,7,nan,nan,nan
9/18/2023 19:04:32,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,11,8,7,7,nan,nan,0.05
9/18/2023 19:04:51,1.17.0,Bandit,0,4.11,nan,30,20,80,Left,Right,12,8,7,7,nan,nan,0.02
9/18/2023 19:04:58,1.17.0,Bandit,0,4.11,nan,30,20,80,RightinTimeout,Right,12,8,7,7,nan,nan,0.00
9/18/2023 19:05:02,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,12,8,7,7,nan,nan,nan
9/18/2023 19:05:06,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,12,8,7,7,nan,nan,0.00
9/18/2023 19:05:13,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,12,8,7,7,nan,nan,0.00
9/18/2023 19:05:14,1.17.0,Bandit,0,4.11,nan,30,20,80,RightinTimeout,Right,12,8,7,7,nan,nan,0.00
9/18/2023 19:05:15,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,12,8,7,7,nan,nan,nan
9/18/2023 19:05:33,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,13,8,7,7,nan,nan,0.00
9/18/2023 19:05:36,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,13,8,7,7,nan,nan,nan
9/18/2023 19:05:38,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,13,8,7,7,nan,nan,nan
9/18/2023 19:05:43,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,13,8,7,7,nan,nan,0.00
9/18/2023 19:05:45,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,13,8,7,7,nan,nan,nan
9/18/2023 19:05:57,1.17.0,Bandit,0,4.10,nan,30,20,80,Left,Right,14,8,7,7,nan,nan,0.00
9/18/2023 19:06:07,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,14,8,7,7,nan,nan,nan
9/18/2023 19:06:15,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,14,8,7,7,nan,nan,nan
9/18/2023 19:06:33,1.17.0,Bandit,0,4.11,nan,30,20,80,Left,Right,15,8,7,7,nan,nan,0.01
9/18/2023 19:06:36,1.17.0,Bandit,0,4.12,nan,30,20,80,LeftinTimeOut,Right,15,8,7,7,nan,nan,nan
9/18/2023 19:06:39,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,15,8,7,7,nan,nan,0.00
9/18/2023 19:06:51,1.17.0,Bandit,0,4.12,nan,30,20,80,Left,Right,16,8,7,7,nan,nan,0.00
9/18/2023 19:07:58,1.17.0,Bandit,0,4.11,nan,30,20,80,Left,Right,17,8,7,7,nan,nan,0.00
9/18/2023 19:08:01,1.17.0,Bandit,0,4.11,nan,30,20,80,LeftinTimeOut,Right,17,8,7,7,nan,nan,nan
9/18/2023 19:08:09,1.17.0,Bandit,0,4.12,nan,30,20,80,RightinTimeout,Right,17,8,7,7,nan,nan,0.00
