MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/1/2023 19:08:59,1.17.0,20,80,3.89,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
6/1/2023 19:09:12,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,1,0,0,0,nan,nan,0.06
6/1/2023 19:09:18,1.17.0,20,80,3.90,nan,30,LeftinTimeOut,Right,1,0,0,0,nan,nan,nan
6/1/2023 19:09:48,1.17.0,20,80,3.89,nan,30,Left,Right,2,0,0,0,nan,nan,0.00
6/1/2023 19:09:53,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.17
6/1/2023 19:09:57,1.17.0,20,80,3.89,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
6/1/2023 19:10:00,1.17.0,20,80,3.89,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
6/1/2023 19:10:05,1.17.0,20,80,3.89,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
6/1/2023 19:10:06,1.17.0,20,80,3.89,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
6/1/2023 19:10:06,1.17.0,20,80,3.89,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
6/1/2023 19:10:09,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.07
6/1/2023 19:10:10,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.29
6/1/2023 19:10:12,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.29
6/1/2023 19:10:12,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.23
6/1/2023 19:10:13,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.22
6/1/2023 19:10:15,1.17.0,20,80,3.89,nan,30,LeftinTimeOut,Right,2,0,0,0,nan,nan,nan
6/1/2023 19:10:18,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.36
6/1/2023 19:10:24,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.11
6/1/2023 19:10:36,1.17.0,20,80,3.89,nan,30,Left,Right,3,0,0,0,nan,nan,0.10
6/1/2023 19:10:39,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,3,0,0,0,nan,nan,0.12
6/1/2023 19:10:40,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,3,0,0,0,nan,nan,0.28
6/1/2023 19:11:04,1.17.0,20,80,3.89,nan,30,Right,Left,3,1,0,0,nan,nan,0.00
6/1/2023 19:11:10,1.17.0,20,80,3.89,3,30,Pellet,Left,3,1,1,0,0.18,nan,nan
