MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/13/2024 20:56:38,1.17.0,Bandit,0,4.02,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.04
11/13/2024 20:56:57,1.17.0,Bandit,0,4.02,4,30,80,20,Pellet,Left,1,0,1,0,9.16,nan,nan
11/13/2024 20:57:49,1.17.0,Bandit,0,4.02,nan,30,80,20,Right,Left,1,1,1,1,nan,nan,0.19
11/13/2024 20:59:15,1.17.0,Bandit,0,4.02,nan,30,80,20,Right,Left,1,2,1,1,nan,nan,0.24
11/13/2024 20:59:20,1.17.0,Bandit,0,4.02,1,30,80,20,Pellet,Left,1,2,2,1,1.25,144,nan
11/13/2024 21:00:15,1.17.0,Bandit,0,4.02,nan,30,80,20,Left,Left,2,2,2,2,nan,nan,0.29
11/13/2024 21:00:20,1.17.0,Bandit,0,4.02,1,30,80,20,Pellet,Left,2,2,3,2,0.95,60,nan
11/13/2024 21:01:03,1.17.0,Bandit,0,4.02,nan,30,80,20,Left,Left,3,2,3,3,nan,nan,0.16
11/13/2024 21:02:43,1.17.0,Bandit,0,4.02,nan,30,80,20,Left,Left,4,2,3,3,nan,nan,0.17
11/13/2024 21:02:47,1.17.0,Bandit,0,4.02,1,30,80,20,Pellet,Left,4,2,4,3,0.82,147,nan
11/13/2024 21:05:06,1.17.0,Bandit,0,4.02,nan,30,80,20,Left,Left,5,2,4,4,nan,nan,0.09
11/13/2024 21:05:12,1.17.0,Bandit,0,4.02,1,30,80,20,Pellet,Left,5,2,5,4,2.35,144,nan
11/13/2024 21:05:34,1.17.0,Bandit,0,4.02,nan,30,80,20,Left,Left,6,2,5,5,nan,nan,0.11
