MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/9/2025 17:12:19,1.17.0,Bandit,3,4.00,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.09
1/9/2025 17:12:30,1.17.0,Bandit,3,4.04,3,30,80,20,Pellet,Left,1,0,1,0,4.13,nan,nan
1/9/2025 17:13:32,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,2,0,1,1,nan,nan,0.10
1/9/2025 17:13:35,1.17.0,Bandit,3,4.04,1,30,80,20,Pellet,Left,2,0,2,1,0.52,65,nan
1/9/2025 17:14:15,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,3,0,2,2,nan,nan,0.10
1/9/2025 17:14:19,1.17.0,Bandit,3,4.05,nan,30,80,20,LeftinTimeOut,Left,3,0,2,2,nan,nan,nan
1/9/2025 17:14:33,1.17.0,Bandit,3,4.05,nan,30,80,20,Right,Left,3,1,2,2,nan,nan,0.50
1/9/2025 17:14:40,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,3,1,2,2,nan,nan,nan
1/9/2025 17:14:49,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,3,1,2,2,nan,nan,nan
1/9/2025 17:14:51,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,3,1,2,2,nan,nan,nan
1/9/2025 17:14:53,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,3,1,2,2,nan,nan,nan
1/9/2025 17:14:54,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,3,1,2,2,nan,nan,nan
1/9/2025 17:14:54,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,3,1,2,2,nan,nan,nan
1/9/2025 17:15:00,1.17.0,Bandit,3,4.05,nan,30,80,20,RightinTimeout,Left,3,1,2,2,nan,nan,0.00
1/9/2025 17:15:15,1.17.0,Bandit,3,4.03,nan,30,80,20,Right,Left,3,2,2,2,nan,nan,0.53
1/9/2025 17:15:17,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,3,2,2,2,nan,nan,0.00
1/9/2025 17:15:32,1.17.0,Bandit,3,4.05,nan,30,80,20,Left,Left,4,2,2,2,nan,nan,0.27
1/9/2025 17:15:36,1.17.0,Bandit,3,4.03,1,30,80,20,Pellet,Left,4,2,3,2,0.46,121,nan
1/9/2025 17:15:58,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,5,2,3,3,nan,nan,0.14
1/9/2025 17:16:04,1.17.0,Bandit,3,4.03,2,30,80,20,Pellet,Left,5,2,4,3,0.52,28,nan
1/9/2025 17:16:19,1.17.0,Bandit,3,4.03,nan,30,80,20,Left,Left,6,2,4,4,nan,nan,0.22
1/9/2025 17:16:23,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
1/9/2025 17:16:27,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
1/9/2025 17:16:32,1.17.0,Bandit,3,4.05,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
1/9/2025 17:16:33,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
1/9/2025 17:16:36,1.17.0,Bandit,3,4.05,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
1/9/2025 17:16:38,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
1/9/2025 17:16:40,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,6,2,4,4,nan,nan,0.00
1/9/2025 17:16:51,1.17.0,Bandit,3,4.04,nan,30,80,20,Right,Left,6,3,4,4,nan,nan,0.11
1/9/2025 17:16:54,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,6,3,4,4,nan,nan,0.00
1/9/2025 17:16:54,1.17.0,Bandit,3,4.05,nan,30,80,20,RightinTimeout,Left,6,3,4,4,nan,nan,0.00
1/9/2025 17:17:00,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,3,4,4,nan,nan,nan
1/9/2025 17:17:03,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,3,4,4,nan,nan,nan
1/9/2025 17:17:05,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,3,4,4,nan,nan,nan
1/9/2025 17:17:09,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,3,4,4,nan,nan,nan
1/9/2025 17:17:14,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,3,4,4,nan,nan,nan
1/9/2025 17:17:15,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,3,4,4,nan,nan,nan
1/9/2025 17:17:36,1.17.0,Bandit,3,4.03,nan,30,80,20,Right,Left,6,4,4,4,nan,nan,0.10
1/9/2025 17:17:37,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,6,4,4,4,nan,nan,0.00
1/9/2025 17:17:39,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,6,4,4,4,nan,nan,0.00
1/9/2025 17:17:39,1.17.0,Bandit,3,4.05,nan,30,80,20,RightinTimeout,Left,6,4,4,4,nan,nan,0.00
1/9/2025 17:17:42,1.17.0,Bandit,3,4.05,nan,30,80,20,LeftinTimeOut,Left,6,4,4,4,nan,nan,nan
1/9/2025 17:17:45,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,6,4,4,4,nan,nan,nan
1/9/2025 17:17:47,1.17.0,Bandit,3,4.05,nan,30,80,20,LeftinTimeOut,Left,6,4,4,4,nan,nan,nan
1/9/2025 17:17:51,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,6,4,4,4,nan,nan,0.00
1/9/2025 17:17:52,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,6,4,4,4,nan,nan,0.00
1/9/2025 17:17:57,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,6,4,4,4,nan,nan,0.00
1/9/2025 17:18:00,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,6,4,4,4,nan,nan,0.00
1/9/2025 17:18:00,1.17.0,Bandit,3,4.03,nan,30,80,20,RightinTimeout,Left,6,4,4,4,nan,nan,0.00
1/9/2025 17:18:16,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,7,4,4,4,nan,nan,0.20
1/9/2025 17:18:28,1.17.0,Bandit,3,4.05,2,30,80,20,Pellet,Left,7,4,5,4,7.44,144,nan
1/9/2025 17:18:50,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,8,4,5,5,nan,nan,0.24
1/9/2025 17:18:54,1.17.0,Bandit,3,4.04,1,30,80,20,Pellet,Left,8,4,6,5,0.46,26,nan
1/9/2025 17:19:11,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,9,4,6,6,nan,nan,0.02
1/9/2025 17:19:15,1.17.0,Bandit,3,4.03,1,30,80,20,Pellet,Left,9,4,7,6,0.46,21,nan
1/9/2025 17:19:30,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,10,4,7,7,nan,nan,0.05
1/9/2025 17:19:32,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:19:33,1.17.0,Bandit,3,4.03,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:19:38,1.17.0,Bandit,3,4.05,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:19:45,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:19:49,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:19:50,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:19:52,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:19:58,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:19:59,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:20:02,1.17.0,Bandit,3,4.03,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:20:03,1.17.0,Bandit,3,4.05,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:20:07,1.17.0,Bandit,3,4.03,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:20:11,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,10,4,7,7,nan,nan,0.00
1/9/2025 17:20:14,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,10,4,7,7,nan,nan,0.00
1/9/2025 17:20:17,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,10,4,7,7,nan,nan,0.00
1/9/2025 17:20:22,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:20:25,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:20:30,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:20:31,1.17.0,Bandit,3,4.04,nan,30,80,20,LeftinTimeOut,Left,10,4,7,7,nan,nan,nan
1/9/2025 17:20:32,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,10,4,7,7,nan,nan,0.00
1/9/2025 17:20:34,1.17.0,Bandit,3,4.03,nan,30,80,20,RightinTimeout,Left,10,4,7,7,nan,nan,0.00
1/9/2025 17:20:36,1.17.0,Bandit,3,4.04,nan,30,80,20,RightinTimeout,Left,10,4,7,7,nan,nan,0.00
1/9/2025 17:20:56,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,11,4,7,7,nan,nan,0.09
1/9/2025 17:21:08,1.17.0,Bandit,3,4.05,2,30,80,20,Pellet,Left,11,4,8,7,7.13,113,nan
1/9/2025 17:21:34,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,12,4,8,8,nan,nan,0.07
1/9/2025 17:21:38,1.17.0,Bandit,3,4.05,1,30,80,20,Pellet,Left,12,4,9,8,0.46,30,nan
1/9/2025 17:21:41,1.17.0,Bandit,3,4.03,nan,30,80,20,Left,Left,13,4,9,9,nan,nan,0.30
1/9/2025 17:21:45,1.17.0,Bandit,3,4.04,1,30,80,20,Pellet,Left,13,4,10,9,0.46,6,nan
1/9/2025 17:22:05,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,14,4,10,10,nan,nan,0.10
1/9/2025 17:22:20,1.17.0,Bandit,3,4.04,2,30,80,20,Pellet,Left,14,4,11,10,9.04,35,nan
1/9/2025 17:22:42,1.17.0,Bandit,3,4.04,nan,30,80,20,Left,Left,15,4,11,11,nan,nan,0.07
1/9/2025 17:22:45,1.17.0,Bandit,3,4.04,1,30,80,20,Pellet,Left,15,4,12,11,0.46,26,nan
1/9/2025 17:23:03,1.17.0,Bandit,3,4.02,nan,30,80,20,Left,Left,16,4,12,12,nan,nan,0.30
