MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/27/2023 19:36:08,1.17.0,20,80,4.16,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
2/27/2023 19:36:16,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,1,0,0,0,nan,nan,0.07
2/27/2023 19:36:25,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,1,0,0,0,nan,nan,0.10
2/27/2023 19:36:52,1.17.0,20,80,4.14,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
2/27/2023 19:37:14,1.17.0,20,80,4.16,nan,30,Right,Left,1,2,0,0,nan,nan,0.00
2/27/2023 19:37:22,1.17.0,20,80,4.14,3,30,Pellet,Left,1,2,1,0,1.01,nan,nan
2/27/2023 19:37:50,1.17.0,20,80,4.16,nan,30,Right,Left,1,3,1,1,nan,nan,0.00
2/27/2023 19:37:53,1.17.0,20,80,4.16,2,30,Pellet,Left,1,3,2,1,0.06,31,nan
2/27/2023 19:38:20,1.17.0,20,80,4.16,nan,30,Left,Right,2,3,2,2,nan,nan,0.34
2/27/2023 19:38:56,1.17.0,20,80,4.16,nan,30,Right,Left,2,4,2,2,nan,nan,0.00
2/27/2023 20:44:06,1.17.0,20,80,4.15,2,30,Pellet,Left,2,4,3,2,Timed_out,3973,nan
2/27/2023 20:46:01,1.17.0,20,80,4.15,nan,30,Left,Right,3,4,3,3,nan,nan,0.00
2/27/2023 20:46:21,1.17.0,20,80,4.15,nan,30,Right,Left,3,5,3,3,nan,nan,0.00
2/27/2023 20:46:26,1.17.0,20,80,4.15,nan,30,LeftDuringDispense,Left,3,5,3,3,nan,nan,0.05
2/27/2023 20:46:26,1.17.0,20,80,4.15,nan,30,LeftDuringDispense,Left,3,5,3,3,nan,nan,0.09
2/27/2023 20:46:40,1.17.0,20,80,4.15,3,30,Pellet,Left,3,5,4,3,10.34,154,nan
2/27/2023 20:47:57,1.17.0,20,80,4.14,nan,30,Right,Left,3,6,4,4,nan,nan,0.00
2/27/2023 20:48:06,1.17.0,20,80,4.15,1,30,Pellet,Left,3,6,5,4,5.95,86,nan
2/27/2023 20:49:52,1.17.0,20,80,4.15,nan,30,Left,Right,4,6,5,5,nan,nan,0.00
2/27/2023 20:50:39,1.17.0,20,80,4.15,nan,30,Right,Left,4,7,5,5,nan,nan,0.00
2/27/2023 20:51:30,1.17.0,20,80,4.15,nan,30,Right,Left,4,8,5,5,nan,nan,0.00
2/27/2023 20:51:44,1.17.0,20,80,4.15,1,30,Pellet,Left,4,8,6,5,11.42,218,nan
2/27/2023 20:53:20,1.17.0,20,80,4.14,nan,30,Right,Left,4,9,6,6,nan,nan,0.00
2/27/2023 20:53:32,1.17.0,20,80,4.14,1,30,Pellet,Left,4,9,7,6,9.19,108,nan
2/27/2023 20:53:35,1.17.0,20,80,4.15,nan,30,Right,Left,4,10,7,7,nan,nan,0.00
2/27/2023 20:53:39,1.17.0,20,80,4.14,1,30,Pellet,Left,4,10,8,7,0.88,7,nan
2/27/2023 20:55:24,1.17.0,20,80,4.15,nan,30,Left,Right,5,10,8,8,nan,nan,0.03
2/27/2023 20:55:35,1.17.0,20,80,4.14,nan,30,LeftinTimeOut,Right,5,10,8,8,nan,nan,nan
2/27/2023 20:56:02,1.17.0,20,80,4.15,nan,30,Left,Right,6,10,8,8,nan,nan,0.00
2/27/2023 20:56:13,1.17.0,20,80,4.15,nan,30,LeftinTimeOut,Right,6,10,8,8,nan,nan,nan
2/27/2023 20:56:26,1.17.0,20,80,4.15,nan,30,Left,Right,7,10,8,8,nan,nan,0.00
2/27/2023 20:56:28,1.17.0,20,80,4.16,nan,30,RightDuringDispense,Right,7,10,8,8,nan,nan,0.13
2/27/2023 20:56:33,1.17.0,20,80,4.15,2,30,Pellet,Right,7,10,9,8,1.77,174,nan
2/27/2023 20:57:23,1.17.0,20,80,4.15,nan,30,Right,Left,7,11,9,9,nan,nan,0.00
2/27/2023 20:57:37,1.17.0,20,80,4.15,1,30,Pellet,Left,7,11,10,9,11.29,64,nan
2/27/2023 20:58:10,1.17.0,20,80,4.15,nan,30,Left,Right,8,11,10,10,nan,nan,0.00
2/27/2023 20:58:21,1.17.0,20,80,4.16,1,30,Pellet,Right,8,11,11,10,8.24,44,nan
2/27/2023 20:59:19,1.17.0,20,80,4.15,nan,30,Right,Left,8,12,11,11,nan,nan,0.00
2/27/2023 20:59:42,1.17.0,20,80,4.15,2,30,Pellet,Left,8,12,12,11,17.28,81,nan
2/27/2023 21:00:25,1.17.0,20,80,4.15,nan,30,Left,Right,9,12,12,12,nan,nan,0.00
2/27/2023 21:00:41,1.17.0,20,80,4.15,nan,30,Right,Left,9,13,12,12,nan,nan,0.00
2/27/2023 21:00:49,1.17.0,20,80,4.15,3,30,Pellet,Left,9,13,13,12,0.75,67,nan
2/27/2023 21:01:05,1.17.0,20,80,4.14,nan,30,Left,Right,10,13,13,13,nan,nan,0.00
2/27/2023 21:01:18,1.17.0,20,80,4.15,nan,30,RightinTimeout,Right,10,13,13,13,nan,nan,0.40
2/27/2023 21:01:43,1.17.0,20,80,4.15,nan,30,Left,Right,11,13,13,13,nan,nan,0.00
2/27/2023 21:02:01,1.17.0,20,80,4.14,nan,30,Right,Left,11,14,13,13,nan,nan,0.00
2/27/2023 21:02:07,1.17.0,20,80,4.14,1,30,Pellet,Left,11,14,14,13,3.04,78,nan
2/27/2023 21:03:03,1.17.0,20,80,4.15,nan,30,Right,Left,11,15,14,14,nan,nan,0.00
2/27/2023 21:03:13,1.17.0,20,80,4.15,2,30,Pellet,Left,11,15,15,14,7.11,66,nan
2/27/2023 21:03:57,1.17.0,20,80,4.15,nan,30,Right,Left,11,16,15,15,nan,nan,0.00
2/27/2023 21:04:13,1.17.0,20,80,4.14,nan,30,Right,Left,11,17,15,15,nan,nan,0.00
2/27/2023 21:04:20,1.17.0,20,80,4.15,1,30,Pellet,Left,11,17,16,15,3.35,66,nan
2/27/2023 21:04:25,1.17.0,20,80,4.14,nan,30,Left,Right,12,17,16,16,nan,nan,0.00
2/27/2023 21:04:28,1.17.0,20,80,4.15,1,30,Pellet,Right,12,17,17,16,0.06,9,nan
2/27/2023 21:04:56,1.17.0,20,80,4.15,nan,30,Right,Left,12,18,17,17,nan,nan,0.00
2/27/2023 21:05:01,1.17.0,20,80,4.15,1,30,Pellet,Left,12,18,18,17,1.32,33,nan
2/27/2023 21:05:41,1.17.0,20,80,4.14,nan,30,Left,Right,13,18,18,18,nan,nan,0.00
