MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/17/2023 11:36:37,1.17.0,20,80,4.18,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
2/17/2023 11:36:45,1.17.0,20,80,4.18,4,30,Pellet,Left,0,1,1,0,0.50,nan,nan
2/17/2023 11:37:18,1.17.0,20,80,4.18,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
2/17/2023 11:37:24,1.17.0,20,80,4.18,2,30,Pellet,Left,0,2,2,1,0.50,39,nan
2/17/2023 11:37:27,1.17.0,20,80,4.18,nan,30,Left,Right,1,2,2,2,nan,nan,0.09
2/17/2023 11:44:14,1.17.0,20,80,4.18,nan,30,Right,Left,1,3,2,2,nan,nan,0.00
2/17/2023 11:44:18,1.17.0,20,80,4.18,1,30,Pellet,Left,1,3,3,2,0.63,414,nan
2/17/2023 11:46:59,1.17.0,20,80,4.18,nan,30,Right,Left,1,4,3,3,nan,nan,0.00
2/17/2023 11:47:02,1.17.0,20,80,4.18,1,30,Pellet,Left,1,4,4,3,0.25,164,nan
2/17/2023 11:50:12,1.17.0,20,80,4.18,nan,30,Left,Right,2,4,4,4,nan,nan,0.00
2/17/2023 13:12:53,1.17.0,20,80,4.16,nan,30,Left,Right,3,4,4,4,nan,nan,0.00
2/17/2023 13:13:00,1.17.0,20,80,4.17,nan,30,LeftinTimeOut,Right,3,4,4,4,nan,nan,nan
2/17/2023 13:13:06,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,0.14
2/17/2023 13:13:09,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,0.17
2/17/2023 13:13:19,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,0.26
2/17/2023 13:13:20,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,1.10
2/17/2023 13:13:26,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,0.37
2/17/2023 13:13:27,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,0.21
2/17/2023 13:13:28,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,0.74
2/17/2023 13:13:37,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,3,4,4,4,nan,nan,nan
2/17/2023 13:13:46,1.17.0,20,80,4.17,nan,30,RightinTimeout,Right,3,4,4,4,nan,nan,0.05
2/17/2023 13:13:58,1.17.0,20,80,4.16,nan,30,Right,Left,3,5,4,4,nan,nan,0.00
2/17/2023 13:14:02,1.17.0,20,80,4.16,1,30,Pellet,Left,3,5,5,4,0.31,5220,nan
2/17/2023 13:14:42,1.17.0,20,80,4.16,nan,30,Right,Left,3,6,5,5,nan,nan,0.00
2/17/2023 13:14:48,1.17.0,20,80,4.16,nan,30,RightinTimeout,Left,3,6,5,5,nan,nan,0.14
