MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/17/2023 12:57:04,1.17.0,20,80,4.14,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
2/17/2023 12:57:16,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,1,0,0,0,nan,nan,0.41
2/17/2023 12:57:20,1.17.0,20,80,4.14,nan,30,LeftinTimeOut,Right,1,0,0,0,nan,nan,nan
2/17/2023 12:58:01,1.17.0,20,80,4.14,nan,30,Left,Right,2,0,0,0,nan,nan,0.00
2/17/2023 12:58:13,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.08
2/17/2023 12:58:18,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.10
2/17/2023 12:58:25,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,2,0,0,0,nan,nan,0.41
2/17/2023 12:58:48,1.17.0,20,80,4.14,nan,30,Left,Right,3,0,0,0,nan,nan,0.00
2/17/2023 12:59:54,1.17.0,20,80,4.14,nan,30,Left,Right,4,0,0,0,nan,nan,0.00
2/17/2023 13:00:14,1.17.0,20,80,4.14,4,30,Pellet,Right,4,0,1,0,12.11,nan,nan
2/17/2023 13:00:38,1.17.0,20,80,4.14,nan,30,Left,Right,5,0,1,1,nan,nan,0.00
2/17/2023 13:00:54,1.17.0,20,80,4.14,nan,30,Left,Right,6,0,1,1,nan,nan,0.00
2/17/2023 13:00:58,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,6,0,1,1,nan,nan,0.04
2/17/2023 13:01:00,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,6,0,1,1,nan,nan,0.15
2/17/2023 13:01:02,1.17.0,20,80,4.14,nan,30,LeftinTimeOut,Right,6,0,1,1,nan,nan,nan
2/17/2023 13:01:34,1.17.0,20,80,4.14,nan,30,Left,Right,7,0,1,1,nan,nan,0.00
2/17/2023 13:02:42,1.17.0,20,80,4.12,nan,30,Left,Right,8,0,1,1,nan,nan,0.00
2/17/2023 13:02:45,1.17.0,20,80,4.14,2,30,Pellet,Right,8,0,2,1,0.12,151,nan
2/17/2023 13:03:48,1.17.0,20,80,4.14,nan,30,Right,Left,8,1,2,2,nan,nan,0.00
2/17/2023 13:03:52,1.17.0,20,80,4.14,2,30,Pellet,Left,8,1,3,2,0.18,67,nan
2/17/2023 13:04:10,1.17.0,20,80,4.14,nan,30,Right,Left,8,2,3,3,nan,nan,0.00
2/17/2023 13:04:13,1.17.0,20,80,4.14,1,30,Pellet,Left,8,2,4,3,0.19,21,nan
2/17/2023 13:04:33,1.17.0,20,80,4.14,nan,30,Right,Left,8,3,4,4,nan,nan,0.00
2/17/2023 13:04:37,1.17.0,20,80,4.14,1,30,Pellet,Left,8,3,5,4,0.12,23,nan
2/17/2023 13:05:00,1.17.0,20,80,4.14,nan,30,Right,Left,8,4,5,5,nan,nan,0.00
2/17/2023 13:05:04,1.17.0,20,80,4.14,1,30,Pellet,Left,8,4,6,5,0.06,27,nan
2/17/2023 13:06:39,1.17.0,20,80,4.14,nan,30,Left,Right,9,4,6,6,nan,nan,0.00
2/17/2023 13:06:50,1.17.0,20,80,4.13,nan,30,LeftinTimeOut,Right,9,4,6,6,nan,nan,nan
2/17/2023 13:10:50,1.17.0,20,80,4.14,nan,30,Right,Left,9,5,6,6,nan,nan,0.00
2/17/2023 13:10:55,1.17.0,20,80,4.14,1,30,Pellet,Left,9,5,7,6,1.13,351,nan
2/17/2023 14:31:52,1.17.0,20,80,4.13,nan,30,Left,Right,10,5,7,7,nan,nan,0.03
2/17/2023 15:09:39,1.17.0,20,80,4.13,nan,30,Right,Left,10,6,7,7,nan,nan,0.00
2/17/2023 15:09:54,1.17.0,20,80,4.13,2,30,Pellet,Left,10,6,8,7,11.92,7140,nan
2/17/2023 15:10:18,1.17.0,20,80,4.12,nan,30,Right,Left,10,7,8,8,nan,nan,0.00
2/17/2023 15:10:22,1.17.0,20,80,4.12,1,30,Pellet,Left,10,7,9,8,0.44,28,nan
2/17/2023 15:10:37,1.17.0,20,80,4.12,nan,30,Right,Left,10,8,9,9,nan,nan,0.00
2/17/2023 15:10:43,1.17.0,20,80,4.12,nan,30,RightinTimeout,Left,10,8,9,9,nan,nan,1.32
2/17/2023 15:38:45,1.17.0,20,80,4.13,nan,30,Right,Left,10,9,9,9,nan,nan,0.05
2/17/2023 15:53:02,1.17.0,20,80,4.12,nan,30,Right,Left,10,10,9,9,nan,nan,0.00
2/17/2023 15:53:05,1.17.0,20,80,4.12,1,30,Pellet,Left,10,10,10,9,0.44,2563,nan
2/17/2023 15:53:39,1.17.0,20,80,4.12,nan,30,Right,Left,10,11,10,10,nan,nan,0.00
2/17/2023 15:53:42,1.17.0,20,80,4.12,1,30,Pellet,Left,10,11,11,10,0.56,37,nan
2/17/2023 15:54:12,1.17.0,20,80,4.12,nan,30,Right,Left,10,12,11,11,nan,nan,0.00
2/17/2023 15:54:15,1.17.0,20,80,4.12,1,30,Pellet,Left,10,12,12,11,0.25,33,nan
2/17/2023 15:54:39,1.17.0,20,80,4.12,nan,30,Right,Left,10,13,12,12,nan,nan,0.00
2/17/2023 15:54:42,1.17.0,20,80,4.12,1,30,Pellet,Left,10,13,13,12,0.12,27,nan
2/17/2023 15:55:05,1.17.0,20,80,4.12,nan,30,Right,Left,10,14,13,13,nan,nan,0.00
2/17/2023 15:55:08,1.17.0,20,80,4.12,1,30,Pellet,Left,10,14,14,13,0.44,26,nan
2/17/2023 15:56:06,1.17.0,20,80,4.12,nan,30,Right,Left,10,15,14,14,nan,nan,0.00
