MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/17/2023 11:05:28,1.17.0,20,80,4.14,nan,30,Left,Right,1,0,0,0,nan,nan,0.07
2/17/2023 11:12:24,1.17.0,20,80,4.14,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
2/17/2023 11:27:44,1.17.0,20,80,4.13,4,30,Pellet,Left,1,1,1,0,Timed_out,nan,nan
2/17/2023 11:28:29,1.17.0,20,80,4.13,nan,30,Right,Left,1,2,1,1,nan,nan,0.00
2/17/2023 11:28:33,1.17.0,20,80,4.14,2,30,Pellet,Left,1,2,2,1,1.20,49,nan
2/17/2023 11:40:03,1.17.0,20,80,4.14,nan,30,Left,Right,2,2,2,2,nan,nan,0.00
2/17/2023 11:52:21,1.17.0,20,80,4.13,nan,30,Right,Left,2,3,2,2,nan,nan,0.00
2/17/2023 11:52:26,1.17.0,20,80,4.13,2,30,Pellet,Left,2,3,3,2,0.88,1432,nan
2/17/2023 11:53:03,1.17.0,20,80,4.13,nan,30,Left,Right,3,3,3,3,nan,nan,0.00
2/17/2023 11:53:11,1.17.0,20,80,4.13,nan,30,RightinTimeout,Right,3,3,3,3,nan,nan,0.65
2/17/2023 11:53:12,1.17.0,20,80,4.13,nan,30,RightinTimeout,Right,3,3,3,3,nan,nan,0.19
2/17/2023 11:53:12,1.17.0,20,80,4.14,nan,30,RightinTimeout,Right,3,3,3,3,nan,nan,0.02
2/17/2023 11:56:52,1.17.0,20,80,4.13,nan,30,RightinTimeout,Right,3,3,3,3,nan,nan,218.93
2/17/2023 11:58:02,1.17.0,20,80,4.13,nan,30,Right,Left,3,4,3,3,nan,nan,59.98
2/17/2023 13:36:03,1.17.0,20,80,4.12,2,30,Pellet,Left,3,4,4,3,0.69,6218,nan
2/17/2023 13:36:06,1.17.0,20,80,4.12,nan,30,Right,Left,3,5,4,4,nan,nan,0.00
2/17/2023 13:36:10,1.17.0,20,80,4.12,1,30,Pellet,Left,3,5,5,4,0.69,7,nan
2/17/2023 13:36:38,1.17.0,20,80,4.11,nan,30,Right,Left,3,6,5,5,nan,nan,0.00
2/17/2023 13:36:41,1.17.0,20,80,4.12,1,30,Pellet,Left,3,6,6,5,0.37,31,nan
2/17/2023 13:37:04,1.17.0,20,80,4.12,nan,30,Right,Left,3,7,6,6,nan,nan,0.00
2/17/2023 13:37:08,1.17.0,20,80,4.12,1,30,Pellet,Left,3,7,7,6,0.37,27,nan
2/17/2023 13:37:34,1.17.0,20,80,4.12,nan,30,Right,Left,3,8,7,7,nan,nan,0.01
2/17/2023 14:01:27,1.17.0,20,80,4.12,nan,30,Right,Left,3,9,7,7,nan,nan,0.00
2/17/2023 14:01:33,1.17.0,20,80,4.11,3,30,Pellet,Left,3,9,8,7,0.69,1465,nan
2/17/2023 14:02:25,1.17.0,20,80,4.12,nan,30,Right,Left,3,10,8,8,nan,nan,0.00
2/17/2023 14:08:02,1.17.0,20,80,4.12,nan,30,Right,Left,3,11,8,8,nan,nan,0.00
2/17/2023 14:08:07,1.17.0,20,80,4.12,1,30,Pellet,Left,3,11,9,8,1.64,394,nan
2/17/2023 14:08:34,1.17.0,20,80,4.11,nan,30,Right,Left,3,12,9,9,nan,nan,0.00
