MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/27/2023 19:06:54,1.17.0,20,80,4.19,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
2/27/2023 19:07:12,1.17.0,20,80,4.19,2,30,Pellet,Left,0,1,1,0,13.23,nan,nan
2/27/2023 19:07:54,1.17.0,20,80,4.19,nan,30,Left,Right,1,1,1,1,nan,nan,0.00
2/27/2023 19:08:18,1.17.0,20,80,4.20,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
2/27/2023 19:08:21,1.17.0,20,80,4.19,1,30,Pellet,Right,2,1,2,1,0.50,69,nan
2/27/2023 19:09:06,1.17.0,20,80,4.19,nan,30,Left,Right,3,1,2,2,nan,nan,0.00
2/27/2023 19:09:26,1.17.0,20,80,4.19,nan,30,Right,Left,3,2,2,2,nan,nan,0.00
2/27/2023 19:09:36,1.17.0,20,80,4.19,1,30,Pellet,Left,3,2,3,2,6.97,75,nan
2/27/2023 19:10:03,1.17.0,20,80,4.20,nan,30,Left,Right,4,2,3,3,nan,nan,0.00
2/27/2023 19:10:25,1.17.0,20,80,4.19,nan,30,Right,Left,4,3,3,3,nan,nan,0.00
2/27/2023 19:10:39,1.17.0,20,80,4.20,1,30,Pellet,Left,4,3,4,3,11.23,63,nan
2/27/2023 19:10:57,1.17.0,20,80,4.19,nan,30,Left,Right,5,3,4,4,nan,nan,0.00
2/27/2023 19:11:14,1.17.0,20,80,4.19,nan,30,Left,Right,6,3,4,4,nan,nan,0.00
2/27/2023 19:11:26,1.17.0,20,80,4.18,nan,30,LeftinTimeOut,Right,6,3,4,4,nan,nan,nan
2/27/2023 19:11:44,1.17.0,20,80,4.19,nan,30,Right,Left,6,4,4,4,nan,nan,0.00
2/27/2023 19:11:49,1.17.0,20,80,4.19,1,30,Pellet,Left,6,4,5,4,2.65,70,nan
2/27/2023 19:12:13,1.17.0,20,80,4.19,nan,30,Left,Right,7,4,5,5,nan,nan,0.00
2/27/2023 19:13:19,1.17.0,20,80,4.20,nan,30,Left,Right,8,4,5,5,nan,nan,0.00
2/27/2023 19:13:24,1.17.0,20,80,4.19,nan,30,RightinTimeout,Right,8,4,5,5,nan,nan,0.09
2/27/2023 19:13:25,1.17.0,20,80,4.20,nan,30,RightinTimeout,Right,8,4,5,5,nan,nan,1.04
2/27/2023 19:13:25,1.17.0,20,80,4.19,nan,30,RightinTimeout,Right,8,4,5,5,nan,nan,0.14
2/27/2023 19:13:26,1.17.0,20,80,4.19,nan,30,RightinTimeout,Right,8,4,5,5,nan,nan,0.21
2/27/2023 19:13:59,1.17.0,20,80,4.19,nan,30,Left,Right,9,4,5,5,nan,nan,0.00
2/27/2023 19:14:36,1.17.0,20,80,4.19,nan,30,Left,Right,10,4,5,5,nan,nan,0.00
2/27/2023 19:14:50,1.17.0,20,80,4.19,nan,30,Left,Right,11,4,5,5,nan,nan,0.00
2/27/2023 19:15:21,1.17.0,20,80,4.19,1,30,Pellet,Right,11,4,6,5,27.20,212,nan
2/27/2023 19:16:45,1.17.0,20,80,4.20,nan,30,Left,Right,12,4,6,6,nan,nan,1.43
2/27/2023 19:16:57,1.17.0,20,80,4.19,nan,30,RightinTimeout,Right,12,4,6,6,nan,nan,0.85
2/27/2023 19:16:57,1.17.0,20,80,4.19,nan,30,RightinTimeout,Right,12,4,6,6,nan,nan,0.04
