MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/27/2023 19:04:44,1.17.0,20,80,4.16,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
2/27/2023 19:04:51,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,1,0,0,0,nan,nan,0.47
2/27/2023 19:04:53,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,1,0,0,0,nan,nan,0.07
2/27/2023 19:05:06,1.17.0,20,80,4.16,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
2/27/2023 19:05:11,1.17.0,20,80,4.16,3,30,Pellet,Left,1,1,1,0,0.06,nan,nan
2/27/2023 19:05:26,1.17.0,20,80,4.16,nan,30,Right,Left,1,2,1,1,nan,nan,0.00
2/27/2023 19:05:29,1.17.0,20,80,4.16,2,30,Pellet,Left,1,2,2,1,0.56,18,nan
2/27/2023 19:06:03,1.17.0,20,80,4.16,nan,30,Left,Right,2,2,2,2,nan,nan,0.00
2/27/2023 19:06:12,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,2,2,2,2,nan,nan,0.27
2/27/2023 19:06:17,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,2,2,2,2,nan,nan,0.34
2/27/2023 19:06:21,1.17.0,20,80,4.16,nan,30,RightinTimeout,Right,2,2,2,2,nan,nan,0.20
2/27/2023 19:06:35,1.17.0,20,80,4.16,nan,30,Left,Right,3,2,2,2,nan,nan,0.09
2/27/2023 19:06:38,1.17.0,20,80,4.16,1,30,Pellet,Right,3,2,3,2,0.37,69,nan
2/27/2023 19:06:53,1.17.0,20,80,4.16,nan,30,Left,Right,4,2,3,3,nan,nan,0.00
2/27/2023 19:06:56,1.17.0,20,80,4.16,2,30,Pellet,Right,4,2,4,3,0.06,18,nan
2/27/2023 19:07:10,1.17.0,20,80,4.16,nan,30,Left,Right,5,2,4,4,nan,nan,0.00
2/27/2023 19:07:13,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,5,2,4,4,nan,nan,nan
2/27/2023 19:07:15,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,5,2,4,4,nan,nan,nan
2/27/2023 19:07:16,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,5,2,4,4,nan,nan,nan
2/27/2023 19:07:24,1.17.0,20,80,4.16,nan,30,LeftinTimeOut,Right,5,2,4,4,nan,nan,nan
