MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/12/2023 19:28:59,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,0,1,0,0,nan,nan,0.00
9/12/2023 19:29:04,1.17.0,Bandit,4,4.20,2,30,20,80,Pellet,Right,0,1,1,0,0.12,nan,nan
9/12/2023 19:29:26,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,0,2,1,1,nan,nan,0.00
9/12/2023 19:29:29,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,0,2,2,1,0.63,25,nan
9/12/2023 19:29:54,1.17.0,Bandit,4,4.20,nan,30,20,80,Left,Right,1,2,2,2,nan,nan,0.06
9/12/2023 19:30:13,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,1,3,2,2,nan,nan,0.07
9/12/2023 19:30:15,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,1,3,3,2,0.25,46,nan
9/12/2023 19:30:27,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,1,4,3,3,nan,nan,0.00
9/12/2023 19:30:30,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,1,4,4,3,0.56,15,nan
9/12/2023 19:30:46,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,1,5,4,4,nan,nan,0.00
9/12/2023 19:30:49,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,1,5,5,4,0.63,19,nan
9/12/2023 19:31:01,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,1,6,5,5,nan,nan,0.00
9/12/2023 19:31:04,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,1,6,6,5,0.82,15,nan
9/12/2023 19:31:38,1.17.0,Bandit,4,4.20,nan,30,20,80,Left,Right,2,6,6,6,nan,nan,0.05
9/12/2023 19:31:44,1.17.0,Bandit,4,4.20,2,30,20,80,Pellet,Right,2,6,7,6,1.64,40,nan
9/12/2023 19:33:42,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,2,7,7,7,nan,nan,0.10
9/12/2023 19:33:46,1.17.0,Bandit,4,4.20,2,30,20,80,Pellet,Right,2,7,8,7,0.25,122,nan
9/12/2023 19:34:04,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,2,8,8,8,nan,nan,0.00
9/12/2023 19:34:07,1.17.0,Bandit,4,4.20,2,30,20,80,Pellet,Right,2,8,9,8,0.50,21,nan
9/12/2023 19:38:31,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,2,9,9,9,nan,nan,0.00
9/12/2023 19:38:33,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,2,9,10,9,0.31,266,nan
9/12/2023 19:38:50,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,2,10,10,10,nan,nan,0.00
9/12/2023 19:42:30,1.17.0,Bandit,4,4.20,nan,30,20,80,Left,Right,3,10,10,10,nan,nan,0.00
9/12/2023 19:44:51,1.17.0,Bandit,4,4.20,nan,30,20,80,Left,Right,4,10,10,10,nan,nan,0.00
9/12/2023 19:44:56,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,4,10,10,10,nan,nan,nan
9/12/2023 19:45:04,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,4,10,10,10,nan,nan,0.00
9/12/2023 19:45:08,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,4,10,10,10,nan,nan,0.00
9/12/2023 19:45:16,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,4,10,10,10,nan,nan,0.00
9/12/2023 19:45:16,1.17.0,Bandit,4,4.20,nan,30,20,80,RightinTimeout,Right,4,10,10,10,nan,nan,0.00
9/12/2023 19:45:26,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,4,10,10,10,nan,nan,nan
9/12/2023 19:45:32,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,4,10,10,10,nan,nan,nan
9/12/2023 19:45:49,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,4,11,10,10,nan,nan,0.05
9/12/2023 19:45:53,1.17.0,Bandit,4,4.19,2,30,20,80,Pellet,Right,4,11,11,10,0.50,440,nan
9/12/2023 19:46:12,1.17.0,Bandit,4,4.20,nan,30,20,80,Left,Right,5,11,11,11,nan,nan,0.10
9/12/2023 19:46:17,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,5,11,11,11,nan,nan,nan
9/12/2023 19:46:20,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,5,11,11,11,nan,nan,nan
9/12/2023 19:48:59,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,5,12,11,11,nan,nan,0.06
9/12/2023 19:49:31,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,5,13,11,11,nan,nan,0.00
9/12/2023 19:49:34,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,5,13,12,11,0.56,221,nan
9/12/2023 19:49:52,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,5,14,12,12,nan,nan,0.22
9/12/2023 19:49:54,1.17.0,Bandit,4,4.20,1,30,20,80,Pellet,Right,5,14,13,12,0.56,20,nan
9/12/2023 19:50:15,1.17.0,Bandit,4,4.20,nan,30,20,80,Right,Right,5,15,13,13,nan,nan,0.00
