MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/25/2023 21:01:35,1.17.0,Bandit,0,4.03,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.13
9/25/2023 21:01:49,1.17.0,Bandit,0,4.03,3,30,80,20,Pellet,Left,1,0,1,0,7.04,nan,nan
9/25/2023 21:02:12,1.17.0,Bandit,0,4.03,nan,30,80,20,Right,Left,1,1,1,1,nan,nan,0.04
9/25/2023 21:02:16,1.17.0,Bandit,0,4.03,nan,30,80,20,RightinTimeout,Left,1,1,1,1,nan,nan,0.00
9/25/2023 21:02:31,1.17.0,Bandit,0,4.03,nan,30,80,20,Right,Left,1,2,1,1,nan,nan,0.04
9/25/2023 21:02:45,1.17.0,Bandit,0,4.03,nan,30,80,20,Right,Left,1,3,1,1,nan,nan,0.04
9/25/2023 21:02:49,1.17.0,Bandit,0,4.03,nan,30,80,20,RightinTimeout,Left,1,3,1,1,nan,nan,0.00
9/25/2023 21:02:50,1.17.0,Bandit,0,4.03,nan,30,80,20,LeftinTimeOut,Left,1,3,1,1,nan,nan,nan
9/25/2023 21:03:01,1.17.0,Bandit,0,4.03,nan,30,80,20,Right,Left,1,4,1,1,nan,nan,0.03
9/25/2023 21:03:05,1.17.0,Bandit,0,4.03,1,30,80,20,Pellet,Left,1,4,2,1,1.45,76,nan
9/25/2023 21:03:42,1.17.0,Bandit,0,4.03,nan,30,80,20,Right,Left,1,5,2,2,nan,nan,0.09
9/25/2023 21:04:19,1.17.0,Bandit,0,4.03,nan,30,80,20,Right,Left,1,6,2,2,nan,nan,0.08
9/25/2023 21:04:25,1.17.0,Bandit,0,4.03,1,30,80,20,Pellet,Left,1,6,3,2,3.91,80,nan
9/25/2023 21:04:44,1.17.0,Bandit,0,4.03,nan,30,80,20,Right,Left,1,7,3,3,nan,nan,0.04
9/25/2023 21:04:46,1.17.0,Bandit,0,4.03,nan,30,80,20,RightinTimeout,Left,1,7,3,3,nan,nan,0.00
9/25/2023 21:05:06,1.17.0,Bandit,0,4.02,nan,30,80,20,Right,Left,1,8,3,3,nan,nan,0.13
9/25/2023 21:05:12,1.17.0,Bandit,0,4.03,nan,30,80,20,RightinTimeout,Left,1,8,3,3,nan,nan,0.00
