MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/25/2024 20:20:10,1.17.0,Bandit,0,4.06,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.03
11/25/2024 20:20:16,1.17.0,Bandit,0,4.16,3,30,80,20,Pellet,Left,0,1,1,0,0.46,nan,nan
11/25/2024 20:20:56,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,1,1,1,1,nan,nan,0.02
11/25/2024 20:21:00,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,1,1,2,1,0.58,44,nan
11/25/2024 20:22:12,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,1,2,2,2,nan,nan,0.02
11/25/2024 20:22:13,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:22:18,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:22:26,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:22:26,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:22:33,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:22:33,1.17.0,Bandit,0,4.15,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:22:37,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:22:43,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:22:47,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:22:52,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:22:53,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:22:56,1.17.0,Bandit,0,4.15,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:23:00,1.17.0,Bandit,0,4.15,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:23:04,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:23:12,1.17.0,Bandit,0,4.15,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:23:12,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:23:14,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:23:15,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,1,2,2,2,nan,nan,nan
11/25/2024 20:23:16,1.17.0,Bandit,0,4.15,nan,30,80,20,RightinTimeout,Left,1,2,2,2,nan,nan,0.00
11/25/2024 20:24:43,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,2,2,2,2,nan,nan,0.07
