MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/4/2023 20:56:07,1.17.0,20,80,4.18,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
6/4/2023 21:01:59,1.17.0,20,80,4.18,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
6/4/2023 21:02:09,1.17.0,20,80,4.18,5,30,Pellet,Left,1,1,1,0,0.06,nan,nan
6/4/2023 21:05:06,1.17.0,20,80,4.18,nan,30,Right,Left,1,2,1,1,nan,nan,0.00
6/4/2023 21:05:09,1.17.0,20,80,4.18,2,30,Pellet,Left,1,2,2,1,0.06,180,nan
6/4/2023 21:05:38,1.17.0,20,80,4.18,nan,30,Right,Left,1,3,2,2,nan,nan,0.00
6/4/2023 21:05:41,1.17.0,20,80,4.18,2,30,Pellet,Left,1,3,3,2,0.12,32,nan
6/4/2023 21:06:15,1.17.0,20,80,4.18,nan,30,Right,Left,1,4,3,3,nan,nan,0.00
6/4/2023 21:06:19,1.17.0,20,80,4.18,2,30,Pellet,Left,1,4,4,3,1.34,38,nan
6/4/2023 21:06:37,1.17.0,20,80,4.18,nan,30,Right,Left,1,5,4,4,nan,nan,0.00
6/4/2023 21:06:40,1.17.0,20,80,4.18,1,30,Pellet,Left,1,5,5,4,0.12,21,nan
6/4/2023 21:07:08,1.17.0,20,80,4.18,nan,30,Right,Left,1,6,5,5,nan,nan,0.00
6/4/2023 21:07:20,1.17.0,20,80,4.18,4,30,Pellet,Left,1,6,6,5,2.26,39,nan
6/4/2023 21:07:44,1.17.0,20,80,4.18,nan,30,Left,Right,2,6,6,6,nan,nan,0.00
6/4/2023 21:07:58,1.17.0,20,80,4.18,7,30,Pellet,Right,2,6,7,6,0.18,39,nan
6/4/2023 21:08:31,1.17.0,20,80,4.18,nan,30,Right,Left,2,7,7,7,nan,nan,0.00
6/4/2023 21:08:46,1.17.0,20,80,4.18,7,30,Pellet,Left,2,7,8,7,0.06,48,nan
6/4/2023 21:08:56,1.17.0,20,80,4.18,nan,30,Right,Left,2,8,8,8,nan,nan,0.00
6/4/2023 21:08:59,1.17.0,20,80,4.18,2,30,Pellet,Left,2,8,9,8,0.12,13,nan
