MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/18/2023 18:55:21,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,0,1,0,0,nan,nan,0.00
9/18/2023 18:55:26,1.17.0,Bandit,4,4.22,3,30,20,80,Pellet,Right,0,1,1,0,0.12,nan,nan
9/18/2023 18:55:54,1.17.0,Bandit,4,4.22,nan,30,20,80,Left,Right,1,1,1,1,nan,nan,0.03
9/18/2023 18:55:57,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:06,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:56:10,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:56:13,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:15,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:15,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:18,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:20,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:56:23,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:56:33,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:56:37,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:38,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:38,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:41,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:41,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:56:48,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:56:48,1.17.0,Bandit,4,4.20,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:56:51,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:57:00,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:00,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:01,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:01,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:01,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:02,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:02,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:02,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:03,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:03,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:03,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:07,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,1,1,1,nan,nan,0.00
9/18/2023 18:57:09,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:57:10,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:57:13,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
9/18/2023 18:57:24,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,1,2,1,1,nan,nan,0.11
9/18/2023 18:57:35,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,1,2,1,1,nan,nan,0.00
9/18/2023 18:57:52,1.17.0,Bandit,4,4.22,nan,30,20,80,Left,Right,2,2,1,1,nan,nan,0.01
9/18/2023 18:58:10,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,2,3,1,1,nan,nan,0.00
9/18/2023 18:58:13,1.17.0,Bandit,4,4.22,2,30,20,80,Pellet,Right,2,3,2,1,0.37,166,nan
9/18/2023 18:58:29,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,2,4,2,2,nan,nan,0.05
9/18/2023 18:58:32,1.17.0,Bandit,4,4.22,2,30,20,80,Pellet,Right,2,4,3,2,0.25,20,nan
9/18/2023 18:58:46,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,2,5,3,3,nan,nan,0.03
9/18/2023 18:58:51,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,2,5,3,3,nan,nan,0.00
9/18/2023 18:58:55,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,2,5,3,3,nan,nan,0.00
9/18/2023 18:58:55,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,2,5,3,3,nan,nan,0.00
9/18/2023 18:58:59,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,2,5,3,3,nan,nan,0.00
9/18/2023 18:59:26,1.17.0,Bandit,4,4.22,nan,30,20,80,Left,Right,3,5,3,3,nan,nan,0.06
9/18/2023 18:59:33,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:36,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:36,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:37,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:37,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:38,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:38,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:41,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:42,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:43,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:43,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:48,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:48,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:48,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 18:59:49,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,5,3,3,nan,nan,0.00
9/18/2023 19:01:04,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,6,3,3,nan,nan,0.00
9/18/2023 19:01:07,1.17.0,Bandit,4,4.22,2,30,20,80,Pellet,Right,3,6,4,3,0.69,155,nan
9/18/2023 19:01:41,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,7,4,4,nan,nan,0.00
9/18/2023 19:01:48,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,3,7,4,4,nan,nan,nan
9/18/2023 19:01:59,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,8,4,4,nan,nan,0.00
9/18/2023 19:02:02,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,3,8,5,4,1.07,55,nan
9/18/2023 19:02:22,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,9,5,5,nan,nan,0.00
9/18/2023 19:02:25,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,3,9,6,5,0.31,22,nan
9/18/2023 19:02:46,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,10,6,6,nan,nan,0.00
9/18/2023 19:02:48,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,3,10,7,6,0.50,24,nan
9/18/2023 19:03:12,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,11,7,7,nan,nan,0.00
9/18/2023 19:03:15,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,3,11,8,7,1.07,27,nan
9/18/2023 19:03:34,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,12,8,8,nan,nan,0.00
9/18/2023 19:03:37,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,3,12,9,8,0.88,22,nan
9/18/2023 19:04:00,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,13,9,9,nan,nan,0.00
9/18/2023 19:04:04,1.17.0,Bandit,4,4.22,2,30,20,80,Pellet,Right,3,13,10,9,0.06,27,nan
9/18/2023 19:04:30,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,14,10,10,nan,nan,0.00
9/18/2023 19:04:34,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,14,10,10,nan,nan,0.00
9/18/2023 19:04:35,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,14,10,10,nan,nan,0.00
9/18/2023 19:04:35,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,14,10,10,nan,nan,0.00
9/18/2023 19:04:35,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,14,10,10,nan,nan,0.00
9/18/2023 19:04:36,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,14,10,10,nan,nan,0.00
9/18/2023 19:04:39,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,3,14,10,10,nan,nan,0.00
9/18/2023 19:04:54,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,3,15,10,10,nan,nan,0.00
9/18/2023 19:05:30,1.17.0,Bandit,4,4.22,nan,30,20,80,Left,Right,4,15,10,10,nan,nan,0.00
9/18/2023 19:05:35,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,4,15,10,10,nan,nan,0.00
9/18/2023 19:05:54,1.17.0,Bandit,4,4.22,nan,30,20,80,Left,Right,5,15,10,10,nan,nan,0.00
9/18/2023 19:06:21,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,5,16,10,10,nan,nan,0.00
9/18/2023 19:06:24,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,5,16,11,10,0.63,140,nan
9/18/2023 19:07:17,1.17.0,Bandit,4,4.22,nan,30,20,80,Left,Right,6,16,11,11,nan,nan,0.00
9/18/2023 19:12:32,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,17,11,11,nan,nan,0.02
9/18/2023 19:12:38,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,17,11,11,nan,nan,0.00
9/18/2023 19:12:39,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,17,11,11,nan,nan,0.00
9/18/2023 19:12:39,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,17,11,11,nan,nan,0.00
9/18/2023 19:12:48,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,6,17,11,11,nan,nan,nan
9/18/2023 19:12:53,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,6,17,11,11,nan,nan,nan
9/18/2023 19:12:54,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,6,17,11,11,nan,nan,nan
9/18/2023 19:13:01,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,17,11,11,nan,nan,0.00
9/18/2023 19:13:01,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,17,11,11,nan,nan,0.00
9/18/2023 19:13:04,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,17,11,11,nan,nan,0.00
9/18/2023 19:13:11,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,6,17,11,11,nan,nan,nan
9/18/2023 19:13:19,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,6,17,11,11,nan,nan,nan
9/18/2023 19:13:20,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,6,17,11,11,nan,nan,nan
9/18/2023 19:13:24,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,17,11,11,nan,nan,0.00
9/18/2023 19:13:28,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,17,11,11,nan,nan,0.00
9/18/2023 19:13:38,1.17.0,Bandit,4,4.22,nan,30,20,80,LeftinTimeOut,Right,6,17,11,11,nan,nan,nan
9/18/2023 19:14:01,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,18,11,11,nan,nan,0.02
9/18/2023 19:14:05,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,18,11,11,nan,nan,0.00
9/18/2023 19:14:25,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,19,11,11,nan,nan,0.00
9/18/2023 19:14:28,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,6,19,12,11,0.44,484,nan
9/18/2023 19:14:47,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,20,12,12,nan,nan,0.10
9/18/2023 19:14:52,1.17.0,Bandit,4,4.22,2,30,20,80,Pellet,Right,6,20,13,12,0.19,24,nan
9/18/2023 19:15:14,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,21,13,13,nan,nan,0.00
9/18/2023 19:15:33,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,22,13,13,nan,nan,0.00
9/18/2023 19:15:36,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,6,22,14,13,1.01,44,nan
9/18/2023 19:15:57,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,23,14,14,nan,nan,0.00
9/18/2023 19:15:59,1.17.0,Bandit,4,4.22,1,30,20,80,Pellet,Right,6,23,15,14,0.12,23,nan
9/18/2023 19:16:16,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,24,15,15,nan,nan,0.00
9/18/2023 19:16:20,1.17.0,Bandit,4,4.22,2,30,20,80,Pellet,Right,6,24,16,15,0.06,21,nan
9/18/2023 19:16:42,1.17.0,Bandit,4,4.22,nan,30,20,80,Right,Right,6,25,16,16,nan,nan,0.38
9/18/2023 19:16:50,1.17.0,Bandit,4,4.21,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:50,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:51,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:51,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:51,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:52,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:52,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:52,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:53,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:53,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:53,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:54,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:16:59,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:17:00,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
9/18/2023 19:17:00,1.17.0,Bandit,4,4.22,nan,30,20,80,RightinTimeout,Right,6,25,16,16,nan,nan,0.00
