MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/5/2023 19:04:20,1.17.0,20,80,3.90,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
6/5/2023 19:04:28,1.17.0,20,80,3.90,4,30,Pellet,Left,0,1,1,0,0.54,nan,nan
6/5/2023 19:04:42,1.17.0,20,80,3.91,nan,30,Right,Left,0,2,1,1,nan,nan,0.00
6/5/2023 19:04:46,1.17.0,20,80,3.90,2,30,Pellet,Left,0,2,2,1,0.48,18,nan
6/5/2023 19:04:57,1.17.0,20,80,3.90,nan,30,Right,Left,0,3,2,2,nan,nan,0.00
6/5/2023 19:05:30,1.17.0,20,80,3.89,11,30,Pellet,Left,0,3,3,2,0.79,44,nan
6/5/2023 19:06:00,1.17.0,20,80,3.90,nan,30,Left,Right,1,3,3,3,nan,nan,0.04
6/5/2023 19:06:04,1.17.0,20,80,3.90,nan,30,LeftinTimeOut,Right,1,3,3,3,nan,nan,nan
6/5/2023 19:06:27,1.17.0,20,80,3.90,nan,30,Right,Left,1,4,3,3,nan,nan,0.10
6/5/2023 19:06:35,1.17.0,20,80,3.90,4,30,Pellet,Left,1,4,4,3,0.73,65,nan
6/5/2023 19:07:07,1.17.0,20,80,3.90,nan,30,Right,Left,1,5,4,4,nan,nan,0.00
6/5/2023 19:07:13,1.17.0,20,80,3.89,nan,30,RightinTimeout,Left,1,5,4,4,nan,nan,0.04
6/5/2023 19:07:14,1.17.0,20,80,3.90,nan,30,RightinTimeout,Left,1,5,4,4,nan,nan,0.02
6/5/2023 19:07:19,1.17.0,20,80,3.90,nan,30,RightinTimeout,Left,1,5,4,4,nan,nan,0.09
6/5/2023 19:07:31,1.17.0,20,80,3.90,nan,30,Left,Right,2,5,4,4,nan,nan,0.00
6/5/2023 19:07:35,1.17.0,20,80,3.90,1,30,Pellet,Right,2,5,5,4,0.48,60,nan
6/5/2023 19:08:20,1.17.0,20,80,3.89,nan,30,Left,Right,3,5,5,5,nan,nan,0.00
6/5/2023 19:08:31,1.17.0,20,80,3.90,nan,30,RightinTimeout,Right,3,5,5,5,nan,nan,0.11
6/5/2023 19:08:32,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,3,5,5,5,nan,nan,0.07
6/5/2023 19:08:39,1.17.0,20,80,3.90,nan,30,RightinTimeout,Right,3,5,5,5,nan,nan,0.38
6/5/2023 19:08:44,1.17.0,20,80,3.90,nan,30,RightinTimeout,Right,3,5,5,5,nan,nan,0.26
6/5/2023 19:08:50,1.17.0,20,80,3.90,nan,30,LeftinTimeOut,Right,3,5,5,5,nan,nan,nan
6/5/2023 19:08:52,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,3,5,5,5,nan,nan,0.28
6/5/2023 19:08:58,1.17.0,20,80,3.89,nan,30,LeftinTimeOut,Right,3,5,5,5,nan,nan,nan
6/5/2023 19:09:42,1.17.0,20,80,3.90,nan,30,Left,Right,4,5,5,5,nan,nan,0.00
6/5/2023 19:09:54,1.17.0,20,80,3.90,nan,30,RightinTimeout,Right,4,5,5,5,nan,nan,0.07
6/5/2023 19:10:00,1.17.0,20,80,3.90,nan,30,RightinTimeout,Right,4,5,5,5,nan,nan,0.07
6/5/2023 19:10:01,1.17.0,20,80,3.90,nan,30,LeftinTimeOut,Right,4,5,5,5,nan,nan,nan
6/5/2023 19:10:05,1.17.0,20,80,3.89,nan,30,RightinTimeout,Right,4,5,5,5,nan,nan,0.35
6/5/2023 19:10:19,1.17.0,20,80,3.89,nan,30,Left,Right,5,5,5,5,nan,nan,0.00
6/5/2023 19:10:49,1.17.0,20,80,3.90,nan,30,Right,Left,5,6,5,5,nan,nan,0.00
6/5/2023 19:10:53,1.17.0,20,80,3.90,1,30,Pellet,Left,5,6,6,5,1.16,198,nan
6/5/2023 19:11:34,1.17.0,20,80,3.90,nan,30,Right,Left,5,7,6,6,nan,nan,0.00
6/5/2023 19:11:40,1.17.0,20,80,3.90,nan,30,RightinTimeout,Left,5,7,6,6,nan,nan,0.12
6/5/2023 19:11:58,1.17.0,20,80,3.90,nan,30,Right,Left,5,8,6,6,nan,nan,0.00
6/5/2023 19:12:02,1.17.0,20,80,3.90,1,30,Pellet,Left,5,8,7,6,0.48,69,nan
6/5/2023 19:12:35,1.17.0,20,80,3.90,nan,30,Right,Left,5,9,7,7,nan,nan,0.00
6/5/2023 19:12:38,1.17.0,20,80,3.90,1,30,Pellet,Left,5,9,8,7,0.30,36,nan
6/5/2023 19:13:11,1.17.0,20,80,3.90,nan,30,Right,Left,5,10,8,8,nan,nan,0.00
6/5/2023 19:13:22,1.17.0,20,80,3.90,nan,30,RightinTimeout,Left,5,10,8,8,nan,nan,0.50
6/5/2023 19:13:26,1.17.0,20,80,3.89,nan,30,RightinTimeout,Left,5,10,8,8,nan,nan,0.24
6/5/2023 19:13:32,1.17.0,20,80,3.90,nan,30,RightinTimeout,Left,5,10,8,8,nan,nan,0.45
6/5/2023 19:13:54,1.17.0,20,80,3.87,nan,30,Right,Left,5,11,8,8,nan,nan,0.00
6/5/2023 19:14:02,1.17.0,20,80,3.90,nan,30,LeftinTimeOut,Left,5,11,8,8,nan,nan,nan
