MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/19/2024 18:49:06,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,0,1,0,0,nan,nan,0.02
11/19/2024 18:49:16,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftWithPellet,Left,0,1,0,0,nan,nan,0.07
11/19/2024 18:49:30,1.17.0,Bandit,0,4.16,3,30,80,20,Pellet,Left,0,1,1,0,17.54,nan,nan
11/19/2024 18:50:00,1.17.0,Bandit,0,4.17,nan,30,80,20,Right,Left,0,2,1,1,nan,nan,0.16
11/19/2024 18:50:28,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,1,2,1,1,nan,nan,0.21
11/19/2024 18:50:32,1.17.0,Bandit,0,4.17,2,30,80,20,Pellet,Left,1,2,2,1,0.46,63,nan
11/19/2024 18:50:44,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,2,2,2,2,nan,nan,0.13
11/19/2024 18:50:48,1.17.0,Bandit,0,4.17,1,30,80,20,Pellet,Left,2,2,3,2,0.46,16,nan
11/19/2024 18:51:10,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,3,2,3,3,nan,nan,0.01
11/19/2024 18:51:49,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,4,2,3,3,nan,nan,0.18
11/19/2024 18:52:04,1.17.0,Bandit,0,4.16,2,30,80,20,Pellet,Left,4,2,4,3,9.41,76,nan
11/19/2024 18:52:55,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,5,2,4,4,nan,nan,0.07
11/19/2024 18:52:59,1.17.0,Bandit,0,4.17,1,30,80,20,Pellet,Left,5,2,5,4,0.46,55,nan
11/19/2024 18:53:24,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,6,2,5,5,nan,nan,0.00
11/19/2024 18:53:28,1.17.0,Bandit,0,4.16,2,30,80,20,Pellet,Left,6,2,6,5,0.46,29,nan
11/19/2024 18:53:54,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,7,2,6,6,nan,nan,0.04
11/19/2024 18:54:14,1.17.0,Bandit,0,4.16,3,30,80,20,Pellet,Left,7,2,7,6,14.39,46,nan
11/19/2024 18:55:29,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,8,2,7,7,nan,nan,0.07
11/19/2024 18:55:31,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,2,7,7,nan,nan,nan
11/19/2024 18:55:36,1.17.0,Bandit,0,4.17,nan,30,80,20,LeftinTimeOut,Left,8,2,7,7,nan,nan,nan
11/19/2024 18:55:47,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,8,3,7,7,nan,nan,0.54
11/19/2024 18:55:52,1.17.0,Bandit,0,4.16,nan,30,80,20,RightinTimeout,Left,8,3,7,7,nan,nan,0.00
11/19/2024 18:55:53,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,3,7,7,nan,nan,nan
11/19/2024 18:56:28,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,8,4,7,7,nan,nan,0.10
11/19/2024 18:56:35,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,4,7,7,nan,nan,nan
11/19/2024 18:56:36,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,4,7,7,nan,nan,nan
11/19/2024 18:56:40,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,4,7,7,nan,nan,nan
11/19/2024 18:56:42,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,4,7,7,nan,nan,nan
11/19/2024 18:56:43,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,4,7,7,nan,nan,nan
11/19/2024 18:56:50,1.17.0,Bandit,0,4.17,nan,30,80,20,RightinTimeout,Left,8,4,7,7,nan,nan,0.00
11/19/2024 18:56:54,1.17.0,Bandit,0,4.17,nan,30,80,20,RightinTimeout,Left,8,4,7,7,nan,nan,0.00
11/19/2024 18:56:56,1.17.0,Bandit,0,4.17,nan,30,80,20,RightinTimeout,Left,8,4,7,7,nan,nan,0.00
11/19/2024 18:56:57,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,4,7,7,nan,nan,nan
11/19/2024 18:56:59,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,4,7,7,nan,nan,nan
11/19/2024 18:57:28,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,8,5,7,7,nan,nan,0.08
11/19/2024 18:57:32,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,5,7,7,nan,nan,nan
11/19/2024 18:57:33,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,8,5,7,7,nan,nan,nan
11/19/2024 18:57:40,1.17.0,Bandit,0,4.17,nan,30,80,20,RightinTimeout,Left,8,5,7,7,nan,nan,0.00
11/19/2024 18:57:52,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,9,5,7,7,nan,nan,0.10
11/19/2024 18:57:56,1.17.0,Bandit,0,4.17,2,30,80,20,Pellet,Left,9,5,8,7,0.46,222,nan
11/19/2024 18:58:29,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,10,5,8,8,nan,nan,0.35
11/19/2024 18:58:43,1.17.0,Bandit,0,4.16,3,30,80,20,Pellet,Left,10,5,9,8,8.12,46,nan
11/19/2024 18:59:17,1.17.0,Bandit,0,4.17,nan,30,80,20,Left,Left,11,5,9,9,nan,nan,0.24
11/19/2024 18:59:32,1.17.0,Bandit,0,4.17,2,30,80,20,Pellet,Left,11,5,10,9,9.90,50,nan
11/19/2024 19:00:02,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,12,5,10,10,nan,nan,0.40
11/19/2024 19:00:06,1.17.0,Bandit,0,4.16,2,30,80,20,Pellet,Left,12,5,11,10,0.64,34,nan
