MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/4/2023 23:39:01,1.17.0,FR1,7,4.12,nan,1,Left,Left,1,0,0,0,nan,nan,0.09
12/4/2023 23:39:06,1.17.0,FR1,7,4.14,3,1,Pellet,Left,1,0,1,0,1.26,nan,nan
12/4/2023 23:39:12,1.17.0,FR1,7,4.14,nan,1,Left,Left,2,0,1,0,nan,nan,0.01
12/4/2023 23:39:13,1.17.0,FR1,7,4.14,nan,1,LeftDuringDispense,Left,2,0,1,0,nan,nan,0.04
12/4/2023 23:39:14,1.17.0,FR1,7,4.14,1,1,Pellet,Left,2,0,2,0,0.12,8,nan
12/4/2023 23:39:25,1.17.0,FR1,7,4.14,nan,1,Left,Left,3,0,2,0,nan,nan,0.04
12/4/2023 23:39:33,1.17.0,FR1,7,4.14,2,1,Pellet,Left,3,0,3,0,6.65,20,nan
12/4/2023 23:39:38,1.17.0,FR1,7,4.14,nan,1,Left,Left,4,0,3,0,nan,nan,0.08
12/4/2023 23:39:40,1.17.0,FR1,7,4.14,2,1,Pellet,Left,4,0,4,0,0.31,6,nan
12/4/2023 23:40:36,1.17.0,FR1,7,4.15,nan,1,Left,Left,5,0,4,0,nan,nan,0.12
12/4/2023 23:40:37,1.17.0,FR1,7,4.15,2,1,Pellet,Left,5,0,5,0,0.12,58,nan
12/4/2023 23:40:47,1.17.0,FR1,7,4.14,nan,1,Left,Left,6,0,5,0,nan,nan,0.11
12/4/2023 23:40:48,1.17.0,FR1,7,4.14,1,1,Pellet,Left,6,0,6,0,0.12,11,nan
12/4/2023 23:41:00,1.17.0,FR1,7,4.14,nan,1,Right,Left,6,1,6,0,nan,nan,0.07
12/4/2023 23:41:07,1.17.0,FR1,7,4.14,nan,1,Left,Left,7,1,6,0,nan,nan,0.15
12/4/2023 23:41:09,1.17.0,FR1,7,4.14,1,1,Pellet,Left,7,1,7,0,1.64,21,nan
12/4/2023 23:41:50,1.17.0,FR1,7,4.14,nan,1,Right,Left,7,2,7,0,nan,nan,0.23
12/4/2023 23:42:05,1.17.0,FR1,7,4.13,nan,1,Left,Left,8,2,7,0,nan,nan,0.18
12/4/2023 23:42:07,1.17.0,FR1,7,4.14,1,1,Pellet,Left,8,2,8,0,1.07,58,nan
12/4/2023 23:42:28,1.17.0,FR1,7,4.14,nan,1,Left,Left,9,2,8,0,nan,nan,0.07
12/4/2023 23:42:30,1.17.0,FR1,7,4.14,1,1,Pellet,Left,9,2,9,0,1.20,23,nan
12/4/2023 23:45:44,1.17.0,FR1,7,4.14,nan,1,Left,Left,10,2,9,0,nan,nan,0.05
12/4/2023 23:45:46,1.17.0,FR1,7,4.14,1,1,Pellet,Left,10,2,10,0,1.01,196,nan
12/4/2023 23:45:50,1.17.0,FR1,7,4.14,nan,1,Left,Left,11,2,10,0,nan,nan,0.11
12/4/2023 23:45:51,1.17.0,FR1,7,4.14,1,1,Pellet,Left,11,2,11,0,1.07,5,nan
12/4/2023 23:47:34,1.17.0,FR1,7,4.14,nan,1,Left,Left,12,2,11,0,nan,nan,0.00
12/4/2023 23:47:37,1.17.0,FR1,7,4.14,1,1,Pellet,Left,12,2,12,0,2.27,106,nan
12/4/2023 23:48:41,1.17.0,FR1,7,4.14,nan,1,Left,Left,13,2,12,0,nan,nan,0.13
12/4/2023 23:48:43,1.17.0,FR1,7,4.14,1,1,Pellet,Left,13,2,13,0,0.75,66,nan
12/4/2023 23:51:03,1.17.0,FR1,7,4.14,nan,1,Left,Left,14,2,13,0,nan,nan,0.07
12/4/2023 23:51:04,1.17.0,FR1,7,4.14,1,1,Pellet,Left,14,2,14,0,0.37,141,nan
12/4/2023 23:51:27,1.17.0,FR1,7,4.14,nan,1,Left,Left,15,2,14,0,nan,nan,0.11
12/4/2023 23:51:29,1.17.0,FR1,7,4.14,1,1,Pellet,Left,15,2,15,0,0.25,24,nan
12/4/2023 23:51:41,1.17.0,FR1,7,4.14,nan,1,Left,Left,16,2,15,0,nan,nan,0.14
12/4/2023 23:51:42,1.17.0,FR1,7,4.14,1,1,Pellet,Left,16,2,16,0,0.18,14,nan
12/4/2023 23:51:55,1.17.0,FR1,7,4.14,nan,1,Left,Left,17,2,16,0,nan,nan,0.07
12/4/2023 23:51:57,1.17.0,FR1,7,4.14,1,1,Pellet,Left,17,2,17,0,0.31,15,nan
12/4/2023 23:52:15,1.17.0,FR1,7,4.14,nan,1,Left,Left,18,2,17,0,nan,nan,0.10
12/4/2023 23:52:16,1.17.0,FR1,7,4.14,1,1,Pellet,Left,18,2,18,0,0.31,19,nan
12/4/2023 23:53:42,1.17.0,FR1,7,4.14,nan,1,Left,Left,19,2,18,0,nan,nan,0.06
12/4/2023 23:53:43,1.17.0,FR1,7,4.14,1,1,Pellet,Left,19,2,19,0,0.56,87,nan
12/4/2023 23:53:56,1.17.0,FR1,7,4.14,nan,1,Right,Left,19,3,19,0,nan,nan,1.06
12/4/2023 23:53:57,1.17.0,FR1,7,4.14,nan,1,Right,Left,19,4,19,0,nan,nan,0.10
12/4/2023 23:54:00,1.17.0,FR1,7,4.14,nan,1,Left,Left,20,4,19,0,nan,nan,0.22
12/4/2023 23:54:09,1.17.0,FR1,7,4.13,1,1,Pellet,Left,20,4,20,0,8.37,26,nan
12/4/2023 23:54:53,1.17.0,FR1,7,4.14,nan,1,Right,Left,20,5,20,0,nan,nan,0.06
12/4/2023 23:57:38,1.17.0,FR1,7,4.14,nan,1,Right,Left,20,6,20,0,nan,nan,0.10
12/4/2023 23:58:13,1.17.0,FR1,7,4.14,nan,1,Left,Left,21,6,20,0,nan,nan,0.21
12/4/2023 23:58:32,1.17.0,FR1,7,4.14,1,1,Pellet,Left,21,6,21,0,17.97,262,nan
