MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/17/2023 22:50:11,1.17.0,FR1,7,3.83,nan,1,Right,Left,0,1,0,0,nan,nan,0.05
11/17/2023 22:50:32,1.17.0,FR1,7,3.86,nan,1,Right,Left,0,2,0,0,nan,nan,0.68
11/17/2023 22:50:43,1.17.0,FR1,7,3.87,nan,1,Left,Left,1,2,0,0,nan,nan,0.04
11/17/2023 22:50:44,1.17.0,FR1,7,3.87,nan,1,LeftDuringDispense,Left,1,2,0,0,nan,nan,0.05
11/17/2023 22:50:56,1.17.0,FR1,7,3.86,4,1,Pellet,Left,1,2,1,0,4.87,nan,nan
11/17/2023 22:51:02,1.17.0,FR1,7,3.86,nan,1,Left,Left,2,2,1,0,nan,nan,0.19
11/17/2023 22:51:03,1.17.0,FR1,7,3.87,1,1,Pellet,Left,2,2,2,0,0.37,7,nan
11/17/2023 22:51:13,1.17.0,FR1,7,3.86,nan,1,Left,Left,3,2,2,0,nan,nan,0.16
11/17/2023 22:51:14,1.17.0,FR1,7,3.86,1,1,Pellet,Left,3,2,3,0,0.31,11,nan
11/17/2023 22:51:39,1.17.0,FR1,7,3.86,nan,1,Right,Left,3,3,3,0,nan,nan,0.10
11/17/2023 22:51:40,1.17.0,FR1,7,3.86,nan,1,Left,Left,4,3,3,0,nan,nan,0.21
11/17/2023 22:51:42,1.17.0,FR1,7,3.86,1,1,Pellet,Left,4,3,4,0,0.44,28,nan
11/17/2023 22:52:12,1.17.0,FR1,7,3.86,nan,1,Left,Left,5,3,4,0,nan,nan,0.02
11/17/2023 22:52:13,1.17.0,FR1,7,3.87,1,1,Pellet,Left,5,3,5,0,0.19,31,nan
11/17/2023 22:52:22,1.17.0,FR1,7,3.86,nan,1,Left,Left,6,3,5,0,nan,nan,0.15
11/17/2023 22:52:23,1.17.0,FR1,7,3.86,1,1,Pellet,Left,6,3,6,0,0.12,10,nan
11/17/2023 22:52:38,1.17.0,FR1,7,3.86,nan,1,Left,Left,7,3,6,0,nan,nan,0.02
11/17/2023 22:52:39,1.17.0,FR1,7,3.85,1,1,Pellet,Left,7,3,7,0,0.25,16,nan
11/17/2023 22:52:52,1.17.0,FR1,7,3.86,nan,1,Left,Left,8,3,7,0,nan,nan,0.06
11/17/2023 22:52:53,1.17.0,FR1,7,3.86,1,1,Pellet,Left,8,3,8,0,0.25,14,nan
11/17/2023 22:53:10,1.17.0,FR1,7,3.86,nan,1,Left,Left,9,3,8,0,nan,nan,0.11
11/17/2023 22:53:11,1.17.0,FR1,7,3.86,1,1,Pellet,Left,9,3,9,0,0.31,18,nan
11/17/2023 22:53:37,1.17.0,FR1,7,3.86,nan,1,Left,Left,10,3,9,0,nan,nan,0.02
11/17/2023 22:53:38,1.17.0,FR1,7,3.86,1,1,Pellet,Left,10,3,10,0,0.18,27,nan
11/17/2023 22:54:10,1.17.0,FR1,7,3.86,nan,1,Right,Left,10,4,10,0,nan,nan,0.03
11/17/2023 22:54:18,1.17.0,FR1,7,3.86,nan,1,Left,Left,11,4,10,0,nan,nan,0.01
11/17/2023 22:54:20,1.17.0,FR1,7,3.86,1,1,Pellet,Left,11,4,11,0,1.01,42,nan
11/17/2023 22:54:38,1.17.0,FR1,7,3.86,nan,1,Left,Left,12,4,11,0,nan,nan,0.16
11/17/2023 22:54:39,1.17.0,FR1,7,3.85,1,1,Pellet,Left,12,4,12,0,0.25,19,nan
