MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/4/2023 18:58:59,1.17.0,FR1,0,3.97,nan,1,Left,Left,1,0,0,0,nan,nan,0.14
12/4/2023 18:59:41,1.17.0,FR1,0,3.96,3,1,Pellet,Left,1,0,1,0,37.13,nan,nan
12/4/2023 19:00:16,1.17.0,FR1,0,3.96,nan,1,Left,Left,2,0,1,0,nan,nan,0.32
12/4/2023 19:00:17,1.17.0,FR1,0,3.96,1,1,Pellet,Left,2,0,2,0,0.31,36,nan
12/4/2023 19:01:01,1.17.0,FR1,0,3.96,nan,1,Left,Left,3,0,2,0,nan,nan,0.11
12/4/2023 19:01:04,1.17.0,FR1,0,3.96,2,1,Pellet,Left,3,0,3,0,0.50,47,nan
12/4/2023 19:01:44,1.17.0,FR1,0,3.96,nan,1,Right,Left,3,1,3,0,nan,nan,0.13
12/4/2023 19:01:47,1.17.0,FR1,0,3.96,nan,1,Left,Left,4,1,3,0,nan,nan,0.12
12/4/2023 19:01:48,1.17.0,FR1,0,3.96,2,1,Pellet,Left,4,1,4,0,0.06,44,nan
12/4/2023 19:02:06,1.17.0,FR1,0,3.96,nan,1,Left,Left,5,1,4,0,nan,nan,0.02
12/4/2023 19:02:07,1.17.0,FR1,0,3.96,1,1,Pellet,Left,5,1,5,0,0.44,19,nan
12/4/2023 19:04:26,1.17.0,FR1,0,3.96,nan,1,Right,Left,5,2,5,0,nan,nan,0.00
12/4/2023 19:04:41,1.17.0,FR1,0,3.96,nan,1,Left,Left,6,2,5,0,nan,nan,0.12
12/4/2023 19:04:43,1.17.0,FR1,0,3.96,1,1,Pellet,Left,6,2,6,0,1.13,156,nan
12/4/2023 19:05:00,1.17.0,FR1,0,3.96,nan,1,Left,Left,7,2,6,0,nan,nan,0.17
12/4/2023 19:05:01,1.17.0,FR1,0,3.96,1,1,Pellet,Left,7,2,7,0,0.25,18,nan
12/4/2023 19:05:17,1.17.0,FR1,0,3.96,nan,1,Left,Left,8,2,7,0,nan,nan,0.11
12/4/2023 19:05:18,1.17.0,FR1,0,3.96,1,1,Pellet,Left,8,2,8,0,0.31,17,nan
12/4/2023 19:08:18,1.17.0,FR1,0,3.96,nan,1,Left,Left,9,2,8,0,nan,nan,0.02
12/4/2023 19:08:21,1.17.0,FR1,0,3.96,1,1,Pellet,Left,9,2,9,0,2.40,183,nan
12/4/2023 19:12:01,1.17.0,FR1,0,3.96,nan,1,Left,Left,10,2,9,0,nan,nan,0.13
12/4/2023 19:12:03,1.17.0,FR1,0,3.96,1,1,Pellet,Left,10,2,10,0,1.13,222,nan
12/4/2023 19:35:47,1.17.0,FR1,0,3.96,nan,1,Left,Left,11,2,10,0,nan,nan,0.03
12/4/2023 19:35:49,1.17.0,FR1,0,3.96,1,1,Pellet,Left,11,2,11,0,1.45,1426,nan
12/4/2023 19:36:15,1.17.0,FR1,0,3.96,nan,1,Left,Left,12,2,11,0,nan,nan,0.01
12/4/2023 19:36:17,1.17.0,FR1,0,3.96,1,1,Pellet,Left,12,2,12,0,0.94,27,nan
12/4/2023 20:01:47,1.17.0,FR1,0,3.96,nan,1,Left,Left,13,2,12,0,nan,nan,0.00
12/4/2023 20:01:47,1.17.0,FR1,0,3.96,nan,1,LeftDuringDispense,Left,13,2,12,0,nan,nan,0.24
12/4/2023 20:01:53,1.17.0,FR1,0,3.96,2,1,Pellet,Left,13,2,13,0,2.46,1537,nan
