MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/17/2023 22:46:03,1.17.0,FR1,3,3.83,nan,1,Right,Left,0,1,0,0,nan,nan,0.03
11/17/2023 22:47:00,1.17.0,FR1,3,3.82,nan,1,Left,Left,1,1,0,0,nan,nan,0.74
11/17/2023 22:47:01,1.17.0,FR1,3,3.82,1,1,Pellet,Left,1,1,1,0,0.50,nan,nan
11/17/2023 22:47:47,1.17.0,FR1,3,3.82,nan,1,Left,Left,2,1,1,0,nan,nan,0.26
11/17/2023 22:47:48,1.17.0,FR1,3,3.82,1,1,Pellet,Left,2,1,2,0,0.18,47,nan
11/17/2023 22:48:05,1.17.0,FR1,3,3.82,nan,1,Left,Left,3,1,2,0,nan,nan,0.25
11/17/2023 22:48:06,1.17.0,FR1,3,3.83,1,1,Pellet,Left,3,1,3,0,0.19,18,nan
11/17/2023 22:48:17,1.17.0,FR1,3,3.82,nan,1,Left,Left,4,1,3,0,nan,nan,0.06
11/17/2023 22:48:18,1.17.0,FR1,3,3.83,1,1,Pellet,Left,4,1,4,0,1.01,12,nan
11/17/2023 22:48:51,1.17.0,FR1,3,3.82,nan,1,Right,Left,4,2,4,0,nan,nan,0.09
11/17/2023 22:49:18,1.17.0,FR1,3,3.82,nan,1,Left,Left,5,2,4,0,nan,nan,0.34
11/17/2023 22:49:19,1.17.0,FR1,3,3.82,1,1,Pellet,Left,5,2,5,0,0.56,61,nan
11/17/2023 22:49:41,1.17.0,FR1,3,3.82,nan,1,Left,Left,6,2,5,0,nan,nan,0.31
11/17/2023 22:49:43,1.17.0,FR1,3,3.82,1,1,Pellet,Left,6,2,6,0,1.01,23,nan
11/17/2023 22:50:05,1.17.0,FR1,3,3.82,nan,1,Left,Left,7,2,6,0,nan,nan,0.12
11/17/2023 22:50:07,1.17.0,FR1,3,3.82,1,1,Pellet,Left,7,2,7,0,0.63,25,nan
11/17/2023 22:50:26,1.17.0,FR1,3,3.82,nan,1,Left,Left,8,2,7,0,nan,nan,0.06
11/17/2023 22:50:39,1.17.0,FR1,3,3.82,6,1,Pellet,Left,8,2,8,0,1.01,32,nan
