MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/25/2023 21:30:04,1.17.0,FR1,7,4.08,nan,1,Left,Left,1,0,0,0,nan,nan,0.19
11/25/2023 21:30:08,1.17.0,FR1,7,4.09,2,1,Pellet,Left,1,0,1,0,1.57,nan,nan
11/25/2023 21:30:26,1.17.0,FR1,7,4.08,nan,1,Left,Left,2,0,1,0,nan,nan,0.17
11/25/2023 21:30:27,1.17.0,FR1,7,4.08,1,1,Pellet,Left,2,0,2,0,0.18,19,nan
11/25/2023 21:30:39,1.17.0,FR1,7,4.08,nan,1,Left,Left,3,0,2,0,nan,nan,0.02
11/25/2023 21:30:41,1.17.0,FR1,7,4.07,1,1,Pellet,Left,3,0,3,0,0.50,13,nan
11/25/2023 21:30:57,1.17.0,FR1,7,4.08,nan,1,Right,Left,3,1,3,0,nan,nan,0.42
11/25/2023 21:31:01,1.17.0,FR1,7,4.08,nan,1,Left,Left,4,1,3,0,nan,nan,0.02
11/25/2023 21:31:06,1.17.0,FR1,7,4.07,nan,1,LeftWithPellet,Left,4,1,3,0,nan,nan,0.25
11/25/2023 21:31:07,1.17.0,FR1,7,4.08,1,1,Pellet,Left,4,1,4,0,4.54,26,nan
11/25/2023 21:31:11,1.17.0,FR1,7,4.07,nan,1,Left,Left,5,1,4,0,nan,nan,0.18
11/25/2023 21:31:13,1.17.0,FR1,7,4.09,1,1,Pellet,Left,5,1,5,0,0.94,7,nan
11/25/2023 21:31:52,1.17.0,FR1,7,4.09,nan,1,Left,Left,6,1,5,0,nan,nan,0.45
11/25/2023 21:31:54,1.17.0,FR1,7,4.09,1,1,Pellet,Left,6,1,6,0,0.37,41,nan
11/25/2023 21:32:47,1.17.0,FR1,7,4.09,nan,1,Left,Left,7,1,6,0,nan,nan,0.12
11/25/2023 21:32:48,1.17.0,FR1,7,4.09,nan,1,LeftDuringDispense,Left,7,1,6,0,nan,nan,0.03
11/25/2023 21:32:51,1.17.0,FR1,7,4.09,2,1,Pellet,Left,7,1,7,0,0.19,57,nan
11/25/2023 21:33:05,1.17.0,FR1,7,4.04,nan,1,Left,Left,8,1,7,0,nan,nan,0.23
11/25/2023 21:33:06,1.17.0,FR1,7,4.09,1,1,Pellet,Left,8,1,8,0,0.12,14,nan
11/25/2023 21:33:53,1.17.0,FR1,7,4.09,nan,1,Left,Left,9,1,8,0,nan,nan,0.12
11/25/2023 21:33:55,1.17.0,FR1,7,4.09,1,1,Pellet,Left,9,1,9,0,0.50,49,nan
